catalog	brand_id	tier	demographic	primary_topic	secondary_topics	genre_id	genre_source	locale_mix_check	craft_bible	arc_shape_hint	existing_series_id	status	note
en_US	optimizer_workplace	core	seinen	overthinking	burnout;imposter_syndrome	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning	optimizer_workplace__vera_lin__en_US__overthinking__the_model_that_predicted_him	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	relational_calm_iyashikei	core	josei	social_anxiety	boundaries;somatic_healing	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	relational_calm_iyashikei__eli_moss__en_US__social_anxiety__the_door_is_only_a_door	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	sleep_restoration_iyashikei	core	josei	sleep	anxiety;grief;social_anxiety	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	sleep_restoration_iyashikei__mika_shore__en_US__sleep__the_hour_that_wont_arrive	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	somatic_wisdom_shojo	core	josei	somatic_healing	self_worth;social_anxiety;grief	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	somatic_wisdom_shojo__yui_han__en_US__somatic_healing__the_shoulder_remembers_first	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	stabilizer_healing	core	seinen	burnout	overthinking;financial_anxiety	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning	stabilizer_healing__cal_reed__en_US__burnout__the_bench_between_shifts;stabilizer_healing__en_US__workplace_drama__series01	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	adhd_forge_mystery	niche	shonen	adhd_focus	courage;self_worth	sports_competition	14x37_dna	OK	docs/research/manga_craft/sports_competition.md	4 arcs x 12 eps: recruit -> losing streak -> breakthrough -> championship arc	adhd_forge_mystery__rex_dalton__en_US__adhd_focus__the_forge_hears_three_things	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	bio_flow_healing	niche	seinen	somatic_healing	overthinking;sleep	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning	bio_flow_healing__cyra_moss__en_US__somatic_healing__the_wetware_alarm	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	bright_presence_tw_seinen	niche	seinen	social_anxiety	imposter_syndrome;self_worth								EXCLUDED	manga_locales restricts this brand to ['zh_TW']
en_US	calm_student_school	niche	shojo	anxiety	social_anxiety;self_worth	romance_josei_drama	14x37_dna	OK	docs/research/manga_craft/shojo_romance.md	4 arcs x 12 eps: proximity -> rupture -> repair -> commitment ladder	calm_student_school__mina_cho__en_US__anxiety__the_bell_is_not_a_verdict	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	confidence_core_romance	niche	shojo	imposter_syndrome	self_worth;social_anxiety	romance_josei_drama	14x37_dna	OK	docs/research/manga_craft/shojo_romance.md	4 arcs x 12 eps: proximity -> rupture -> repair -> commitment ladder	confidence_core_romance__celeste_rae__en_US__imposter_syndrome__the_mirror_that_borrows_faces	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	creative_unfold_social	niche	shojo	social_anxiety	self_worth;courage	romance_josei_drama	14x37_dna	OK	docs/research/manga_craft/shojo_romance.md	4 arcs x 12 eps: proximity -> rupture -> repair -> commitment ladder	creative_unfold_social__indie_cross__en_US__social_anxiety__the_studio_that_echoes_back	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	devotion_path_shonen	niche	josei	grief	compassion;courage	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	devotion_path_shonen__iris_vale__en_US__grief__the_second_cup_stays_full	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	hormone_reset_healing	niche	josei	somatic_healing	self_worth;anxiety	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	hormone_reset_healing__sable_quinn__en_US__somatic_healing__the_body_changes_the_weather	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	legacy_builder_memoir	niche	seinen	self_worth	grief;financial_anxiety;shame	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning	legacy_builder_memoir__helen_frost__en_US__self_worth__the_file_labeled_enough	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	longevity_lab_healing	niche	seinen	somatic_healing	self_worth;grief	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning	longevity_lab_healing__dr_len_yu__en_US__somatic_healing__the_walk_without_a_metric	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	qi_foundation_cultivation	niche	seinen	somatic_healing	courage;burnout	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning	qi_foundation_cultivation__wei_lan__en_US__somatic_healing__the_meridian_that_wouldnt_force	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	relationship_clarity_romance	niche	josei	social_anxiety	boundaries;self_worth	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	relationship_clarity_romance__owen_park__en_US__social_anxiety__the_text_left_on_read_by_choice	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	resilient_parent_social	niche	josei	burnout	self_worth;boundaries	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	resilient_parent_social__dana_brooks__en_US__burnout__the_socks_that_match_enough	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	solar_return_isekai	niche	shonen	self_worth	imposter_syndrome;courage	action_battle	14x37_dna	FLAG_NOT_IN_LOCALE_MIX	docs/research/manga_craft/action_battle.md	4 arcs x 12 eps: inciting fight -> training/rival -> tournament/escalation -> reckoning	solar_return_isekai__pax_orion__en_US__self_worth__no_resume_in_this_sky;solar_return_isekai__en_US__isekai__series01	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	spiritual_ground_supernatural	niche	josei	grief	self_worth;courage	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	spiritual_ground_supernatural__mara_quinn__en_US__grief__the_cold_spot_before_the_name	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	stoic_edge_battle	niche	seinen	courage	grief;self_worth;shame	action_battle	14x37_dna	FLAG_NOT_IN_LOCALE_MIX	docs/research/manga_craft/action_battle.md	4 arcs x 12 eps: inciting fight -> training/rival -> tournament/escalation -> reckoning	stoic_edge_battle__dane_holt__en_US__courage__the_guard_who_lowers_the_shield	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	trauma_path_healing	niche	josei	grief	trauma_recovery;somatic_healing;shame	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	trauma_path_healing__gareth_thorn__en_US__grief__the_blade_that_wont_sing	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
en_US	warrior_calm_cultivation	niche	shonen	burnout	courage;somatic_healing	action_battle	14x37_dna	FLAG_NOT_IN_LOCALE_MIX	docs/research/manga_craft/action_battle.md	4 arcs x 12 eps: inciting fight -> training/rival -> tournament/escalation -> reckoning	warrior_calm_cultivation__master_wu__en_US__burnout__the_chassis_is_listening	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
ja_JP	cognitive_clarity	flagship	seinen	overthinking	imposter_syndrome;burnout;boundaries	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning	cognitive_clarity__kurose_jin__ja_JP__overthinking__the_loop_is_not_thinking	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
ja_JP	digital_ground	flagship	manhwa	burnout	imposter_syndrome;financial_anxiety;anxiety;somatic_healing	sci_fi_cyberpunk	14x37_dna	FLAG_NOT_IN_LOCALE_MIX	docs/research/manga_craft/sci_fi_cyberpunk.md	4 arcs x 12 eps: system optimization -> body/identity cost -> resistance -> re-humanization	digital_ground__aoba_rei__ja_JP__burnout__the_feed_is_louder_than_blood	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
ja_JP	stillness_press	flagship	josei	anxiety	somatic_healing;sleep;grief;trauma_recovery	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	stillness_press__shiomi_haruka__ja_JP__anxiety__beyond_the_steam	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
ja_JP	body_memory_shojo	core	josei	somatic_healing	trauma_recovery;shame;grief	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	body_memory_shojo__kirishima_akari__ja_JP__somatic_healing__the_house_that_flinches	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
ja_JP	career_lift_workplace	core	josei	imposter_syndrome	social_anxiety;financial_anxiety;burnout	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	career_lift_workplace__mizuno_anzu__ja_JP__imposter_syndrome__the_slide_that_isn_t_you	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
ja_JP	executive_calm_workplace	core	seinen	burnout	overthinking;financial_anxiety	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	focus_sprint_workplace	core	seinen	adhd_focus	imposter_syndrome;social_anxiety	sports_competition	14x37_dna	OK	docs/research/manga_craft/sports_competition.md	4 arcs x 12 eps: recruit -> losing streak -> breakthrough -> championship arc		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	gentle_growth_healing	core	josei	self_worth	imposter_syndrome;social_anxiety	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	healing_ground_healing	core	josei	grief	boundaries;overthinking	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	healing_ground_healing__tsuge_mamoru__ja_JP__grief__the_forest_keeps_their_names	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
ja_JP	heart_balance_shojo	core	josei	social_anxiety	boundaries;self_worth	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	heart_balance_shojo__tsukimura_yui__ja_JP__social_anxiety__two_cups_on_the_counter	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
ja_JP	high_performer_workplace	core	seinen	burnout	financial_anxiety;imposter_syndrome;overthinking	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning	high_performer_workplace__naruse_tsuyoshi__ja_JP__burnout__green_on_the_dashboard	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
ja_JP	minimal_mind_healing	core	seinen	overthinking	anxiety;burnout	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	morning_momentum_workplace	core	shonen	burnout	courage;self_worth	action_battle	14x37_dna	OK	docs/research/manga_craft/action_battle.md	4 arcs x 12 eps: inciting fight -> training/rival -> tournament/escalation -> reckoning		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	night_reset_healing	core	josei	sleep	anxiety;grief	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	optimizer_workplace	core	seinen	overthinking	burnout;imposter_syndrome	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	relational_calm_iyashikei	core	josei	social_anxiety	boundaries;somatic_healing	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	sleep_restoration_iyashikei	core	josei	sleep	anxiety;grief;social_anxiety	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	sleep_restoration_iyashikei__ebihara_nagi__ja_JP__sleep__the_hour_that_won_t_arrive	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
ja_JP	somatic_wisdom_shojo	core	josei	somatic_healing	self_worth;social_anxiety;grief	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	stabilizer_healing	core	seinen	burnout	overthinking;financial_anxiety	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning	stabilizer_healing__kishi_toru__ja_JP__burnout__the_bench_between_shifts	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
ja_JP	adhd_forge_mystery	niche	shonen	adhd_focus	courage;self_worth	sports_competition	14x37_dna	OK	docs/research/manga_craft/sports_competition.md	4 arcs x 12 eps: recruit -> losing streak -> breakthrough -> championship arc		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	bio_flow_healing	niche	seinen	somatic_healing	overthinking;sleep	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	bright_presence_tw_seinen	niche	seinen	social_anxiety	imposter_syndrome;self_worth								EXCLUDED	manga_locales restricts this brand to ['zh_TW']
ja_JP	calm_student_school	niche	shojo	anxiety	social_anxiety;self_worth	romance_josei_drama	14x37_dna	OK	docs/research/manga_craft/shojo_romance.md	4 arcs x 12 eps: proximity -> rupture -> repair -> commitment ladder		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	confidence_core_romance	niche	shojo	imposter_syndrome	self_worth;social_anxiety	romance_josei_drama	14x37_dna	OK	docs/research/manga_craft/shojo_romance.md	4 arcs x 12 eps: proximity -> rupture -> repair -> commitment ladder		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	creative_unfold_social	niche	shojo	social_anxiety	self_worth;courage	romance_josei_drama	14x37_dna	OK	docs/research/manga_craft/shojo_romance.md	4 arcs x 12 eps: proximity -> rupture -> repair -> commitment ladder		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	devotion_path_shonen	niche	josei	grief	compassion;courage	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	devotion_path_shonen__shirai_inori__ja_JP__grief__the_second_cup_stays_full	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
ja_JP	hormone_reset_healing	niche	josei	somatic_healing	self_worth;anxiety	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	legacy_builder_memoir	niche	seinen	self_worth	grief;financial_anxiety;shame	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	longevity_lab_healing	niche	seinen	somatic_healing	self_worth;grief	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	qi_foundation_cultivation	niche	seinen	somatic_healing	courage;burnout	psychological_thriller	14x37_dna	OK	docs/research/manga_craft/psychological_thriller.md	4 arcs x 12 eps: obsession seed -> spiral -> exposure -> reckoning		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	relationship_clarity_romance	niche	josei	social_anxiety	boundaries;self_worth	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	resilient_parent_social	niche	josei	burnout	self_worth;boundaries	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)		NEW_SERIES	no existing series dir; create with proper author + title
ja_JP	solar_return_isekai	niche	shonen	self_worth	imposter_syndrome;courage	action_battle	14x37_dna	OK	docs/research/manga_craft/action_battle.md	4 arcs x 12 eps: inciting fight -> training/rival -> tournament/escalation -> reckoning	solar_return_isekai__hoshino_saku__ja_JP__self_worth__no_resume_in_this_sky;solar_return_isekai__ja_JP__isekai__series01	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
ja_JP	spiritual_ground_supernatural	niche	josei	grief	self_worth;courage	iyashikei	14x37_dna	OK	docs/research/manga_craft/iyashikei_minimalism.md	12 x 4-episode seasonal cycles (atmospheric, not escalating stakes)	spiritual_ground_supernatural__tono_kiri__ja_JP__grief__the_cold_spot_before_the_name	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
ja_JP	stoic_edge_battle	niche	seinen	courage	grief;self_worth;shame	action_battle	14x37_dna	OK	docs/research/manga_craft/action_battle.md	4 arcs x 12 eps: inciting fight -> training/rival -> tournament/escalation -> reckoning	stoic_edge_battle__yaiba_go__ja_JP__courage__the_guard_who_lowers_the_shield	REUSE_EXISTING	existing chapter_scripts dir is a LISTING only (fails check_manga_story_authored.py) -- author into it, do not rename/duplicate
