rank	config_id	brand	topic	persona	format	locale	confidence_score	tier	rationale
21	stabilizer_tw.burnout.gen_z_professionals.standard_book.en-US	stabilizer_tw	burnout	gen_z_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
22	stabilizer_tw.burnout.midlife_women.standard_book.en-US	stabilizer_tw	burnout	midlife_women	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
23	stabilizer_tw.burnout.millennial_women_professionals.standard_book.en-US	stabilizer_tw	burnout	millennial_women_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
24	stabilizer_tw.burnout.tech_finance_burnout.standard_book.en-US	stabilizer_tw	burnout	tech_finance_burnout	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
25	panic_first_aid_tw.anxiety.gen_z_professionals.standard_book.en-US	panic_first_aid_tw	anxiety	gen_z_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
26	panic_first_aid_tw.anxiety.midlife_women.standard_book.en-US	panic_first_aid_tw	anxiety	midlife_women	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
27	panic_first_aid_tw.anxiety.millennial_women_professionals.standard_book.en-US	panic_first_aid_tw	anxiety	millennial_women_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
28	panic_first_aid_tw.anxiety.tech_finance_burnout.standard_book.en-US	panic_first_aid_tw	anxiety	tech_finance_burnout	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
29	gen_z_grounding_tw.anxiety.gen_z_professionals.standard_book.en-US	gen_z_grounding_tw	anxiety	gen_z_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
30	gen_z_grounding_tw.anxiety.midlife_women.standard_book.en-US	gen_z_grounding_tw	anxiety	midlife_women	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
31	gen_z_grounding_tw.anxiety.millennial_women_professionals.standard_book.en-US	gen_z_grounding_tw	anxiety	millennial_women_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
32	gen_z_grounding_tw.anxiety.tech_finance_burnout.standard_book.en-US	gen_z_grounding_tw	anxiety	tech_finance_burnout	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
33	gen_z_grounding_tw.self_worth.gen_z_professionals.standard_book.en-US	gen_z_grounding_tw	self_worth	gen_z_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
34	gen_z_grounding_tw.self_worth.midlife_women.standard_book.en-US	gen_z_grounding_tw	self_worth	midlife_women	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
35	gen_z_grounding_tw.self_worth.millennial_women_professionals.standard_book.en-US	gen_z_grounding_tw	self_worth	millennial_women_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
36	gen_z_grounding_tw.self_worth.tech_finance_burnout.standard_book.en-US	gen_z_grounding_tw	self_worth	tech_finance_burnout	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
37	grief_companion_tw.grief.gen_z_professionals.standard_book.en-US	grief_companion_tw	grief	gen_z_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
38	grief_companion_tw.grief.midlife_women.standard_book.en-US	grief_companion_tw	grief	midlife_women	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
39	grief_companion_tw.grief.millennial_women_professionals.standard_book.en-US	grief_companion_tw	grief	millennial_women_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
40	grief_companion_tw.grief.tech_finance_burnout.standard_book.en-US	grief_companion_tw	grief	tech_finance_burnout	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
41	inner_security_tw.anxiety.gen_z_professionals.standard_book.en-US	inner_security_tw	anxiety	gen_z_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
42	inner_security_tw.anxiety.midlife_women.standard_book.en-US	inner_security_tw	anxiety	midlife_women	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
43	inner_security_tw.anxiety.millennial_women_professionals.standard_book.en-US	inner_security_tw	anxiety	millennial_women_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
44	inner_security_tw.anxiety.tech_finance_burnout.standard_book.en-US	inner_security_tw	anxiety	tech_finance_burnout	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
45	inner_security_tw.self_worth.gen_z_professionals.standard_book.en-US	inner_security_tw	self_worth	gen_z_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
46	inner_security_tw.self_worth.midlife_women.standard_book.en-US	inner_security_tw	self_worth	midlife_women	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
47	inner_security_tw.self_worth.millennial_women_professionals.standard_book.en-US	inner_security_tw	self_worth	millennial_women_professionals	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
48	inner_security_tw.self_worth.tech_finance_burnout.standard_book.en-US	inner_security_tw	self_worth	tech_finance_burnout	standard_book	en-US	8.0	T1-flagship	tier1-persona;tier1-topic;brand-affinity;canonical-format
49	stillness_press.anxiety.gen_z_professionals.deep_book_6h.en-US	stillness_press	anxiety	gen_z_professionals	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
50	stillness_press.anxiety.gen_z_professionals.deep_book_4h.en-US	stillness_press	anxiety	gen_z_professionals	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
51	stillness_press.anxiety.gen_z_professionals.extended_book_2h.en-US	stillness_press	anxiety	gen_z_professionals	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
52	stillness_press.anxiety.midlife_women.deep_book_6h.en-US	stillness_press	anxiety	midlife_women	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
53	stillness_press.anxiety.midlife_women.deep_book_4h.en-US	stillness_press	anxiety	midlife_women	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
54	stillness_press.anxiety.midlife_women.extended_book_2h.en-US	stillness_press	anxiety	midlife_women	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
55	stillness_press.anxiety.millennial_women_professionals.deep_book_6h.en-US	stillness_press	anxiety	millennial_women_professionals	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
56	stillness_press.anxiety.millennial_women_professionals.deep_book_4h.en-US	stillness_press	anxiety	millennial_women_professionals	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
57	stillness_press.anxiety.millennial_women_professionals.extended_book_2h.en-US	stillness_press	anxiety	millennial_women_professionals	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
58	stillness_press.anxiety.tech_finance_burnout.deep_book_6h.en-US	stillness_press	anxiety	tech_finance_burnout	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
59	stillness_press.anxiety.tech_finance_burnout.deep_book_4h.en-US	stillness_press	anxiety	tech_finance_burnout	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
60	stillness_press.anxiety.tech_finance_burnout.extended_book_2h.en-US	stillness_press	anxiety	tech_finance_burnout	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
61	stillness_press.sleep_anxiety.gen_z_professionals.deep_book_6h.en-US	stillness_press	sleep_anxiety	gen_z_professionals	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
62	stillness_press.sleep_anxiety.gen_z_professionals.deep_book_4h.en-US	stillness_press	sleep_anxiety	gen_z_professionals	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
63	stillness_press.sleep_anxiety.gen_z_professionals.extended_book_2h.en-US	stillness_press	sleep_anxiety	gen_z_professionals	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
64	stillness_press.sleep_anxiety.midlife_women.deep_book_6h.en-US	stillness_press	sleep_anxiety	midlife_women	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
65	stillness_press.sleep_anxiety.midlife_women.deep_book_4h.en-US	stillness_press	sleep_anxiety	midlife_women	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
66	stillness_press.sleep_anxiety.midlife_women.extended_book_2h.en-US	stillness_press	sleep_anxiety	midlife_women	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
67	stillness_press.sleep_anxiety.millennial_women_professionals.deep_book_6h.en-US	stillness_press	sleep_anxiety	millennial_women_professionals	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
68	stillness_press.sleep_anxiety.millennial_women_professionals.deep_book_4h.en-US	stillness_press	sleep_anxiety	millennial_women_professionals	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
69	stillness_press.sleep_anxiety.millennial_women_professionals.extended_book_2h.en-US	stillness_press	sleep_anxiety	millennial_women_professionals	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
70	stillness_press.sleep_anxiety.tech_finance_burnout.deep_book_6h.en-US	stillness_press	sleep_anxiety	tech_finance_burnout	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
71	stillness_press.sleep_anxiety.tech_finance_burnout.deep_book_4h.en-US	stillness_press	sleep_anxiety	tech_finance_burnout	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
72	stillness_press.sleep_anxiety.tech_finance_burnout.extended_book_2h.en-US	stillness_press	sleep_anxiety	tech_finance_burnout	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
73	sleep_repair_tw.anxiety.gen_z_professionals.deep_book_6h.en-US	sleep_repair_tw	anxiety	gen_z_professionals	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
74	sleep_repair_tw.anxiety.gen_z_professionals.deep_book_4h.en-US	sleep_repair_tw	anxiety	gen_z_professionals	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
75	sleep_repair_tw.anxiety.gen_z_professionals.extended_book_2h.en-US	sleep_repair_tw	anxiety	gen_z_professionals	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
76	sleep_repair_tw.anxiety.midlife_women.deep_book_6h.en-US	sleep_repair_tw	anxiety	midlife_women	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
77	sleep_repair_tw.anxiety.midlife_women.deep_book_4h.en-US	sleep_repair_tw	anxiety	midlife_women	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
78	sleep_repair_tw.anxiety.midlife_women.extended_book_2h.en-US	sleep_repair_tw	anxiety	midlife_women	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
79	sleep_repair_tw.anxiety.millennial_women_professionals.deep_book_6h.en-US	sleep_repair_tw	anxiety	millennial_women_professionals	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
80	sleep_repair_tw.anxiety.millennial_women_professionals.deep_book_4h.en-US	sleep_repair_tw	anxiety	millennial_women_professionals	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
81	sleep_repair_tw.anxiety.millennial_women_professionals.extended_book_2h.en-US	sleep_repair_tw	anxiety	millennial_women_professionals	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
82	sleep_repair_tw.anxiety.tech_finance_burnout.deep_book_6h.en-US	sleep_repair_tw	anxiety	tech_finance_burnout	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
83	sleep_repair_tw.anxiety.tech_finance_burnout.deep_book_4h.en-US	sleep_repair_tw	anxiety	tech_finance_burnout	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
84	sleep_repair_tw.anxiety.tech_finance_burnout.extended_book_2h.en-US	sleep_repair_tw	anxiety	tech_finance_burnout	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
85	sleep_repair_tw.sleep_anxiety.gen_z_professionals.deep_book_6h.en-US	sleep_repair_tw	sleep_anxiety	gen_z_professionals	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
86	sleep_repair_tw.sleep_anxiety.gen_z_professionals.deep_book_4h.en-US	sleep_repair_tw	sleep_anxiety	gen_z_professionals	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
87	sleep_repair_tw.sleep_anxiety.gen_z_professionals.extended_book_2h.en-US	sleep_repair_tw	sleep_anxiety	gen_z_professionals	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
88	sleep_repair_tw.sleep_anxiety.midlife_women.deep_book_6h.en-US	sleep_repair_tw	sleep_anxiety	midlife_women	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
89	sleep_repair_tw.sleep_anxiety.midlife_women.deep_book_4h.en-US	sleep_repair_tw	sleep_anxiety	midlife_women	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
90	sleep_repair_tw.sleep_anxiety.midlife_women.extended_book_2h.en-US	sleep_repair_tw	sleep_anxiety	midlife_women	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
91	sleep_repair_tw.sleep_anxiety.millennial_women_professionals.deep_book_6h.en-US	sleep_repair_tw	sleep_anxiety	millennial_women_professionals	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
92	sleep_repair_tw.sleep_anxiety.millennial_women_professionals.deep_book_4h.en-US	sleep_repair_tw	sleep_anxiety	millennial_women_professionals	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
93	sleep_repair_tw.sleep_anxiety.millennial_women_professionals.extended_book_2h.en-US	sleep_repair_tw	sleep_anxiety	millennial_women_professionals	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
94	sleep_repair_tw.sleep_anxiety.tech_finance_burnout.deep_book_6h.en-US	sleep_repair_tw	sleep_anxiety	tech_finance_burnout	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
95	sleep_repair_tw.sleep_anxiety.tech_finance_burnout.deep_book_4h.en-US	sleep_repair_tw	sleep_anxiety	tech_finance_burnout	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
96	sleep_repair_tw.sleep_anxiety.tech_finance_burnout.extended_book_2h.en-US	sleep_repair_tw	sleep_anxiety	tech_finance_burnout	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
97	stabilizer_tw.anxiety.gen_z_professionals.deep_book_6h.en-US	stabilizer_tw	anxiety	gen_z_professionals	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
98	stabilizer_tw.anxiety.gen_z_professionals.deep_book_4h.en-US	stabilizer_tw	anxiety	gen_z_professionals	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
99	stabilizer_tw.anxiety.gen_z_professionals.extended_book_2h.en-US	stabilizer_tw	anxiety	gen_z_professionals	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
100	stabilizer_tw.anxiety.midlife_women.deep_book_6h.en-US	stabilizer_tw	anxiety	midlife_women	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
101	stabilizer_tw.anxiety.midlife_women.deep_book_4h.en-US	stabilizer_tw	anxiety	midlife_women	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
102	stabilizer_tw.anxiety.midlife_women.extended_book_2h.en-US	stabilizer_tw	anxiety	midlife_women	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
103	stabilizer_tw.anxiety.millennial_women_professionals.deep_book_6h.en-US	stabilizer_tw	anxiety	millennial_women_professionals	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
104	stabilizer_tw.anxiety.millennial_women_professionals.deep_book_4h.en-US	stabilizer_tw	anxiety	millennial_women_professionals	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
105	stabilizer_tw.anxiety.millennial_women_professionals.extended_book_2h.en-US	stabilizer_tw	anxiety	millennial_women_professionals	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
106	stabilizer_tw.anxiety.tech_finance_burnout.deep_book_6h.en-US	stabilizer_tw	anxiety	tech_finance_burnout	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
107	stabilizer_tw.anxiety.tech_finance_burnout.deep_book_4h.en-US	stabilizer_tw	anxiety	tech_finance_burnout	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
108	stabilizer_tw.anxiety.tech_finance_burnout.extended_book_2h.en-US	stabilizer_tw	anxiety	tech_finance_burnout	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
109	stabilizer_tw.burnout.gen_z_professionals.deep_book_6h.en-US	stabilizer_tw	burnout	gen_z_professionals	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
110	stabilizer_tw.burnout.gen_z_professionals.deep_book_4h.en-US	stabilizer_tw	burnout	gen_z_professionals	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
111	stabilizer_tw.burnout.gen_z_professionals.extended_book_2h.en-US	stabilizer_tw	burnout	gen_z_professionals	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
112	stabilizer_tw.burnout.midlife_women.deep_book_6h.en-US	stabilizer_tw	burnout	midlife_women	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
113	stabilizer_tw.burnout.midlife_women.deep_book_4h.en-US	stabilizer_tw	burnout	midlife_women	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
114	stabilizer_tw.burnout.midlife_women.extended_book_2h.en-US	stabilizer_tw	burnout	midlife_women	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
115	stabilizer_tw.burnout.millennial_women_professionals.deep_book_6h.en-US	stabilizer_tw	burnout	millennial_women_professionals	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
116	stabilizer_tw.burnout.millennial_women_professionals.deep_book_4h.en-US	stabilizer_tw	burnout	millennial_women_professionals	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
117	stabilizer_tw.burnout.millennial_women_professionals.extended_book_2h.en-US	stabilizer_tw	burnout	millennial_women_professionals	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
118	stabilizer_tw.burnout.tech_finance_burnout.deep_book_6h.en-US	stabilizer_tw	burnout	tech_finance_burnout	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
119	stabilizer_tw.burnout.tech_finance_burnout.deep_book_4h.en-US	stabilizer_tw	burnout	tech_finance_burnout	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
120	stabilizer_tw.burnout.tech_finance_burnout.extended_book_2h.en-US	stabilizer_tw	burnout	tech_finance_burnout	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
121	panic_first_aid_tw.anxiety.gen_z_professionals.deep_book_6h.en-US	panic_first_aid_tw	anxiety	gen_z_professionals	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
122	panic_first_aid_tw.anxiety.gen_z_professionals.deep_book_4h.en-US	panic_first_aid_tw	anxiety	gen_z_professionals	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
123	panic_first_aid_tw.anxiety.gen_z_professionals.extended_book_2h.en-US	panic_first_aid_tw	anxiety	gen_z_professionals	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
124	panic_first_aid_tw.anxiety.midlife_women.deep_book_6h.en-US	panic_first_aid_tw	anxiety	midlife_women	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
125	panic_first_aid_tw.anxiety.midlife_women.deep_book_4h.en-US	panic_first_aid_tw	anxiety	midlife_women	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
126	panic_first_aid_tw.anxiety.midlife_women.extended_book_2h.en-US	panic_first_aid_tw	anxiety	midlife_women	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
127	panic_first_aid_tw.anxiety.millennial_women_professionals.deep_book_6h.en-US	panic_first_aid_tw	anxiety	millennial_women_professionals	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
128	panic_first_aid_tw.anxiety.millennial_women_professionals.deep_book_4h.en-US	panic_first_aid_tw	anxiety	millennial_women_professionals	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
129	panic_first_aid_tw.anxiety.millennial_women_professionals.extended_book_2h.en-US	panic_first_aid_tw	anxiety	millennial_women_professionals	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
130	panic_first_aid_tw.anxiety.tech_finance_burnout.deep_book_6h.en-US	panic_first_aid_tw	anxiety	tech_finance_burnout	deep_book_6h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
131	panic_first_aid_tw.anxiety.tech_finance_burnout.deep_book_4h.en-US	panic_first_aid_tw	anxiety	tech_finance_burnout	deep_book_4h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
132	panic_first_aid_tw.anxiety.tech_finance_burnout.extended_book_2h.en-US	panic_first_aid_tw	anxiety	tech_finance_burnout	extended_book_2h	en-US	7.7	T1-flagship	tier1-persona;tier1-topic;brand-affinity
