locale,brand,title,subtitle,topic,persona,teacher_id,author_id,author_pen_name,allocation_reason
en_US,stillness_press,"Quiet Soft No, Steady Self",A Compassionate Boundaries Practice — for working parents,boundaries,working_parents,ahjan,tara_woodfield,Tara Woodfield,alternate
en_US,stillness_press,Quiet Stop Pouring from an Empty Cup,Boundaries for People Pleasers and Overgivers — for founders,boundaries,entrepreneurs,ahjan,ruth_alder,Ruth Alder,primary
en_US,stillness_press,Quiet Stop Pouring from an Empty Cup,Boundaries for People Pleasers and Overgivers — for the sandwich generation,boundaries,gen_x_sandwich,ahjan,tara_woodfield,Tara Woodfield,alternate
en_US,stillness_press,"Quiet Soft No, Steady Self",A Compassionate Boundaries Practice — for younger students,boundaries,gen_alpha_students,ahjan,ruth_alder,Ruth Alder,primary
en_US,stillness_press,Quiet Edge Work,Building Boundaries from the Inside Out — for Gen Z students,boundaries,gen_z_student,ahjan,tara_woodfield,Tara Woodfield,alternate
en_US,stillness_press,Quiet Running on Fumes,A Recovery Guide for Burnout and Work Exhaustion — for mid-level leaders,burnout,corporate_managers,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet Running on Fumes,A Recovery Guide for Burnout and Work Exhaustion — for millennial women professionals,burnout,millennial_women_professionals,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet The Collapse You Earned,Burnout Recovery for People Who Can't Stop — for tech and finance pros,burnout,tech_finance_burnout,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet Before You Break,Escaping Burnout and Rebuilding Your Energy — for Gen Z professionals,burnout,gen_z_professionals,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet Before You Break,Escaping Burnout and Rebuilding Your Energy — for healthcare workers,burnout,healthcare_rns,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet The Long Way Back,A Recovery Companion for Burnout Survivors — for frontline workers,burnout,first_responders,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet Running on Fumes,A Recovery Guide for Burnout and Work Exhaustion — for teachers and educators,burnout,educators,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet Permission to Pause,Resting Through Burnout Without Guilt — for working parents,burnout,working_parents,ahjan,tara_woodfield,Tara Woodfield,alternate
en_US,stillness_press,Quiet Before You Break,Escaping Burnout and Rebuilding Your Energy — for founders,burnout,entrepreneurs,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet Permission to Pause,Resting Through Burnout Without Guilt — for the sandwich generation,burnout,gen_x_sandwich,ahjan,tara_woodfield,Tara Woodfield,alternate
en_US,stillness_press,Quiet The Collapse You Earned,Burnout Recovery for People Who Can't Stop — for Gen Z students,burnout,gen_z_student,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet The Empty Well,Healing Compassion Fatigue and Emotional Exhaustion — for mid-level leaders,compassion_fatigue,corporate_managers,ahjan,mae_rivers,Mae Rivers,alternate
en_US,stillness_press,Quiet Who Heals the Healer,Compassion Fatigue Recovery for Nurses and Caregivers — for millennial women professionals,compassion_fatigue,millennial_women_professionals,ahjan,mae_rivers,Mae Rivers,alternate
en_US,stillness_press,Quiet Hold Yourself Last,Why Compassion Fatigue Demands a New Order of Care — for tech and finance pros,compassion_fatigue,tech_finance_burnout,ahjan,mae_rivers,Mae Rivers,alternate
en_US,stillness_press,Quiet The Empty Well,Healing Compassion Fatigue and Emotional Exhaustion — for Gen Z professionals,compassion_fatigue,gen_z_professionals,ahjan,mae_rivers,Mae Rivers,alternate
en_US,stillness_press,Quiet Refill the Vessel,A Practical Compassion Fatigue Guide for Care Workers — for healthcare workers,compassion_fatigue,healthcare_rns,ahjan,mae_rivers,Mae Rivers,alternate
en_US,stillness_press,Quiet The Empty Well,Healing Compassion Fatigue and Emotional Exhaustion — for frontline workers,compassion_fatigue,first_responders,ahjan,mae_rivers,Mae Rivers,alternate
en_US,stillness_press,Quiet The Empty Well,Healing Compassion Fatigue and Emotional Exhaustion — for teachers and educators,compassion_fatigue,educators,ahjan,ruth_alder,Ruth Alder,primary
en_US,stillness_press,Quiet Hold Yourself Last,Why Compassion Fatigue Demands a New Order of Care — for working parents,compassion_fatigue,working_parents,ahjan,mae_rivers,Mae Rivers,alternate
en_US,stillness_press,Quiet Caring Until There's Nothing Left,A Compassion Fatigue Recovery Guide for Helpers — for the sandwich generation,compassion_fatigue,gen_x_sandwich,ahjan,ruth_alder,Ruth Alder,primary
en_US,stillness_press,Quiet Bold Enough,How to Find Courage in Anxious Times — for mid-level leaders,courage,corporate_managers,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet The Fear That Built You,Finding Courage When Everything Feels Uncertain — for millennial women professionals,courage,millennial_women_professionals,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet Jump Scared,A Guide to Building Courage and Facing the Unknown — for tech and finance pros,courage,tech_finance_burnout,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet The Fear That Built You,Finding Courage When Everything Feels Uncertain — for Gen Z professionals,courage,gen_z_professionals,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet Walk Into the Room,A Daily Courage Practice for Brave Choices — for healthcare workers,courage,healthcare_rns,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet Bold Enough,How to Find Courage in Anxious Times — for frontline workers,courage,first_responders,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet Jump Scared,A Guide to Building Courage and Facing the Unknown — for teachers and educators,courage,educators,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet The Fear That Built You,Finding Courage When Everything Feels Uncertain — for working parents,courage,working_parents,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet The Fear That Built You,Finding Courage When Everything Feels Uncertain — for founders,courage,entrepreneurs,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet Jump Scared,A Guide to Building Courage and Facing the Unknown — for the sandwich generation,courage,gen_x_sandwich,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet Bold Enough,How to Find Courage in Anxious Times — for younger students,courage,gen_alpha_students,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet The Fear That Built You,Finding Courage When Everything Feels Uncertain — for Gen Z students,courage,gen_z_student,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet The Light You Forgot,A Gentle Guide to Healing Depression and Finding Hope — for mid-level leaders,depression,corporate_managers,ahjan,sam_meridian,Sam Meridian,primary
en_US,stillness_press,Quiet Quiet Mornings,A Soft Depression Practice for the Heavy Days — for millennial women professionals,depression,millennial_women_professionals,ahjan,silas_grant,Silas Grant,alternate
en_US,stillness_press,Quiet Still Breathing,Depression Recovery for People Running on Empty — for tech and finance pros,depression,tech_finance_burnout,ahjan,sam_meridian,Sam Meridian,primary
en_US,stillness_press,Quiet Still Breathing,Depression Recovery for People Running on Empty — for Gen Z professionals,depression,gen_z_professionals,ahjan,silas_grant,Silas Grant,alternate
en_US,stillness_press,Quiet Smaller Than the Day,"A Depression Companion for Hours, Not Years — for healthcare workers",depression,healthcare_rns,ahjan,sam_meridian,Sam Meridian,primary
en_US,stillness_press,Quiet The Single Step,Walking Through Depression One Movement at a Time — for frontline workers,depression,first_responders,ahjan,silas_grant,Silas Grant,alternate
en_US,stillness_press,Quiet The Single Step,Walking Through Depression One Movement at a Time — for teachers and educators,depression,educators,ahjan,sam_meridian,Sam Meridian,primary
en_US,stillness_press,Quiet Still Breathing,Depression Recovery for People Running on Empty — for working parents,depression,working_parents,ahjan,silas_grant,Silas Grant,alternate
en_US,stillness_press,Quiet The Single Step,Walking Through Depression One Movement at a Time — for founders,depression,entrepreneurs,ahjan,sam_meridian,Sam Meridian,primary
en_US,stillness_press,Quiet Smaller Than the Day,"A Depression Companion for Hours, Not Years — for the sandwich generation",depression,gen_x_sandwich,ahjan,silas_grant,Silas Grant,alternate
en_US,stillness_press,Quiet Color Returns,How to Move Through Depression One Day at a Time — for Gen Z students,depression,gen_z_student,ahjan,sam_meridian,Sam Meridian,primary
en_US,stillness_press,Quiet Broke and Breathing,A Somatic Guide to Financial Anxiety Recovery — for mid-level leaders,financial_anxiety,corporate_managers,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet Worth More Than Your Balance,Healing Financial Anxiety and Money Shame — for millennial women professionals,financial_anxiety,millennial_women_professionals,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet The Money Knot,Untangling Financial Anxiety and Building Financial Peace — for tech and finance pros,financial_anxiety,tech_finance_burnout,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet Broke and Breathing,A Somatic Guide to Financial Anxiety Recovery — for Gen Z professionals,financial_anxiety,gen_z_professionals,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet The Quiet Ledger,A Financial Anxiety Practice for the Spreadsheet-Tired — for healthcare workers,financial_anxiety,healthcare_rns,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet Money Without Panic,A Nervous-System Guide to Financial Anxiety — for frontline workers,financial_anxiety,first_responders,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet Worth More Than Your Balance,Healing Financial Anxiety and Money Shame — for teachers and educators,financial_anxiety,educators,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet Money Without Panic,A Nervous-System Guide to Financial Anxiety — for working parents,financial_anxiety,working_parents,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet Worth More Than Your Balance,Healing Financial Anxiety and Money Shame — for founders,financial_anxiety,entrepreneurs,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet Worth More Than Your Balance,Healing Financial Anxiety and Money Shame — for the sandwich generation,financial_anxiety,gen_x_sandwich,ahjan,noor_ibrahim,Noor Ibrahim,primary
en_US,stillness_press,Quiet The Quiet Ledger,A Financial Anxiety Practice for the Spreadsheet-Tired — for Gen Z students,financial_anxiety,gen_z_student,ahjan,mira_santos,Mira Santos,overflow_balance
en_US,stillness_press,Quiet Worth More Than Your Balance,Healing Financial Stress and Money Shame — for mid-level leaders,financial_stress,corporate_managers,ahjan,iris_tam,Iris Tam,overflow_balance
en_US,stillness_press,Quiet Money Without Panic,A Nervous-System Guide to Financial Stress — for millennial women professionals,financial_stress,millennial_women_professionals,ahjan,mira_santos,Mira Santos,overflow_balance
en_US,stillness_press,Quiet Money Without Panic,A Nervous-System Guide to Financial Stress — for tech and finance pros,financial_stress,tech_finance_burnout,ahjan,iris_tam,Iris Tam,overflow_balance
en_US,stillness_press,Quiet The Quiet Ledger,A Financial Stress Practice for the Spreadsheet-Tired — for Gen Z professionals,financial_stress,gen_z_professionals,ahjan,mira_santos,Mira Santos,overflow_balance
en_US,stillness_press,Quiet Money Without Panic,A Nervous-System Guide to Financial Stress — for healthcare workers,financial_stress,healthcare_rns,ahjan,iris_tam,Iris Tam,overflow_balance
en_US,stillness_press,Quiet The Money Knot,Untangling Financial Stress and Building Financial Peace — for frontline workers,financial_stress,first_responders,ahjan,mira_santos,Mira Santos,overflow_balance
en_US,stillness_press,Quiet Worth More Than Your Balance,Healing Financial Stress and Money Shame — for teachers and educators,financial_stress,educators,ahjan,iris_tam,Iris Tam,overflow_balance
en_US,stillness_press,Quiet Money Without Panic,A Nervous-System Guide to Financial Stress — for working parents,financial_stress,working_parents,ahjan,mira_santos,Mira Santos,overflow_balance
en_US,stillness_press,Quiet Money Without Panic,A Nervous-System Guide to Financial Stress — for founders,financial_stress,entrepreneurs,ahjan,iris_tam,Iris Tam,overflow_balance
en_US,stillness_press,Quiet The Quiet Ledger,A Financial Stress Practice for the Spreadsheet-Tired — for the sandwich generation,financial_stress,gen_x_sandwich,ahjan,mira_santos,Mira Santos,overflow_balance
en_US,stillness_press,Quiet Money Without Panic,A Nervous-System Guide to Financial Stress — for Gen Z students,financial_stress,gen_z_student,ahjan,iris_tam,Iris Tam,overflow_balance
en_US,stillness_press,Quiet Carry It Lightly,A Daily Grief Practice for the Long Walk — for mid-level leaders,grief,corporate_managers,ahjan,mira_santos,Mira Santos,primary
en_US,stillness_press,Quiet The Weight of Gone,"A Gentle Guide to Grief, Loss, and Healing — for millennial women professionals",grief,millennial_women_professionals,ahjan,mira_santos,Mira Santos,primary
en_US,stillness_press,Quiet The Shape of Missing,A Grief Recovery Companion for the Worst Days — for tech and finance pros,grief,tech_finance_burnout,ahjan,mae_rivers,Mae Rivers,alternate
en_US,stillness_press,Quiet Carry It Lightly,A Daily Grief Practice for the Long Walk — for Gen Z professionals,grief,gen_z_professionals,ahjan,mira_santos,Mira Santos,primary
en_US,stillness_press,Quiet The Shape of Missing,A Grief Recovery Companion for the Worst Days — for healthcare workers,grief,healthcare_rns,ahjan,mae_rivers,Mae Rivers,alternate
en_US,stillness_press,Quiet Where the Love Goes,A Grief Companion for Year One and After — for frontline workers,grief,first_responders,ahjan,mira_santos,Mira Santos,primary
en_US,stillness_press,Quiet The Shape of Missing,A Grief Recovery Companion for the Worst Days — for teachers and educators,grief,educators,ahjan,mae_rivers,Mae Rivers,alternate
en_US,stillness_press,Quiet Where the Love Goes,A Grief Companion for Year One and After — for working parents,grief,working_parents,ahjan,mira_santos,Mira Santos,primary
en_US,stillness_press,Quiet Where the Love Goes,A Grief Companion for Year One and After — for founders,grief,entrepreneurs,ahjan,mae_rivers,Mae Rivers,alternate
en_US,stillness_press,Quiet Still Here Without You,Finding Your Way Through Grief and Heartbreak — for the sandwich generation,grief,gen_x_sandwich,ahjan,mira_santos,Mira Santos,primary
en_US,stillness_press,Quiet Where the Love Goes,A Grief Companion for Year One and After — for younger students,grief,gen_alpha_students,ahjan,mae_rivers,Mae Rivers,alternate
en_US,stillness_press,Quiet The Shape of Missing,A Grief Recovery Companion for the Worst Days — for Gen Z students,grief,gen_z_student,ahjan,mira_santos,Mira Santos,primary
en_US,stillness_press,Quiet Belonging at the Table,Silencing Imposter Syndrome and Claiming Your Place — for mid-level leaders,imposter_syndrome,corporate_managers,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet The Proof Was Always You,An Imposter Syndrome Recovery Guide for Professionals — for millennial women professionals,imposter_syndrome,millennial_women_professionals,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet The Voice That Knows,Trusting Yourself Through Imposter Syndrome — for tech and finance pros,imposter_syndrome,tech_finance_burnout,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet The Proof Was Always You,An Imposter Syndrome Recovery Guide for Professionals — for Gen Z professionals,imposter_syndrome,gen_z_professionals,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet The Voice That Knows,Trusting Yourself Through Imposter Syndrome — for healthcare workers,imposter_syndrome,healthcare_rns,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet Belonging at the Table,Silencing Imposter Syndrome and Claiming Your Place — for frontline workers,imposter_syndrome,first_responders,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet Earned It Already,A Quiet Guide to Imposter Syndrome for Those Who Doubt — for teachers and educators,imposter_syndrome,educators,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet The Voice That Knows,Trusting Yourself Through Imposter Syndrome — for working parents,imposter_syndrome,working_parents,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet Earned It Already,A Quiet Guide to Imposter Syndrome for Those Who Doubt — for founders,imposter_syndrome,entrepreneurs,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet The Voice That Knows,Trusting Yourself Through Imposter Syndrome — for the sandwich generation,imposter_syndrome,gen_x_sandwich,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet Belonging at the Table,Silencing Imposter Syndrome and Claiming Your Place — for younger students,imposter_syndrome,gen_alpha_students,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet Belonging at the Table,Silencing Imposter Syndrome and Claiming Your Place — for Gen Z students,imposter_syndrome,gen_z_student,ahjan,daniel_voss,Daniel Voss,primary
en_US,stillness_press,Quiet The Present Hour,A Mindfulness Practice Guide for Busy Lives — for mid-level leaders,mindfulness,corporate_managers,ahjan,rowan_beck,Rowan Beck,primary
en_US,stillness_press,Quiet Slow Attention,A Beginner's Mindfulness Guide for the Distracted — for millennial women professionals,mindfulness,millennial_women_professionals,ahjan,rowan_beck,Rowan Beck,primary
en_US,stillness_press,Quiet The Quiet That Stays,Building a Sustainable Mindfulness Practice — for tech and finance pros,mindfulness,tech_finance_burnout,ahjan,rowan_beck,Rowan Beck,primary
en_US,stillness_press,Quiet Slow Attention,A Beginner's Mindfulness Guide for the Distracted — for Gen Z professionals,mindfulness,gen_z_professionals,ahjan,rowan_beck,Rowan Beck,primary
en_US,stillness_press,Quiet Slow Attention,A Beginner's Mindfulness Guide for the Distracted — for healthcare workers,mindfulness,healthcare_rns,ahjan,rowan_beck,Rowan Beck,primary
en_US,stillness_press,Quiet The Quiet That Stays,Building a Sustainable Mindfulness Practice — for frontline workers,mindfulness,first_responders,ahjan,rowan_beck,Rowan Beck,primary
en_US,stillness_press,Quiet Land in the Moment,A 90-Second Mindfulness Practice for Anywhere — for teachers and educators,mindfulness,educators,ahjan,rowan_beck,Rowan Beck,primary
en_US,stillness_press,Quiet Land in the Moment,A 90-Second Mindfulness Practice for Anywhere — for working parents,mindfulness,working_parents,ahjan,rowan_beck,Rowan Beck,primary
en_US,stillness_press,Quiet The Quiet That Stays,Building a Sustainable Mindfulness Practice — for founders,mindfulness,entrepreneurs,ahjan,rowan_beck,Rowan Beck,primary
en_US,stillness_press,Quiet Notice First,Daily Mindfulness Practices for Real Days — for the sandwich generation,mindfulness,gen_x_sandwich,ahjan,rowan_beck,Rowan Beck,primary
en_US,stillness_press,Quiet The Quiet That Stays,Building a Sustainable Mindfulness Practice — for Gen Z students,mindfulness,gen_z_student,ahjan,rowan_beck,Rowan Beck,primary
en_US,stillness_press,Quiet Thought Traffic,"Breaking Free from Overthinking, Worry, and Analysis Paralysis — for mid-level leaders",overthinking,corporate_managers,ahjan,kai_okafor,Kai Okafor,primary
en_US,stillness_press,Quiet The Loop Breaker,How to Stop Overthinking and Quiet Your Racing Mind — for millennial women professionals,overthinking,millennial_women_professionals,ahjan,kai_okafor,Kai Okafor,primary
en_US,stillness_press,Quiet The Stop Signal,Interrupting Overthinking Before It Spirals — for tech and finance pros,overthinking,tech_finance_burnout,ahjan,kai_okafor,Kai Okafor,primary
en_US,stillness_press,Quiet Drop the Loop,A Daily Practice for Quieting Overthinking — for Gen Z professionals,overthinking,gen_z_professionals,ahjan,kai_okafor,Kai Okafor,primary
en_US,stillness_press,Quiet Your Brain Is Not the Boss,A Guide to Overcoming Overthinking and Mental Spirals — for healthcare workers,overthinking,healthcare_rns,ahjan,kai_okafor,Kai Okafor,primary
en_US,stillness_press,Quiet Your Brain Is Not the Boss,A Guide to Overcoming Overthinking and Mental Spirals — for frontline workers,overthinking,first_responders,ahjan,kai_okafor,Kai Okafor,primary
en_US,stillness_press,Quiet Drop the Loop,A Daily Practice for Quieting Overthinking — for teachers and educators,overthinking,educators,ahjan,kai_okafor,Kai Okafor,primary
en_US,stillness_press,Quiet Thought Traffic,"Breaking Free from Overthinking, Worry, and Analysis Paralysis — for working parents",overthinking,working_parents,ahjan,kai_okafor,Kai Okafor,primary
en_US,stillness_press,Quiet Thought Traffic,"Breaking Free from Overthinking, Worry, and Analysis Paralysis — for founders",overthinking,entrepreneurs,ahjan,kai_okafor,Kai Okafor,primary
en_US,stillness_press,Quiet Drop the Loop,A Daily Practice for Quieting Overthinking — for the sandwich generation,overthinking,gen_x_sandwich,ahjan,rowan_beck,Rowan Beck,alternate
en_US,stillness_press,Quiet Drop the Loop,A Daily Practice for Quieting Overthinking — for younger students,overthinking,gen_alpha_students,ahjan,kai_okafor,Kai Okafor,primary
en_US,stillness_press,Quiet The Stop Signal,Interrupting Overthinking Before It Spirals — for Gen Z students,overthinking,gen_z_student,ahjan,rowan_beck,Rowan Beck,alternate
en_US,stillness_press,Quiet Already Whole,Returning to Self Worth Without Performing — for mid-level leaders,self_worth,corporate_managers,ahjan,silas_grant,Silas Grant,alternate
en_US,stillness_press,Quiet Already Whole,Returning to Self Worth Without Performing — for millennial women professionals,self_worth,millennial_women_professionals,ahjan,silas_grant,Silas Grant,alternate
en_US,stillness_press,Quiet You Were Always Enough,Rebuilding Self-Esteem and Reclaiming Your Worth — for tech and finance pros,self_worth,tech_finance_burnout,ahjan,silas_grant,Silas Grant,alternate
en_US,stillness_press,Quiet You Were Always Enough,Rebuilding Self-Esteem and Reclaiming Your Worth — for Gen Z professionals,self_worth,gen_z_professionals,ahjan,silas_grant,Silas Grant,alternate
en_US,stillness_press,Quiet Already Whole,Returning to Self Worth Without Performing — for healthcare workers,self_worth,healthcare_rns,ahjan,silas_grant,Silas Grant,alternate
en_US,stillness_press,Quiet Worthy Without Proof,How to Build Unshakable Self Worth and Confidence — for frontline workers,self_worth,first_responders,ahjan,silas_grant,Silas Grant,alternate
en_US,stillness_press,Quiet Worthy Without Proof,How to Build Unshakable Self Worth and Confidence — for teachers and educators,self_worth,educators,ahjan,silas_grant,Silas Grant,alternate
en_US,stillness_press,Quiet The Mirror Lied,A Self-Love Guide to Healing Low Self-Esteem — for working parents,self_worth,working_parents,ahjan,silas_grant,Silas Grant,alternate
en_US,stillness_press,Quiet The Quiet Yes,A Self Worth Guide for People Who Apologize Too Much — for founders,self_worth,entrepreneurs,ahjan,mira_santos,Mira Santos,primary
en_US,stillness_press,Quiet Worthy Without Proof,How to Build Unshakable Self Worth and Confidence — for the sandwich generation,self_worth,gen_x_sandwich,ahjan,silas_grant,Silas Grant,alternate
en_US,stillness_press,Quiet Worthy Without Proof,How to Build Unshakable Self Worth and Confidence — for younger students,self_worth,gen_alpha_students,ahjan,mira_santos,Mira Santos,primary
en_US,stillness_press,Quiet You Were Always Enough,Rebuilding Self-Esteem and Reclaiming Your Worth — for Gen Z students,self_worth,gen_z_student,ahjan,silas_grant,Silas Grant,alternate
en_US,stillness_press,Quiet The Quiet Hour,Reclaiming Sleep from Sleep Anxiety and Overthinking — for mid-level leaders,sleep_anxiety,corporate_managers,ahjan,lena_thorne,Lena Thorne,primary
