topic	platform	surface	recommended_family	headline_rule	image_rule
overthinking	youtube_shorts	youtube_shorts	faceless_video_broll	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
anxiety	instagram	instagram_feed_portrait	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
anxiety	facebook	facebook_feed	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
anxiety	linkedin	linkedin_feed_portrait	diagram_framework	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
anxiety	pinterest	pinterest_pin	tool_checklist_card	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
anxiety	x	x_image	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
anxiety	threads	threads_image	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
anxiety	bluesky	bluesky_image	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
anxiety	google_business	google_business_square	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
anxiety	tiktok_reels_shorts	tiktok_reels_shorts_vertical	faceless_video_broll	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
anxiety	youtube_shorts	youtube_shorts	faceless_video_broll	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
hope	instagram	instagram_feed_portrait	book_page_quote	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
hope	facebook	facebook_feed	book_page_quote	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
hope	linkedin	linkedin_feed_portrait	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
hope	pinterest	pinterest_pin	object_metaphor	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
hope	x	x_image	book_page_quote	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
hope	threads	threads_image	book_page_quote	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
hope	bluesky	bluesky_image	book_page_quote	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
hope	google_business	google_business_square	book_page_quote	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
hope	tiktok_reels_shorts	tiktok_reels_shorts_vertical	faceless_video_broll	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
hope	youtube_shorts	youtube_shorts	faceless_video_broll	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
grief	instagram	instagram_feed_portrait	photo_full_bleed_emotional	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
grief	facebook	facebook_feed	photo_full_bleed_emotional	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
grief	linkedin	linkedin_feed_portrait	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
grief	pinterest	pinterest_pin	object_metaphor	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
grief	x	x_image	photo_full_bleed_emotional	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
grief	threads	threads_image	photo_full_bleed_emotional	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
grief	bluesky	bluesky_image	photo_full_bleed_emotional	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
grief	google_business	google_business_square	photo_full_bleed_emotional	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
grief	tiktok_reels_shorts	tiktok_reels_shorts_vertical	faceless_video_broll	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
grief	youtube_shorts	youtube_shorts	faceless_video_broll	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
boundaries	instagram	instagram_feed_portrait	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
boundaries	facebook	facebook_feed	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
boundaries	linkedin	linkedin_feed_portrait	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
boundaries	pinterest	pinterest_pin	tool_checklist_card	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
boundaries	x	x_image	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
boundaries	threads	threads_image	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
boundaries	bluesky	bluesky_image	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
boundaries	google_business	google_business_square	premium_type_poster	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
boundaries	tiktok_reels_shorts	tiktok_reels_shorts_vertical	faceless_video_broll	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
boundaries	youtube_shorts	youtube_shorts	faceless_video_broll	one idea; mobile readable; no decorative filler	choose quiet zone or structured layout before placing copy
