priority	subsystem	item	spec_or_source	current_gap	status_on_main	pointer
P2	ei_v2	Build the stronger synthesis-engine: multi-objective T×E×fidelity fitness + spiritual-root synthesis CEG + Reader Council; retire EMA→qNEHVI BO + GA; wire to planners	PR #1516 (design) + #1578 (P0 build); memory: ei_v2_scorer_not_engine	EI v2 today = EMA weighted-sum editorial SCORER (advisory), NOT an engine; vision's 4 stages PARTIAL/NOT-BUILT; no GA, not wired to planners	OPEN (#1516/#1578 do-not-merge; advisory/local)	phoenix_v4/quality/ei_v2/
P2	teacher_mode	HOOK P0/P1/P2 rewrite batches + wrapper intro-variant diversification + ahjan teacher-bank framing re-author	ws_pearl_editor_hook_p0/p1/p2_rewrite_batch_20260527; ws_ahjan_teacher_bank_framing_reauthor_20260517	Teacher-bank overlay gap: QUOTE 0/15 (QUOTE retired per #915), TEACHER_DOCTRINE ahjan-only; HOOK scene-first regression risk	rewrite ws's open	specs/PHOENIX_V4_5_WRITER_SPEC.md; SOURCE_OF_TRUTH/teacher_banks/
P2	music_mode	Land music-mode both-ways model + first-person music wrapper + song-kit lyric/mood engine + first-real-artist seed	PR #1580 (model, do-not-merge); #1554 (lyric_mood_engine); #1547/#1560/#1561 (song-kit); ws_pearl_editor_song_kit_generator	~38 music brands dormant; live MusicGen route + first-real-artist seed missing; music-companions subsystem still proposed	multiple OPEN do-not-merge PRs	docs/specs/MUSIC_MODE_V2_PRODUCTION_READINESS_SPEC.md; phoenix_v4/musician/
P2	storefront	Build live Pearl Prime storefront (catalog wiring, CF Workers+D1) beyond mockups	docs/specs/PEARL_PRIME_STOREFRONT_V1_SPEC.md; ws_pearl_prime_storefront_v1_* (ui_mockups/framework_research/cloudflare_wiring)	16 HTML mockups + storefront/ DB-init + deploy workflow exist; not a live store (no real catalog wiring)	Phase A ws's open	storefront/; brand-wizard-app/public/storefront_mockups/
P2	brand_admin	Complete brand-admin v2: per-platform download route, weekly cron wireup, planned-volumes-per-brand backfill; replace director-screen PLACEHOLDER data	ws_brand_admin_v2_weekly_cron_wireup_20260527; ws_per_platform_download_route_20260526; ws_planned_volumes_per_brand_backfill_20260526; PR #1628	Director screen (PR #1618 live) has PLACEHOLDER per-platform/catalog data; weekly cron + download route not wired; brand_admin.html retirement (#1628) open	ws's open; #1628 OPEN	brand_admin_weekly_os.html; public/brand_handoff_dashboard.html
P2	audiobook_pipeline	Brand-admin v2 audiobook axis (M4B + chapter markers × 37 brands) + CosyVoice2 Pearl Star smoke + duration-label derivation	ws_brand_admin_v2_real_content_build_audiobook_axis_20260527; docs/DURATION_DERIVATION_SPEC.md	Duration labels hand-set not derived (150-WPM intent; standard_book "55min" really ~2h23m); M4B/chapter-marker axis pending	ws open; duration spec built (2026-06-13) not applied	docs/DURATION_DERIVATION_SPEC.md (+CJK addendum); scripts/audiobook/
P2	catalog_planning	Brand registry 37→39×14 unification + catalog generator v1.1 25-brand→37-brand authoring + planned-volumes	PR #1604 (do-not-merge); specs/BRAND_REGISTRY_RECONCILIATION_37x14_SPEC.md; ws_catalog_generator_v1_1_25_brand_authoring / extend_to_37_brands	deep-25 global_brand_registry stale; need build_unified_brand_registry.py; canonical-37 names win, +adi_da/joshin=39, 14th lane=pt_BR	#1604 OPEN; ws's open	scripts (build_unified_brand_registry.py per spec)
P3	podcast_pipeline	Brand-admin v2 podcast axis (MP3 + show notes × 37 brands) + Spotify/Apple feed health + ID3/loudness	ws_brand_admin_v2_real_content_build_podcast_axis_20260527; docs/PODCAST_PIPELINE_INTEGRATION_SPEC.md	Subsystem marked 'proposed'; episode/feed scripts exist but cadence + feed health unproven	ws open	scripts/podcast/
P3	music_companions	Per-book companion music via MusicGen queue (queue integration)	docs/specs/MUSIC_MODE_V2_PRODUCTION_READINESS_SPEC.md §6; ws_pearl_int_pearl_star_phase_b_musicgen_workload_20260611	Subsystem 'proposed'; musicgen_render_worker.py + config/music/musicgen_config.yaml proposed	proposed	scripts/music/ (musicgen_render_worker.py proposed)
P3	sangha_program	Sangha Karma Yoga volunteer program + level progression (config + roster + recruitment)	docs/specs/SANGHA_KARMA_YOGA_PROGRAM_SPEC.md + _LEVEL_PROGRESSION_SPEC.md; ws_pearl_marketing_levels_recruitment_copy	config/sangha_program/ + volunteer_roster proposed; not started	proposed	artifacts/programs/sangha_karma_yoga_20260606/
P3	recommendations	Build phoenix_recommender package (rules-based Phase 1: candidates + scoring + hard gates)	DOCS_INDEX Phoenix Recommender section; config/recommender/	DOCS_INDEX says package + configs "not present in this repo"; ws_recommender_promotion marked completed but package absent — verify	backlog (package absent)	config/recommender/ (configs not present per DOCS_INDEX)
P3	trend_feeds	Promote local-only acquisition layer (tier YAMLs, feed scripts) to main	DOCS_INDEX Trend feed pipeline section; SUBSYSTEM_AUTHORITY_MAP trend_feeds	BookSpec trend_heat_score + MarketRouter elevation on main (PR #68); acquisition layer still local-only	partial	config/trend_keywords/; scripts/feeds/
P3	devops_ci	Resolve recurring GHA startup_failure causes (matrix ctx in job-level if:, YAML syntax, invalid events) + Workers-Builds-required-check audit	memory: gha_startup_failure_actionlint; ws_workers_builds_required_check_audit_20260427	Several workflows red with 0 jobs on push (max-quality-catalog #1645, change-impact, operator-setup-verify, pearl-news); diagnose with actionlint	#1654/#1657/#1661 merged; residual	.github/workflows/
P3	core_pipeline	Apply DURATION_DERIVATION_SPEC (book duration is hand-set label, not computed) + per-platform tier routing follow-through	docs/DURATION_DERIVATION_SPEC.md (2026-06-13); memory: duration_per_platform (PR #1574 merged)	Duration derivation spec authored but consumers not built; both platform configs have no py consumers	spec built; not consumed	docs/DURATION_DERIVATION_SPEC.md; config/duration/
