row_id	row_number	atom_type	row_kind	atom_type_counted	source_status	source_path	source_path_check	atom_family	depth_pattern	rewrite_lane	entry_contract	exit_contract	status	status_reason	final_accountability_gate	unresolved_flag
row-011-EXTERNAL_STORY	11	EXTERNAL_STORY	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/external_stories/burnout_entries.yaml	all_exist	external story/case/parable	EXTERNAL_STORY_RETURN_5	04_evidence_case_external_story_parable	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract EXTERNAL_STORY_RETURN_5 and accounted for as source deepening target	PASS	no
row-012-HOOK_QUESTION	12	HOOK_QUESTION	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch1_actual_atom_architecture/burnout/corporate_managers/en_US.yaml; SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml	all_exist	orientation/framing	ORIENTATION_FRAME_3	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	PRESERVED_SHORT	hook/opening frame preserved short unless it carries new chapter contract	PASS	no
row-013-INTEGRATION_REFLECTION	13	INTEGRATION_REFLECTION	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch1_actual_atom_architecture/burnout/corporate_managers/en_US.yaml; SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml	all_exist	reflection/integration	REFLECTION_INTEGRATION_4	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract REFLECTION_INTEGRATION_4 and accounted for as source deepening target	PASS	no
row-014-MECHANISM_EXPLANATION	14	MECHANISM_EXPLANATION	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch1_actual_atom_architecture/burnout/corporate_managers/en_US.yaml; SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml	all_exist	dense teaching/mechanism	DENSE_MECHANISM_5	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract DENSE_MECHANISM_5 and accounted for as source deepening target	PASS	no
row-015-PERSONA_TOPIC_REFLECTION	15	PERSONA_TOPIC_REFLECTION	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch1_actual_atom_architecture/burnout/corporate_managers/en_US.yaml; SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml	all_exist	reflection/integration	REFLECTION_INTEGRATION_4	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract REFLECTION_INTEGRATION_4 and accounted for as source deepening target	PASS	no
row-016-PIVOT	16	PIVOT	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/composite_doctrine/burnout/CANONICAL.txt; atoms/corporate_managers/burnout/PIVOT/CANONICAL.txt; atoms/healthcare_rns/anchored/PIVOT/CANONICAL.txt; atoms/healthcare_rns/anxiety/PIVOT/CANONICAL.txt; atoms/healthcare_rns/compassion_fatigue/PIVOT/CANONICAL.txt; atoms/healthcare_rns/financial_anxiety/PIVOT/CANONICAL.txt; atoms/healthcare_rns/sleep_anxiety/PIVOT/CANONICAL.txt	all_exist	short rhythm/landing/propulsion	SHORT_RHYTHM_2	07_short_rhythm_callback_propulsion	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	PRESERVED_SHORT	SHORT_RHYTHM_2 is expansion-resistant; accountability preserves rhythm unless rendered context requires changed meaning	PASS	no
row-017-PROPULSION	17	PROPULSION	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml; atoms/corporate_managers/burnout/THREAD/CANONICAL.txt	all_exist	short rhythm/landing/propulsion	SHORT_RHYTHM_2	07_short_rhythm_callback_propulsion	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	PRESERVED_SHORT	SHORT_RHYTHM_2 is expansion-resistant; accountability preserves rhythm unless rendered context requires changed meaning	PASS	no
row-018-READER_PROMISE	18	READER_PROMISE	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch1_actual_atom_architecture/burnout/corporate_managers/en_US.yaml; SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml	all_exist	orientation/framing	ORIENTATION_FRAME_3	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract ORIENTATION_FRAME_3 and accounted for as source deepening target	PASS	no
row-019-SCENE	19	SCENE	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml; atoms/corporate_managers/burnout/SCENE/CANONICAL.txt; atoms/healthcare_rns/anxiety/SCENE/CANONICAL.txt; atoms/healthcare_rns/compassion_fatigue/SCENE/CANONICAL.txt; atoms/healthcare_rns/financial_anxiety/SCENE/CANONICAL.txt; atoms/healthcare_rns/overthinking/SCENE/CANONICAL.txt; atoms/healthcare_rns/sleep_anxiety/SCENE/CANONICAL.txt	all_exist	protagonist story/scene	PROTAGONIST_STORY_5	04_evidence_case_external_story_parable	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract PROTAGONIST_STORY_5 and accounted for as source deepening target	PASS	no
row-020-TRANSITION_GLUE	20	TRANSITION_GLUE	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch1_actual_atom_architecture/burnout/corporate_managers/en_US.yaml; SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml	all_exist	cohesion/flow/transition	COHESION_BRIDGE_3	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract COHESION_BRIDGE_3 and accounted for as source deepening target	PASS	no
row-021-TROUBLESHOOTING_PERMISSION	21	TROUBLESHOOTING_PERMISSION	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch1_actual_atom_architecture/burnout/corporate_managers/en_US.yaml; SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml	all_exist	troubleshooting/permission/encouragement	TROUBLE_PERMISSION_4	06_troubleshooting_permission_encouragement	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract TROUBLE_PERMISSION_4 and accounted for as source deepening target	PASS	no
row-022-VALIDATION_NORMALIZATION	22	VALIDATION_NORMALIZATION	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch1_actual_atom_architecture/burnout/corporate_managers/en_US.yaml; SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml	all_exist	recognition/validation	VALIDATION_4	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract VALIDATION_4 and accounted for as source deepening target	PASS	no
row-023-CALLBACK_ECHO	23	CALLBACK_ECHO	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml	all_exist	callback/motif return	CALLBACK_CHANGED_MEANING_4	07_short_rhythm_callback_propulsion	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	PRESERVED_SHORT	CALLBACK_CHANGED_MEANING_4 is expansion-resistant; accountability preserves rhythm unless rendered context requires changed meaning	PASS	no
row-024-PRACTICE_APPLICATION_TOOL	24	PRACTICE_APPLICATION_TOOL	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch1_actual_atom_architecture/burnout/corporate_managers/en_US.yaml; SOURCE_OF_TRUTH/accent_banks/ch3_12_actual_atom_architecture/burnout/corporate_managers/en_US.yaml	all_exist	tool/exercise/practice	TOOL_EXERCISE_6	05_tool_exercise_practice	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract TOOL_EXERCISE_6 and accounted for as source deepening target	PASS	no
row-025-CANONICAL_EXERCISE	25	CANONICAL_EXERCISE	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/practice_library/inbox/body_awareness_library_34_PRODUCTION_READY.json; SOURCE_OF_TRUTH/practice_library/inbox/integration_bridges_library_34_PRODUCTION_READY.json	all_exist	tool/exercise/practice	TOOL_EXERCISE_6	05_tool_exercise_practice	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract TOOL_EXERCISE_6 and accounted for as source deepening target	PASS	no
row-026-CALLBACK_PLANT	26	CALLBACK_PLANT	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	SOURCE_OF_TRUTH/accent_banks/ch1_actual_atom_architecture/burnout/corporate_managers/en_US.yaml	all_exist	callback/motif return	CALLBACK_CHANGED_MEANING_4	07_short_rhythm_callback_propulsion	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	PRESERVED_SHORT	CALLBACK_CHANGED_MEANING_4 is expansion-resistant; accountability preserves rhythm unless rendered context requires changed meaning	PASS	no
row-027-LEGACY_REPAIRED_CHAPTER	27	LEGACY_REPAIRED_CHAPTER	rendered_atom_type	yes	rendered_in_corporate_burnout_trace	artifacts/production_packages/pearl_prime_one_book_content_selector_repair_20260716/corporate_managers__burnout__overwhelm__F006/source/book.txt	all_exist	protagonist story/scene	PROTAGONIST_STORY_5	04_evidence_case_external_story_parable	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract PROTAGONIST_STORY_5 and accounted for as source deepening target	PASS	no
row-028-AHJAN	28	AHJAN	source_bank_atom_type	yes	source_bank_discovered_needs_render	atoms/gen_z_professionals/anxiety/TEACHER_DOCTRINE_INTRO/ahjan/CANONICAL.txt	all_exist	dense teaching/mechanism	DENSE_MECHANISM_5	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract DENSE_MECHANISM_5 and accounted for as source deepening target	PASS	no
row-029-ANXIETY_COMPARISON	29	ANXIETY_COMPARISON	source_bank_atom_type	yes	source_bank_discovered_needs_render	atoms/corporate_managers/anchored/anxiety_comparison/CANONICAL.txt	all_exist	dense teaching/mechanism	DENSE_MECHANISM_5	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract DENSE_MECHANISM_5 and accounted for as source deepening target	PASS	no
row-030-ANXIETY_FALSE_ALARM	30	ANXIETY_FALSE_ALARM	source_bank_atom_type	yes	source_bank_discovered_needs_render	atoms/corporate_managers/anchored/anxiety_false_alarm/CANONICAL.txt	all_exist	dense teaching/mechanism	DENSE_MECHANISM_5	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract DENSE_MECHANISM_5 and accounted for as source deepening target	PASS	no
row-031-ANXIETY_GRIEF	31	ANXIETY_GRIEF	source_bank_atom_type	yes	source_bank_discovered_needs_render	atoms/corporate_managers/anchored/anxiety_grief/CANONICAL.txt	all_exist	dense teaching/mechanism	DENSE_MECHANISM_5	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract DENSE_MECHANISM_5 and accounted for as source deepening target	PASS	no
row-032-ANXIETY_OVERWHELM	32	ANXIETY_OVERWHELM	source_bank_atom_type	yes	source_bank_discovered_needs_render	atoms/corporate_managers/anchored/anxiety_overwhelm/CANONICAL.txt	all_exist	dense teaching/mechanism	DENSE_MECHANISM_5	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract DENSE_MECHANISM_5 and accounted for as source deepening target	PASS	no
row-033-ANXIETY_SHAME	33	ANXIETY_SHAME	source_bank_atom_type	yes	source_bank_discovered_needs_render	atoms/corporate_managers/anchored/anxiety_shame/CANONICAL.txt	all_exist	dense teaching/mechanism	DENSE_MECHANISM_5	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract DENSE_MECHANISM_5 and accounted for as source deepening target	PASS	no
row-034-ANXIETY_SPIRAL	34	ANXIETY_SPIRAL	source_bank_atom_type	yes	source_bank_discovered_needs_render	atoms/corporate_managers/anchored/anxiety_spiral/CANONICAL.txt	all_exist	dense teaching/mechanism	DENSE_MECHANISM_5	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract DENSE_MECHANISM_5 and accounted for as source deepening target	PASS	no
row-035-ANXIETY_WATCHER	35	ANXIETY_WATCHER	source_bank_atom_type	yes	source_bank_discovered_needs_render	atoms/corporate_managers/anchored/anxiety_watcher/CANONICAL.txt	all_exist	dense teaching/mechanism	DENSE_MECHANISM_5	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract DENSE_MECHANISM_5 and accounted for as source deepening target	PASS	no
row-036-AUTHOR_DISCLOSURE	36	AUTHOR_DISCLOSURE	spec_only_atom_type	yes	source_authority_repaired_20260718	SOURCE_OF_TRUTH/accent_banks/author_commentary/anxiety/lena_thorne/en_US.yaml; SOURCE_OF_TRUTH/accent_banks/author_commentary/anxiety/ravi_chandra/en_US.yaml	all_exist	quote/author disclosure/commentary	AUTHOR_SOURCE_RESTRICTED_4	04_evidence_case_external_story_parable	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	lane07 repair verdict=PARTIAL; source path attached; deepened/seeded under write scope	PASS	no
row-037-BOUNDARIES_GRIEF	37	BOUNDARIES_GRIEF	source_bank_atom_type	yes	source_bank_discovered_needs_render	atoms/corporate_managers/anchored/boundaries_grief/CANONICAL.txt	all_exist	dense teaching/mechanism	DENSE_MECHANISM_5	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract DENSE_MECHANISM_5 and accounted for as source deepening target	PASS	no
row-038-BOUNDARIES_OVERWHELM	38	BOUNDARIES_OVERWHELM	source_bank_atom_type	yes	source_bank_discovered_needs_render	atoms/corporate_managers/anchored/boundaries_overwhelm/CANONICAL.txt	all_exist	dense teaching/mechanism	DENSE_MECHANISM_5	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract DENSE_MECHANISM_5 and accounted for as source deepening target	PASS	no
row-039-BOUNDARIES_SPIRAL	39	BOUNDARIES_SPIRAL	source_bank_atom_type	yes	source_bank_discovered_needs_render	atoms/corporate_managers/anchored/boundaries_spiral/CANONICAL.txt	all_exist	dense teaching/mechanism	DENSE_MECHANISM_5	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract DENSE_MECHANISM_5 and accounted for as source deepening target	PASS	no
row-040-BOUNDARIES_WATCHER	40	BOUNDARIES_WATCHER	source_bank_atom_type	yes	source_bank_discovered_needs_render	atoms/corporate_managers/anchored/boundaries_watcher/CANONICAL.txt	all_exist	dense teaching/mechanism	DENSE_MECHANISM_5	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract DENSE_MECHANISM_5 and accounted for as source deepening target	PASS	no
row-041-BURNOUT_COMPARISON	41	BURNOUT_COMPARISON	source_bank_atom_type	yes	source_bank_discovered_needs_render	atoms/corporate_managers/anchored/burnout_comparison/CANONICAL.txt	all_exist	dense teaching/mechanism	DENSE_MECHANISM_5	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract DENSE_MECHANISM_5 and accounted for as source deepening target	PASS	no
row-042-BURNOUT_FALSE_ALARM	42	BURNOUT_FALSE_ALARM	source_bank_atom_type	yes	source_bank_discovered_needs_render	atoms/corporate_managers/anchored/burnout_false_alarm/CANONICAL.txt	all_exist	dense teaching/mechanism	DENSE_MECHANISM_5	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract DENSE_MECHANISM_5 and accounted for as source deepening target	PASS	no
row-043-BURNOUT_SHAME	43	BURNOUT_SHAME	source_bank_atom_type	yes	source_bank_discovered_needs_render	atoms/corporate_managers/anchored/burnout_shame/CANONICAL.txt	all_exist	dense teaching/mechanism	DENSE_MECHANISM_5	03_dense_teaching_mechanism_cognition	Inherit a concrete word, image, pressure, question, or reader state from the prior atom.	Leave a named next need: story pressure, mechanism question, evidence need, tool readiness, callback change, or chapter propulsion.	DEEPENED	current source row assigned family-specific depth contract DENSE_MECHANISM_5 and accounted for as source deepening target	PASS	no
