brand_id,genre,series_id,topic,title_ja,english_gloss,manga_author,written
cognitive_clarity,psychological_thriller,cognitive_clarity__ja_JP__psychological_thriller__series02,overthinking,虚像の遺言,A psychological thriller unraveling illusions,風花 静,True
cognitive_clarity,psychological_thriller,cognitive_clarity__ja_JP__psychological_thriller__series03,imposter_syndrome,偽りの双面,A psychological thriller exploring deception and duality,風花 楓,True
cognitive_clarity,psychological_thriller,cognitive_clarity__ja_JP__psychological_thriller__series04,burnout,幻影の沙汰人,Phantom Judgment,水瀬 蛍,True
cognitive_clarity,psychological_thriller,cognitive_clarity__ja_JP__psychological_thriller__series05,boundaries,断絶の肖像,Portrait of Separation,雪村 凪,True
cognitive_clarity,sci_fi_cyberpunk,cognitive_clarity__ja_JP__sci_fi_cyberpunk__series01,overthinking,電脳潜行者,Cybernetic Explorer,森川 優,True
cognitive_clarity,sci_fi_cyberpunk,cognitive_clarity__ja_JP__sci_fi_cyberpunk__series02,imposter_syndrome,電脳叛逆者,Cybernetic Rebel in a Distrustful World,白石 蛍,True
cognitive_clarity,sci_fi_cyberpunk,cognitive_clarity__ja_JP__sci_fi_cyberpunk__series03,burnout,電界彷徨,Electrical frontier wanderer,海原 静,True
cognitive_clarity,supernatural_mystery,cognitive_clarity__ja_JP__supernatural_mystery__series01,boundaries,断罪の囁き,Whisper of Vindication,月影 楓,True
cognitive_clarity,supernatural_mystery,cognitive_clarity__ja_JP__supernatural_mystery__series02,overthinking,虚無の死角,Mystery of empty void,雪村 泉,True
cognitive_clarity,workplace_drama,cognitive_clarity__ja_JP__workplace_drama__series01,imposter_syndrome,虚偽のパートナーシップ,Deceptive Workplace Allegiance,白石 柔,True
confidence_core_romance,isekai,confidence_core_romance__ja_JP__isekai__series01,imposter_syndrome,幻影の王女と鏡の迷宮,"A princess trapped in a labyrinth of mirrors, questioning her true self.",白石 楓,True
confidence_core_romance,iyashikei,confidence_core_romance__ja_JP__iyashikei__series01,self_worth,風鈴のひそかな秘密,Whispers of Wind Chimes,藍沢 和,True
confidence_core_romance,romance_josei_drama,confidence_core_romance__ja_JP__romance_josei_drama__series01,social_anxiety,桜舞う秘密の約束,Cherry Blossom Promise,月影 泉,True
confidence_core_romance,romance_josei_drama,confidence_core_romance__ja_JP__romance_josei_drama__series02,imposter_syndrome,月光の迷い猫,Mystified Moonlit Cat,星空 凪,True
confidence_core_romance,romance_josei_drama,confidence_core_romance__ja_JP__romance_josei_drama__series03,self_worth,薔薇色の嘘と真実の花びら,A romantic drama about unraveling truths behind pink lies,森川 静,True
confidence_core_romance,supernatural_mystery,confidence_core_romance__ja_JP__supernatural_mystery__series01,social_anxiety,夜明け前の秘密交差点,Mysteries at the Dawn's Crossroads,風花 凪,True
creative_unfold_social,action_battle,creative_unfold_social__ja_JP__action_battle__series01,social_anxiety,華麗なる対決,Elegant Battle,海原 泉,True
creative_unfold_social,romance_josei_drama,creative_unfold_social__ja_JP__romance_josei_drama__series01,self_worth,月光の秘密誓い,Lunar Secrets Pledge,森川 穏,True
creative_unfold_social,school_coming_of_age,creative_unfold_social__ja_JP__school_coming_of_age__series01,courage,桜色の勇敢な翼,Crimson Brave Wings,白石 癒,True
creative_unfold_social,supernatural_mystery,creative_unfold_social__ja_JP__supernatural_mystery__series01,social_anxiety,夜明け前の繊細な声,Whispers at Dawn,白石 泉,True
devotion_path_shonen,action_battle,devotion_path_shonen__ja_JP__action_battle__series01,grief,闘う花嫁,Bride in Battle,海原 優,True
devotion_path_shonen,action_battle,devotion_path_shonen__ja_JP__action_battle__series02,compassion,慈愛の炎,Flame of Compassion,月影 柔,True
devotion_path_shonen,cultivation_martial,devotion_path_shonen__ja_JP__cultivation_martial__series01,courage,霊剣姫,Spiritual Sword Maiden,白石 蛍,True
devotion_path_shonen,dark_fantasy,devotion_path_shonen__ja_JP__dark_fantasy__series01,grief,幽世の結び目,Crossroads of the Spirit World,風花 穏,True
devotion_path_shonen,dark_fantasy,devotion_path_shonen__ja_JP__dark_fantasy__series02,compassion,呪眼の園丁,Gardener of Cursed Eyes,森川 柔,True
devotion_path_shonen,supernatural_mystery,devotion_path_shonen__ja_JP__supernatural_mystery__series01,courage,迷路の声,Maze Voice,星空 優,True
digital_ground,isekai,digital_ground__ja_JP__isekai__series01,burnout,断絶の地平線,Horizon of Separation,風花 楓,True
digital_ground,isekai,digital_ground__ja_JP__isekai__series02,imposter_syndrome,虚像の迷宮,Maze of Illusions,森川 和,True
digital_ground,iyashikei,digital_ground__ja_JP__iyashikei__series01,financial_anxiety,風の囁く庭園,Whispering Garden,雪村 和,True
digital_ground,psychological_horror,digital_ground__ja_JP__psychological_horror__series01,anxiety,影の囁き,Whispers in the Shadow,月影 静,True
digital_ground,psychological_horror,digital_ground__ja_JP__psychological_horror__series02,somatic_healing,静寂の触覚,Tactile Silence,月影 穏,True
digital_ground,psychological_horror,digital_ground__ja_JP__psychological_horror__series03,burnout,沈黙の影画,Whispering shadow play in silence,藍沢 泉,True
digital_ground,sci_fi_cyberpunk,digital_ground__ja_JP__sci_fi_cyberpunk__series01,imposter_syndrome,コード・アンバリュー,Cybernetic identity crisis,白石 蛍,True
digital_ground,sci_fi_cyberpunk,digital_ground__ja_JP__sci_fi_cyberpunk__series02,financial_anxiety,サイバー・シャドウチェイサー,Cyber Shadow Hunter,海原 楓,True
digital_ground,sci_fi_cyberpunk,digital_ground__ja_JP__sci_fi_cyberpunk__series03,anxiety,ネオンの反乱児,A neon-tinged tale of a cyberpunk rebel,風花 柔,True
digital_ground,sci_fi_cyberpunk,digital_ground__ja_JP__sci_fi_cyberpunk__series04,somatic_healing,電脳潜行者,Cybernetic Stealth Wanderer,白石 蛍,True
digital_ground,sci_fi_cyberpunk,digital_ground__ja_JP__sci_fi_cyberpunk__series05,burnout,ネオンの闇信号,Neo noir cyberpunk thriller,海原 静,True
digital_ground,workplace_drama,digital_ground__ja_JP__workplace_drama__series01,imposter_syndrome,虚構の共犯者,Mystery at the workplace involving deception,雪村 穏,True
digital_ground,workplace_drama,digital_ground__ja_JP__workplace_drama__series02,financial_anxiety,影金プロジェクト,shadow finance project,藍沢 泉,True
digital_ground,workplace_drama,digital_ground__ja_JP__workplace_drama__series03,anxiety,繋がりの迷宮,Maze of Connection,月影 和,True
executive_calm_workplace,dark_fantasy,executive_calm_workplace__ja_JP__dark_fantasy__series01,burnout,黙示録の残務整理,Apocalypse Office Cleanup,雪村 泉,True
executive_calm_workplace,psychological_thriller,executive_calm_workplace__ja_JP__psychological_thriller__series01,overthinking,絶対零秒,Deadly timing,風花 穏,True
executive_calm_workplace,psychological_thriller,executive_calm_workplace__ja_JP__psychological_thriller__series02,financial_anxiety,黒金の影,Shadow of Black Gold,白石 泉,True
executive_calm_workplace,sci_fi_cyberpunk,executive_calm_workplace__ja_JP__sci_fi_cyberpunk__series01,burnout,虚数時間社,A cyberpunk firm where time is manipulated,桜庭 凪,True
executive_calm_workplace,sci_fi_cyberpunk,executive_calm_workplace__ja_JP__sci_fi_cyberpunk__series02,overthinking,データヘルメット,cyber shield for the mind,海原 凪,True
executive_calm_workplace,workplace_drama,executive_calm_workplace__ja_JP__workplace_drama__series01,financial_anxiety,闇金傀儡,Puppet of the Dark Lender,月影 穏,True
executive_calm_workplace,workplace_drama,executive_calm_workplace__ja_JP__workplace_drama__series02,burnout,絶望管理部,Department of Despair Management,森川 優,True
executive_calm_workplace,workplace_drama,executive_calm_workplace__ja_JP__workplace_drama__series03,overthinking,静寂指令,A workplace drama where silence holds power,藍沢 穏,True
focus_sprint_workplace,action_battle,focus_sprint_workplace__ja_JP__action_battle__series01,adhd_focus,分秒必争,Time-sensitive workplace battles,月影 優,True
focus_sprint_workplace,action_battle,focus_sprint_workplace__ja_JP__action_battle__series02,imposter_syndrome,絶望カウンター,Despair Counter,桜庭 癒,True
focus_sprint_workplace,psychological_thriller,focus_sprint_workplace__ja_JP__psychological_thriller__series01,social_anxiety,密室の交渉人,Negotiator in a closed room,桜庭 蛍,True
focus_sprint_workplace,sports_competition,focus_sprint_workplace__ja_JP__sports_competition__series01,adhd_focus,絶頂ラブイン,Peak Love-in,藍沢 優,True
focus_sprint_workplace,sports_competition,focus_sprint_workplace__ja_JP__sports_competition__series02,imposter_syndrome,絶対加速,Unwavering Acceleration,星空 癒,True
focus_sprint_workplace,sports_competition,focus_sprint_workplace__ja_JP__sports_competition__series03,social_anxiety,決断のリング,A sports drama focusing on intense competition and decision-making,白石 蛍,True
focus_sprint_workplace,workplace_drama,focus_sprint_workplace__ja_JP__workplace_drama__series01,adhd_focus,静寂のサバイバー,Survivor in silence,星空 泉,True
focus_sprint_workplace,workplace_drama,focus_sprint_workplace__ja_JP__workplace_drama__series02,imposter_syndrome,影のドラifter,shadow office worker's struggle,海原 蛍,True
gentle_growth_healing,dark_fantasy,gentle_growth_healing__ja_JP__dark_fantasy__series01,self_worth,月食の縛り姫,Lunar Eclipse Enchantress,森川 癒,True
gentle_growth_healing,iyashikei,gentle_growth_healing__ja_JP__iyashikei__series01,imposter_syndrome,静寂の庭番,Gardener of Silent Patios,桜庭 優,True
gentle_growth_healing,iyashikei,gentle_growth_healing__ja_JP__iyashikei__series02,social_anxiety,風鈴の記憶,Calming Memories with Wind Chimes,藍沢 凪,True
gentle_growth_healing,romance_josei_drama,gentle_growth_healing__ja_JP__romance_josei_drama__series01,self_worth,桜の聲,Whispering Sakura,月影 凪,True
gentle_growth_healing,romance_josei_drama,gentle_growth_healing__ja_JP__romance_josei_drama__series02,imposter_syndrome,翳りの交響曲,Symphony of Shadows,月影 癒,True
gentle_growth_healing,romance_josei_drama,gentle_growth_healing__ja_JP__romance_josei_drama__series03,social_anxiety,花影の秘密,Whispers Under the Blossoms,森川 癒,True
gentle_growth_healing,supernatural_mystery,gentle_growth_healing__ja_JP__supernatural_mystery__series01,self_worth,琥珀色の迷宮,Mystery involving hidden values in a supernatural setting,桜庭 優,True
gentle_growth_healing,supernatural_mystery,gentle_growth_healing__ja_JP__supernatural_mystery__series02,imposter_syndrome,闇喰いの囁き,Whispers of the Shadow Eater,雪村 泉,True
healing_ground_healing,dark_fantasy,healing_ground_healing__ja_JP__dark_fantasy__series01,grief,月食の呪縛姫,Cursed princess bound by a lunar eclipse,雪村 和,True
healing_ground_healing,dark_fantasy,healing_ground_healing__ja_JP__dark_fantasy__series02,boundaries,影竊みの館,A dark fantasy about a mansion where shadows steal,森川 癒,True
healing_ground_healing,dark_fantasy,healing_ground_healing__ja_JP__dark_fantasy__series03,overthinking,夜光の呪符,Cursed charms under the moonlight,森川 静,True
healing_ground_healing,iyashikei,healing_ground_healing__ja_JP__iyashikei__series01,grief,雪化粧の秘密庭園,Mystery garden hidden under snow,藍沢 優,True
healing_ground_healing,iyashikei,healing_ground_healing__ja_JP__iyashikei__series02,boundaries,静寂の隠し庭,Garden of Hidden Silence,海原 穏,True
healing_ground_healing,psychological_thriller,healing_ground_healing__ja_JP__psychological_thriller__series01,overthinking,鏡花水月の迷路,Maze of Illusory Reflections,星空 和,True
healing_ground_healing,supernatural_mystery,healing_ground_healing__ja_JP__supernatural_mystery__series01,grief,闇喰いの花,A flower that feeds on darkness,星空 凪,True
healing_ground_healing,supernatural_mystery,healing_ground_healing__ja_JP__supernatural_mystery__series02,boundaries,影絵の隠し扉,Mystery of hidden doors in shadow plays,海原 楓,True
heart_balance_shojo,iyashikei,heart_balance_shojo__ja_JP__iyashikei__series01,social_anxiety,風鈴のひそやかな旋律,Whispers of the Wind Chime,白石 泉,True
heart_balance_shojo,iyashikei,heart_balance_shojo__ja_JP__iyashikei__series02,boundaries,月影の秘密庭園,Mysteries in a Moonlit Secret Garden,森川 泉,True
heart_balance_shojo,romance_josei_drama,heart_balance_shojo__ja_JP__romance_josei_drama__series01,self_worth,桜舞う秘密の約束,Cherry Blossoms Swirling Secret Pact,水瀬 静,True
heart_balance_shojo,romance_josei_drama,heart_balance_shojo__ja_JP__romance_josei_drama__series02,social_anxiety,花散る逢瀬,A romantic drama amidst fallen blossoms,藍沢 凪,True
heart_balance_shojo,romance_josei_drama,heart_balance_shojo__ja_JP__romance_josei_drama__series03,boundaries,桜の囁きを超えて,Whispers Beyond the Cherry Blossoms,藍沢 癒,True
heart_balance_shojo,supernatural_mystery,heart_balance_shojo__ja_JP__supernatural_mystery__series01,self_worth,闇喰いの鏡,Mirror that consumes darkness,月影 癒,True
heart_balance_shojo,workplace_drama,heart_balance_shojo__ja_JP__workplace_drama__series01,social_anxiety,桜色の壁術,Cherry Blossom Colored Social Tactics,星空 凪,True
heart_balance_shojo,workplace_drama,heart_balance_shojo__ja_JP__workplace_drama__series02,boundaries,桜夜の隠し扉,Secret Door in the Cherry Blossom Night,月影 蛍,True
high_performer_workplace,dark_fantasy,high_performer_workplace__ja_JP__dark_fantasy__series01,burnout,焔竒跡の魔術師,Cursed magician and fiery anomalies,藍沢 静,True
high_performer_workplace,dark_fantasy,high_performer_workplace__ja_JP__dark_fantasy__series02,financial_anxiety,影絵の預言者,Prophecy Weaver in Shadows,森川 静,True
high_performer_workplace,historical_period,high_performer_workplace__ja_JP__historical_period__series01,imposter_syndrome,闇夜の軍師,Mystical Strategist in the Dark Night,藍沢 穏,True
high_performer_workplace,historical_period,high_performer_workplace__ja_JP__historical_period__series02,overthinking,乱世の棋士,A chess master in a chaotic era,森川 穏,True
high_performer_workplace,psychological_thriller,high_performer_workplace__ja_JP__psychological_thriller__series01,burnout,零時を超えた迷宮,Maze Beyond Midnight,桜庭 蛍,True
high_performer_workplace,psychological_thriller,high_performer_workplace__ja_JP__psychological_thriller__series02,financial_anxiety,虚構銀行家,A psychological thriller about deception and financial anxiety,桜庭 泉,True
high_performer_workplace,workplace_drama,high_performer_workplace__ja_JP__workplace_drama__series01,imposter_syndrome,虚栄の罠,Trap of Vanity,水瀬 柔,True
high_performer_workplace,workplace_drama,high_performer_workplace__ja_JP__workplace_drama__series02,overthinking,虚無指令,Bureaucratic orders leading to nowhere,桜庭 楓,True
hormone_reset_healing,iyashikei,hormone_reset_healing__ja_JP__iyashikei__series01,somatic_healing,風鈴の記憶,Bell Jar Memories,白石 蛍,True
hormone_reset_healing,iyashikei,hormone_reset_healing__ja_JP__iyashikei__series02,self_worth,桜散る秘密,The Secret of Falling Petals,白石 凪,True
hormone_reset_healing,psychological_horror,hormone_reset_healing__ja_JP__psychological_horror__series01,anxiety,月食の呪縛,Lunar Eclipse Curse,藍沢 泉,True
hormone_reset_healing,romance_josei_drama,hormone_reset_healing__ja_JP__romance_josei_drama__series01,somatic_healing,花火の繋がり,Connection Through Fireworks,雪村 優,True
hormone_reset_healing,supernatural_mystery,hormone_reset_healing__ja_JP__supernatural_mystery__series01,self_worth,鏡花水月,Mystery of Reflecting Self Worth,海原 凪,True
hormone_reset_healing,supernatural_mystery,hormone_reset_healing__ja_JP__supernatural_mystery__series02,anxiety,闇の囁き,Whispers of the Dark,風花 癒,True
legacy_builder_memoir,dark_fantasy,legacy_builder_memoir__ja_JP__dark_fantasy__series01,self_worth,闇喰いの紋章,Cursed seal eating darkness,白石 柔,True
legacy_builder_memoir,historical_period,legacy_builder_memoir__ja_JP__historical_period__series01,grief,炎消ゆる夜の密使,A Secret Messenger in the Night of Extinguished Flames,月影 蛍,True
legacy_builder_memoir,iyashikei,legacy_builder_memoir__ja_JP__iyashikei__series01,financial_anxiety,静寂の財布,Wallet of Tranquility,星空 楓,True
legacy_builder_memoir,psychological_thriller,legacy_builder_memoir__ja_JP__psychological_thriller__series01,shame,影踏み探偵,Shadow-steps detective,星空 柔,True
longevity_lab_healing,historical_period,longevity_lab_healing__ja_JP__historical_period__series01,somatic_healing,繭月楼の密室,"A historical mystery set in a secluded mansion, focusing on sensory perception and hidden truths.",桜庭 泉,True
longevity_lab_healing,historical_period,longevity_lab_healing__ja_JP__historical_period__series02,self_worth,影武者の遺言,A historical mystery about a shadow warrior's legacy,白石 凪,True
longevity_lab_healing,iyashikei,longevity_lab_healing__ja_JP__iyashikei__series01,grief,静寂の向こう側,Whisper Beyond Silence,星空 静,True
longevity_lab_healing,iyashikei,longevity_lab_healing__ja_JP__iyashikei__series02,somatic_healing,風林荘のひそやかな刻,Whispering Moments at Fuurinso,白石 凪,True
longevity_lab_healing,sci_fi_cyberpunk,longevity_lab_healing__ja_JP__sci_fi_cyberpunk__series01,self_worth,虚像都市の裁き者,Judge of the Illusory City,水瀬 蛍,True
longevity_lab_healing,supernatural_mystery,longevity_lab_healing__ja_JP__supernatural_mystery__series01,grief,闇に潜む喪失,Mourning Hidden in Darkness,海原 楓,True
minimal_mind_healing,iyashikei,minimal_mind_healing__ja_JP__iyashikei__series01,overthinking,静寂の囁き,Whispers of Silence,海原 優,True
minimal_mind_healing,iyashikei,minimal_mind_healing__ja_JP__iyashikei__series02,anxiety,月光の廃墟,Whispers of the Moonlit Ruins,森川 凪,True
minimal_mind_healing,iyashikei,minimal_mind_healing__ja_JP__iyashikei__series03,burnout,宵闇の図書室,Whispering Library at Dusk,桜庭 癒,True
minimal_mind_healing,psychological_thriller,minimal_mind_healing__ja_JP__psychological_thriller__series01,overthinking,虚ろな眼まつり,Festival of Vacant Eyes,森川 凪,True
minimal_mind_healing,psychological_thriller,minimal_mind_healing__ja_JP__psychological_thriller__series02,anxiety,虚無探侦ファイル,File of a detective who uncovers emptiness,星空 泉,True
minimal_mind_healing,sci_fi_cyberpunk,minimal_mind_healing__ja_JP__sci_fi_cyberpunk__series01,burnout,断末Overrides,A cyberpunk story where human limits are pushed to the digital realm,月影 泉,True
minimal_mind_healing,sci_fi_cyberpunk,minimal_mind_healing__ja_JP__sci_fi_cyberpunk__series02,overthinking,データサイコニクス,Mind manipulation in cyberpunk society,桜庭 穏,True
minimal_mind_healing,supernatural_mystery,minimal_mind_healing__ja_JP__supernatural_mystery__series01,anxiety,影絵の館,Mystery unfolds in a mansion where shadows speak,藍沢 蛍,True
morning_momentum_workplace,action_battle,morning_momentum_workplace__ja_JP__action_battle__series01,burnout,烈火の炎滅,Blazing Extinction,桜庭 癒,True
morning_momentum_workplace,action_battle,morning_momentum_workplace__ja_JP__action_battle__series02,courage,烈風剣斗士,Brave Wind Sword Fights,雪村 楓,True
morning_momentum_workplace,isekai,morning_momentum_workplace__ja_JP__isekai__series01,self_worth,鏡の向こう異界戦士,MIRROR WORLDS WARRIOR,風花 蛍,True
morning_momentum_workplace,sports_competition,morning_momentum_workplace__ja_JP__sports_competition__series01,burnout,極限超越者,Extreme Overachiever,雪村 楓,True
morning_momentum_workplace,sports_competition,morning_momentum_workplace__ja_JP__sports_competition__series02,courage,烈風駆ける,Racing Against the Strong Wind,星空 柔,True
morning_momentum_workplace,sports_competition,morning_momentum_workplace__ja_JP__sports_competition__series03,self_worth,勝利の隠し球,Hidden ace in sports competition,森川 蛍,True
morning_momentum_workplace,workplace_drama,morning_momentum_workplace__ja_JP__workplace_drama__series01,burnout,月曜日の闘神,Monday warrior overcoming weekly challenges,星空 優,True
morning_momentum_workplace,workplace_drama,morning_momentum_workplace__ja_JP__workplace_drama__series02,courage,決断の果て,Drama of courage in the workplace,海原 癒,True
night_reset_healing,dark_fantasy,night_reset_healing__ja_JP__dark_fantasy__series01,sleep,夢見月の呪縛,"Cursed by dreams, a dark fantasy about women trapped in the realm of sleep",星空 泉,True
night_reset_healing,iyashikei,night_reset_healing__ja_JP__iyashikei__series01,anxiety,夜のヒーリングブック,Nighttime Healing Book,水瀬 静,True
night_reset_healing,iyashikei,night_reset_healing__ja_JP__iyashikei__series02,grief,宵闇の静寂図書館,Evening tranquility library,森川 優,True
night_reset_healing,iyashikei,night_reset_healing__ja_JP__iyashikei__series03,sleep,月光の秘密庭園,Moonlit Secret Garden,海原 癒,True
night_reset_healing,psychological_horror,night_reset_healing__ja_JP__psychological_horror__series01,anxiety,夜光の迷路,Labyrinth of Nightlight,雪村 泉,True
night_reset_healing,psychological_horror,night_reset_healing__ja_JP__psychological_horror__series02,grief,夜露の消えゆく声,Voices fading with the dew of night,水瀬 蛍,True
night_reset_healing,supernatural_mystery,night_reset_healing__ja_JP__supernatural_mystery__series01,sleep,夜色の遺跡探索,Exploring Night's Ruins,桜庭 穏,True
night_reset_healing,supernatural_mystery,night_reset_healing__ja_JP__supernatural_mystery__series02,anxiety,夜色の反転鏡,Mirrors that invert the night,桜庭 静,True
optimizer_workplace,psychological_thriller,optimizer_workplace__ja_JP__psychological_thriller__series01,overthinking,幻影裁判所,Mystery court tackles unseen flaws,月影 凪,True
optimizer_workplace,psychological_thriller,optimizer_workplace__ja_JP__psychological_thriller__series02,burnout,影の遺産,Shadow Legacy,星空 柔,True
optimizer_workplace,psychological_thriller,optimizer_workplace__ja_JP__psychological_thriller__series03,imposter_syndrome,虚像の死角,Illusionary Blind Spot,桜庭 穏,True
optimizer_workplace,sci_fi_cyberpunk,optimizer_workplace__ja_JP__sci_fi_cyberpunk__series01,overthinking,電脳迷宮の行方,Maze of Cybernetic Labyrinth,桜庭 凪,True
optimizer_workplace,sci_fi_cyberpunk,optimizer_workplace__ja_JP__sci_fi_cyberpunk__series02,burnout,ネオン迷途,Neon labyrinth,水瀬 泉,True
optimizer_workplace,sports_competition,optimizer_workplace__ja_JP__sports_competition__series01,imposter_syndrome,反逆のゴール,Rebel's Goal,水瀬 楓,True
optimizer_workplace,workplace_drama,optimizer_workplace__ja_JP__workplace_drama__series01,overthinking,虚構の対局,Drama of illusion versus reality in a workplace,藍沢 柔,True
optimizer_workplace,workplace_drama,optimizer_workplace__ja_JP__workplace_drama__series02,burnout,残照廃墟,Dying light in a deserted workplace,風花 蛍,True
qi_foundation_cultivation,action_battle,qi_foundation_cultivation__ja_JP__action_battle__series01,somatic_healing,幻影格闘倶楽部,Illusion Combat Club,森川 和,True
