surface_id	mode	priority	spec_of_record	research_anchor	runtime_or_artifact_path	current_acceptance_layer	definition_of_100pct	content_gap	translation_gap	function_gap	proof_gap	active_pr_or_workstream	next_action	blocker_owner	notes
music_mode_phase_a	music_mode	P2	docs/specs/MUSIC_MODE_V2_PRODUCTION_READINESS_SPEC.md	none (diversity thresholds unbound)	config/music/	CONFIG-EXISTS	first real musician + 6 pools + smoke book	all real musician content	all locales	MusicGen Phase B; diversity CI	zero shipped	none	onboard-musician-1	Pearl_Editor + operator Q-MM-V2	Infra-ready content-empty
music_mode_diversity_ci	music_mode	P3	MUSIC_MODE_V2 §5	research_missing	scripts/ci/ (not landed)	document_missing	CI guard PASS pre-publish	none	none	diversity gate script	none	none	implement-§5-guard	Pearl_Dev	No research anchor
translation_ja_jp	translation	P1	config/localization/locale_registry.yaml	research/2026-03-30_asian-persona-topic-market-fit.md	atoms/**/ja-JP/	SPECCED (#5480)	Phase B: 1890 ja cells × ≥3 variants	all en-US gaps inherit	~0% execution on main	Ollama path (#5496)	none	#5496 #5501 #5501	merge-pilots scale batch	Pearl_Localization	July 10 wave
translation_zh_tw	translation	P1	locale_registry.yaml	research/2026-03-30_asian-persona-topic-market-fit.md	atoms/**/zh-TW/	SPECCED	Phase C zh-TW cells translated	none	92.1% drift claimed; 6 atoms in PR	none	none	#5499	merge-5499	Pearl_Localization	
translation_zh_cn	translation	P1	locale_registry.yaml	research/2026-03-30_asian-persona-topic-market-fit.md	atoms/**/zh-CN/	SPECCED	Stage-1 gen_z cells	none	stage-1 gaps	none	none	#5500	merge-5500	Pearl_Localization	
translation_ko_kr	translation	P2	locale_registry.yaml	research/2026-03-30_asian-persona-topic-market-fit.md	atoms/**/ko-KR/	SPECCED (skeletons only)	Phase C ko-KR execution	none	0% execution	none	none	catalog skeleton PRs	dispatch-ko-wave-1	Pearl_Localization	No July 10 execution PR
translation_non_cjk	translation	P2	locale_registry.yaml	research/2026-03-30_europe-latam-persona-topic-market-fit.md	atoms/**/pt-BR es-US/	SPECCED	Wave 1 pilot cells	none	0% on main	none	none	#5495	merge-5495	Pearl_Localization	pt-BR es-US midlife/anxiety pilot
translation_ci_coverage	translation	P1	docs/localization quality contract (#5480)	none	scripts/ci/report_translation_coverage.py	CODE-WIRED	depth-independent counting	none	none	#5497 fixes counting	none	#5497 #5498	merge-ci-fixes	Pearl_Dev	
manga_alarm_is_lying	manga	P4	docs/specs/MANGA_100PCT_PRODUCTION_ROADMAP_2026-07-03.md	docs/research/manga_craft/*	artifacts/manga/anxiety_series/	EXECUTED-REAL	one series end-to-end	none	none	none	not PROVEN-AT-BAR	none	operator-blind-read optional	operator	Not books prerequisite
manga_mecha_proof	manga	P4	MANGA_HUMAN_READABILITY rules	artifacts/research/manga_*	artifacts/manga/warrior_calm_cultivation*/assembled/	system working	native bank + assembly validators	none	none	none	blind-10 missing	#5486 landed (main)	operator-blind-read	Pearl_Dev	July 10 merged
manga_catalog_grid	manga	P5	MANGA vision audit 2026-07-03	manga craft bibles	config/manga/	CONFIG-EXISTS	R2/R6 stories-first at scale	1345 plans 16 scripts	none	story-authored gate partial	R7 5%	catalog skeleton N/A	M3 stories-first	Pearl_Writer	After books Wave 1
format_registry_22formats	format_duration	P1	config/format_selection/format_registry.yaml	research/2026-03-31_optimal-content-durations-global.md	phoenix_v4/ops/duration_derivation.py	CODE-WIRED	all formats derived + contract CI	none	none	none	10 atom-native formats no proof render	none	proof-render-pilot	Pearl_Dev	22 runtimes on main
extended_book_2h_proof	format_duration	P0	DURATION_DERIVATION_SPEC.md	duration research	flagship + format_registry	PROVEN-AT-BAR (flagship)	≥1 PROVEN-AT-BAR per priority format	none	none	none	flagship only	none	hold-golden	Pearl_Dev	
deep_book_6h_catalog	format_duration	P2	format_registry.yaml	duration research	run_pipeline deep_book_6h	system working (xfail scoped)	non-flagship 6h cells if commissioned	none	none	xfail gen_z×anxiety×6h only	none	none	content-program-if-needed	operator	Retired for flagship cell only
ghl_marketing_attach	marketing	P1	docs/PROGRAM_STATE.md §GHL	none	brand_deliveries/way_stream_sanctuary.json	EXECUTED-REAL (1 paid)	all paid slots have real EPUB asset	none	none	batch attach automation	none	#1947 pattern	attach-per-new-epub	Pearl_Prime	Free live; paid gated on asset
storefront_consumer_paid	storefront	P2	docs/specs/PEARL_PRIME_STOREFRONT_V1_SPEC.md	none	brand-admin storefront	LIVE (listings)	paid download scale	asset depth	none	none	Phase A smoke stalled	none EPUB wave	unblock-after-epub-wave	operator	Do not conflate GHL attach with storefront Phase A
layer4_blind_corpus	proof	P1	PEARL_PRIME_BESTSELLER_ACCEPTANCE_SCORECARD.md Layer 4	research_missing (blind-10 protocol)	artifacts/qa/ OP D-20260707-FLAGSHIP-L4	PROVEN-AT-BAR (n=1)	N≥10 Layer-4 approvals for catalog claim	none	none	blind-read harness	n=1 flagship only	none	dispatch-10cell-blind	Pearl_PM + operator	Top proof gap for scale claim
bestseller_story_schedule	composite_regular	P1	PEARL_PRIME_BESTSELLER_WRITING_OVERLAY_SPEC.md	BESTSELLER_DRIFT doc	phoenix_v4/rendering/section_packet_composer.py	system working (partial)	SCENE slots 2/5/9 named-character via story_schedule	none	none	Path B compose consumption gap	none	#5206 audit	ws_bestseller_pipeline_path_b	Pearl_Dev	EXERCISE wired; SCENE gap per Architect
full_system_redundancy_audit	governance	P5	PR #5295 scope	none	artifacts/analysis/FULL_SYSTEM_AUDIT_2026-07-09/	local_only (PR)	owner-gated cleanup roadmap	none	none	none	none	#5295	do-not-merge-this-lane	owner	Evidence input only
best_path_enforcement	governance	P3	PR #4861 scope	none	audit artifacts in PR	SPECCED	manga+book canary enforcement	none	none	canary wiring partial	none	#4861	consume-not-duplicate	Pearl_Architect	Adjacent audit
