queue_row_id	row_type	source_bank	source_file	item_id	atom_family_or_kind	locale	market_fit	platform_fit	surface_fit	review_status	native_review_required	promotion_allowed_before_native_review	production_ready	required_reviewer	risk_summary	notes
NREV-0012	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHTW-OPENING_HOOK_ADAPTER-02	LOCALIZATION_ADAPTER	zh-TW	zh-TW	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	never Simplified Chinese; avoid Mainland-only memes; preserve local terms	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0013	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHTW-CTA_ADAPTER-03	LOCALIZATION_ADAPTER	zh-TW	zh-TW	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	never Simplified Chinese; avoid Mainland-only memes; preserve local terms	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0014	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHTW-SCRIPT_PUNCTUATION-04	LOCALIZATION_ADAPTER	zh-TW	zh-TW	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	never Simplified Chinese; avoid Mainland-only memes; preserve local terms	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0015	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHTW-CULTURE_RISK-05	LOCALIZATION_ADAPTER	zh-TW	zh-TW	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	never Simplified Chinese; avoid Mainland-only memes; preserve local terms	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0016	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHTW-PLATFORM_BIAS-06	LOCALIZATION_ADAPTER	zh-TW	zh-TW	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	never Simplified Chinese; avoid Mainland-only memes; preserve local terms	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0017	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHTW-PROOF_SIGNAL-07	LOCALIZATION_ADAPTER	zh-TW	zh-TW	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	never Simplified Chinese; avoid Mainland-only memes; preserve local terms	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0018	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHTW-VIDEO_CADENCE-08	LOCALIZATION_ADAPTER	zh-TW	zh-TW	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	never Simplified Chinese; avoid Mainland-only memes; preserve local terms	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0019	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHTW-SOCIAL_SEO_TERMS-09	LOCALIZATION_ADAPTER	zh-TW	zh-TW	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	never Simplified Chinese; avoid Mainland-only memes; preserve local terms	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0020	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHTW-NATIVE_REVIEW_GATE-10	LOCALIZATION_ADAPTER	zh-TW	zh-TW	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	never Simplified Chinese; avoid Mainland-only memes; preserve local terms	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0021	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-KOKR-VOICE_POSTURE-01	LOCALIZATION_ADAPTER	ko-KR	ko-KR	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	native review required for speech level, honorifics, trend references	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0022	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-KOKR-OPENING_HOOK_ADAPTER-02	LOCALIZATION_ADAPTER	ko-KR	ko-KR	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	native review required for speech level, honorifics, trend references	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0023	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-KOKR-CTA_ADAPTER-03	LOCALIZATION_ADAPTER	ko-KR	ko-KR	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	native review required for speech level, honorifics, trend references	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0024	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-KOKR-SCRIPT_PUNCTUATION-04	LOCALIZATION_ADAPTER	ko-KR	ko-KR	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	native review required for speech level, honorifics, trend references	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0025	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-KOKR-CULTURE_RISK-05	LOCALIZATION_ADAPTER	ko-KR	ko-KR	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	native review required for speech level, honorifics, trend references	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0026	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-KOKR-PLATFORM_BIAS-06	LOCALIZATION_ADAPTER	ko-KR	ko-KR	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	native review required for speech level, honorifics, trend references	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0027	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-KOKR-PROOF_SIGNAL-07	LOCALIZATION_ADAPTER	ko-KR	ko-KR	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	native review required for speech level, honorifics, trend references	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0028	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-KOKR-VIDEO_CADENCE-08	LOCALIZATION_ADAPTER	ko-KR	ko-KR	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	native review required for speech level, honorifics, trend references	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0029	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-KOKR-SOCIAL_SEO_TERMS-09	LOCALIZATION_ADAPTER	ko-KR	ko-KR	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	native review required for speech level, honorifics, trend references	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0030	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-KOKR-NATIVE_REVIEW_GATE-10	LOCALIZATION_ADAPTER	ko-KR	ko-KR	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	native review required for speech level, honorifics, trend references	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0031	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHCN-VOICE_POSTURE-01	LOCALIZATION_ADAPTER	zh-CN	zh-CN	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid superlatives, medical claims, sensitive topics, banned phrasing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0032	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHCN-OPENING_HOOK_ADAPTER-02	LOCALIZATION_ADAPTER	zh-CN	zh-CN	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid superlatives, medical claims, sensitive topics, banned phrasing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0033	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHCN-CTA_ADAPTER-03	LOCALIZATION_ADAPTER	zh-CN	zh-CN	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid superlatives, medical claims, sensitive topics, banned phrasing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0034	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHCN-SCRIPT_PUNCTUATION-04	LOCALIZATION_ADAPTER	zh-CN	zh-CN	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid superlatives, medical claims, sensitive topics, banned phrasing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0035	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHCN-CULTURE_RISK-05	LOCALIZATION_ADAPTER	zh-CN	zh-CN	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid superlatives, medical claims, sensitive topics, banned phrasing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0036	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHCN-PLATFORM_BIAS-06	LOCALIZATION_ADAPTER	zh-CN	zh-CN	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid superlatives, medical claims, sensitive topics, banned phrasing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0037	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHCN-PROOF_SIGNAL-07	LOCALIZATION_ADAPTER	zh-CN	zh-CN	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid superlatives, medical claims, sensitive topics, banned phrasing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0038	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHCN-VIDEO_CADENCE-08	LOCALIZATION_ADAPTER	zh-CN	zh-CN	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid superlatives, medical claims, sensitive topics, banned phrasing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0039	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHCN-SOCIAL_SEO_TERMS-09	LOCALIZATION_ADAPTER	zh-CN	zh-CN	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid superlatives, medical claims, sensitive topics, banned phrasing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0040	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHCN-NATIVE_REVIEW_GATE-10	LOCALIZATION_ADAPTER	zh-CN	zh-CN	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid superlatives, medical claims, sensitive topics, banned phrasing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0041	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHHK-VOICE_POSTURE-01	LOCALIZATION_ADAPTER	zh-HK	zh-HK	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid forced Cantonese, political sensitivity, hard-sell resource framing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0042	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHHK-OPENING_HOOK_ADAPTER-02	LOCALIZATION_ADAPTER	zh-HK	zh-HK	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid forced Cantonese, political sensitivity, hard-sell resource framing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0043	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHHK-CTA_ADAPTER-03	LOCALIZATION_ADAPTER	zh-HK	zh-HK	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid forced Cantonese, political sensitivity, hard-sell resource framing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0044	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHHK-SCRIPT_PUNCTUATION-04	LOCALIZATION_ADAPTER	zh-HK	zh-HK	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid forced Cantonese, political sensitivity, hard-sell resource framing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0045	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHHK-CULTURE_RISK-05	LOCALIZATION_ADAPTER	zh-HK	zh-HK	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid forced Cantonese, political sensitivity, hard-sell resource framing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0046	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHHK-PLATFORM_BIAS-06	LOCALIZATION_ADAPTER	zh-HK	zh-HK	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid forced Cantonese, political sensitivity, hard-sell resource framing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0047	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHHK-PROOF_SIGNAL-07	LOCALIZATION_ADAPTER	zh-HK	zh-HK	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid forced Cantonese, political sensitivity, hard-sell resource framing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0048	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHHK-VIDEO_CADENCE-08	LOCALIZATION_ADAPTER	zh-HK	zh-HK	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid forced Cantonese, political sensitivity, hard-sell resource framing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0049	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHHK-SOCIAL_SEO_TERMS-09	LOCALIZATION_ADAPTER	zh-HK	zh-HK	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid forced Cantonese, political sensitivity, hard-sell resource framing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0050	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ZHHK-NATIVE_REVIEW_GATE-10	LOCALIZATION_ADAPTER	zh-HK	zh-HK	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	avoid forced Cantonese, political sensitivity, hard-sell resource framing	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0051	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ENSG-VOICE_POSTURE-01	LOCALIZATION_ADAPTER	en-SG	en-SG	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	PDPA consent/privacy notice for lead capture; avoid caricature Singlish	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0052	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ENSG-OPENING_HOOK_ADAPTER-02	LOCALIZATION_ADAPTER	en-SG	en-SG	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	PDPA consent/privacy notice for lead capture; avoid caricature Singlish	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0053	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ENSG-CTA_ADAPTER-03	LOCALIZATION_ADAPTER	en-SG	en-SG	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	PDPA consent/privacy notice for lead capture; avoid caricature Singlish	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
NREV-0054	atom	apac_localization_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/apac_localization_atoms.jsonl	APAC-ENSG-SCRIPT_PUNCTUATION-04	LOCALIZATION_ADAPTER	en-SG	en-SG	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	all_localized_surfaces	native_review_required	yes	no	no	native_language_culture_compliance_reviewer	PDPA consent/privacy notice for lead capture; avoid caricature Singlish	Excluded from promotion_candidate_manifest until signed native reviewer evidence exists.
