atom_path	classification	first_paragraph_excerpt	rewrite_priority
atoms/educators/compassion_fatigue/HOOK/CANONICAL.txt	SCENE_FIRST	Mr. Holloway is alone in his classroom after the last bell, grading tray in his lap, shoulders heavy from the student who told him about home — his chest still carries it hours later.	P2
atoms/educators/courage/HOOK/CANONICAL.txt	SCENE_FIRST	Ms. Reyes is standing outside the principal's office at 3:40 PM, hand raised to knock, palms damp — she already knows saying she's wrong will cost something and her body is doing it anyway.	P2
atoms/educators/depression/HOOK/CANONICAL.txt	SCENE_FIRST	Naomi is in the hallway when the bell rings, feet moving toward her classroom on autopilot, chest heavy — she used to love this part of the day and now she is just standing up anyway.	P2
atoms/educators/financial_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Lena is at the kitchen table with her laptop open to the student loan portal, district salary-freeze email still on screen — her chest tightens on the math she already ran twice.	P2
atoms/educators/financial_stress/HOOK/CANONICAL.txt	SCENE_FIRST	You're standing in the teacher supply aisle with a half-full cart, calculator app open on your phone, chest tight — you will buy the markers anyway because your students need them.	P2
atoms/educators/grief/HOOK/CANONICAL.txt	SCENE_FIRST	Ms. Reyes is in the staff lounge between periods, eyes on the empty desk where a student used to sit — her chest feels hollow while the school bell schedules the next class.	P2
atoms/educators/imposter_syndrome/HOOK/CANONICAL.txt	SCENE_FIRST	Dr. Patel is at the back of Elena's classroom during fourth period, arms folded, watching — Elena's throat closes even though she knows the content; her body does not believe she is allowed to know it	P2
atoms/educators/overthinking/HOOK/CANONICAL.txt	SCENE_FIRST	Maya is at her dining table three hours after school, dishes still in the sink, jaw tight — the moment one instruction did not land keeps replaying in her head at full volume.	P2
atoms/educators/self_worth/HOOK/CANONICAL.txt	SCENE_FIRST	You're at your grading desk after school, red pen hovering over a stack of tests, chest tight — their score is about to become your worth again and you hate that you let it.	P2
atoms/educators/sleep_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Elena is in bed on Sunday at 10 PM, eyes open to the ceiling, shoulders braced — her body is already running Monday's attendance, the noon IEP, and the seat change she has not made yet.	P2
atoms/educators/social_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Mr. Holloway is at the front of the cafeteria-turned-auditorium on back-to-school night, forty parents staring up at him — his chest tightens the way it does for a room full of students, except these 	P2
atoms/educators/somatic_healing/HOOK/CANONICAL.txt	SCENE_FIRST	Elena sits on her couch on the last day of June, hands pressed into her lower back — nine months of standing, managing, and absorbing, and her body is presenting the bill.	P2
atoms/entrepreneurs/anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Your chest tightens when the client goes silent. The invoice sits unpaid and the email sits unopened and somewhere in your gut you know the deal is dead, but checking would make it real. That's the an	P2
atoms/entrepreneurs/boundaries/HOOK/CANONICAL.txt	SCENE_FIRST	You're standing at the kitchen counter at 10:06 PM, phone already lit with the client's text, thumb moving toward reply before you decide whether tonight counts as yours.	P0
atoms/entrepreneurs/burnout/HOOK/CANONICAL.txt	SCENE_FIRST	Somewhere past midnight you're still at the laptop in the home office, shoulders locked toward your ears, refreshing the dashboard because stopping feels like letting the business die.	P0
atoms/entrepreneurs/compassion_fatigue/HOOK/CANONICAL.txt	SCENE_FIRST	You're on the couch at 10:30 PM, phone still in your hand from the client thread, shoulders sagging — you gave the launch everything and there is nothing left when your partner asks how the day was.	P1
atoms/entrepreneurs/courage/HOOK/CANONICAL.txt	SCENE_FIRST	You're in the war room at 9 AM, whiteboard full of the pivot everyone needs, jaw clenched — you built the wrong thing on purpose and admitting it means telling the believers you were wrong.	P1
atoms/entrepreneurs/depression/HOOK/CANONICAL.txt	SCENE_FIRST	You're at the launch party in your own office, plastic cup in hand, smile fixed — the metrics went live an hour ago and your chest is flat where excitement was supposed to land.	P1
atoms/entrepreneurs/financial_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	You're at the kitchen counter at 1:12 AM, revenue dashboard open on the laptop, thumb frozen on refresh — the number is good tonight and your stomach still treats good as temporary.	P1
atoms/entrepreneurs/financial_stress/HOOK/CANONICAL.txt	SCENE_FIRST	You're in the home office on the first of the month, expenses tab higher than revenue, looking away from the screen — your personal savings are the gap you are standing on now.	P1
atoms/entrepreneurs/grief/HOOK/CANONICAL.txt	SCENE_FIRST	You're packing laptops into a cardboard box in the coworking space at 6 PM, shoulders heavy — the company is closed and grief is sitting in your chest without asking if that is reasonable.	P1
atoms/entrepreneurs/imposter_syndrome/HOOK/CANONICAL.txt	SCENE_FIRST	You're sitting in the investor debrief room after the term sheet signed, smiling on cue, palms damp against your notebook — waiting for someone to say the win was luck.	P0
atoms/entrepreneurs/overthinking/HOOK/CANONICAL.txt	SCENE_FIRST	You're at the kitchen table at 2:11 AM, laptop open on a decision you already made, jaw tight — replaying the pitch deck slide not for strategy but for proof you are allowed to exist.	P0
atoms/entrepreneurs/self_worth/HOOK/CANONICAL.txt	SCENE_FIRST	You're at the standing desk when the MRR chart dips, hands gripping the edge, breath shallow — you know revenue is not identity and your body keeps score anyway.	P1
atoms/entrepreneurs/sleep_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	You're lying awake at 3:04 AM in bed, phone face-down on the nightstand buzzing with a vendor alert you cannot ignore, eyes open because the business is on-call in your nervous system.	P0
atoms/entrepreneurs/social_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	You're in the lobby of the industry conference, badge printed, coffee cup warming your hands, rehearsing the opener in your throat before you walk into a room full of people you are supposed to networ	P0
atoms/entrepreneurs/somatic_healing/HOOK/CANONICAL.txt	SCENE_FIRST	You're at the desk before the investor call, trying to roll your shoulders down — they stay pinned near your ears because running the company has taught your body that straight is unsafe.	P1
atoms/first_responders/anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Marcus is at the front door after shift, key in the lock, checking it again — his hand reaches for the light switch and his chest is already running a call that is not happening.	P1
atoms/first_responders/boundaries/HOOK/CANONICAL.txt	SCENE_FIRST	Sofia is in the station break room at 5:45 AM, phone buzzing with another overtime ask, thumb hovering over yes — her shoulders drop because she already knows she will take it.	P1
atoms/first_responders/burnout/HOOK/CANONICAL.txt	SCENE_FIRST	Jake is in the apparatus bay after a double, helmet on the bench, hands on his knees — the shift that used to light him up feels like another watch he survives and drives home from.	P1
atoms/first_responders/compassion_fatigue/HOOK/CANONICAL.txt	SCENE_FIRST	Sofia is at the kitchen table still in uniform, dinner untouched, eyes on the wall — she remembers when every call mattered on the drive home and now she arrives empty.	P1
atoms/first_responders/courage/HOOK/CANONICAL.txt	SCENE_FIRST	Marcus is in the peer-support room at the station, chair pulled out, hands flat on his thighs — he can run into a burning building and sitting with what happened inside it takes a different kind of ne	P1
atoms/first_responders/depression/HOOK/CANONICAL.txt	SCENE_FIRST	Jake is in the locker room after shift, sitting on the bench, laces loose — he shows up, does the job, drives home, and nothing in his chest registers as arrival.	P1
atoms/first_responders/financial_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Marcus is at the kitchen table in uniform still damp from rain, calculator and insurance bill spread out — his jaw is clenched before the overtime math finishes.	P1
atoms/first_responders/financial_stress/HOOK/CANONICAL.txt	SCENE_FIRST	Marcus is at the kitchen table after night shift, uniform still on, hunched over the insurance bill with a calculator — the pay on the stub has not moved in two years and his jaw is clenched before th	P0
atoms/first_responders/grief/HOOK/CANONICAL.txt	SCENE_FIRST	Sofia is in her car in the station lot after the pediatric call, hands on the wheel, eyes forward — the child on the scene is in her chest in a way no debrief file will touch.	P1
atoms/first_responders/imposter_syndrome/HOOK/CANONICAL.txt	SCENE_FIRST	Sofia is at her daughter's school pickup line in plain clothes, waving to other parents, hands still steadier on a scene than in small talk — she has carried people out of wreckage and cannot find the	P0
atoms/first_responders/overthinking/HOOK/CANONICAL.txt	SCENE_FIRST	Jake is in bed at 2:20 AM, eyes open, replaying the call frame by frame — the outcome was good, by the book, and his jaw is still locked on the one second he cannot unsee.	P1
atoms/first_responders/self_worth/HOOK/CANONICAL.txt	SCENE_FIRST	Marcus is at his daughter's school pickup in plain clothes, badge in the console, waving — the respect at the station does not translate here and his shoulders do not know which role to hold.	P1
atoms/first_responders/sleep_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	You got home from the shift two hours ago. You should be tired. Instead you're wired from the call at 9:15 PM—the one where you weren't sure if you did everything right. Your hands won't stop moving. 	P2
atoms/first_responders/social_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Sofia is at the department picnic, paper plate in hand, shoulders braced — she calls it staying alert because it kept her alive on calls and her body will not stand down in a lawn chair.	P1
atoms/first_responders/somatic_healing/HOOK/CANONICAL.txt	SCENE_FIRST	Jake is in the bunk room before lights-out, sitting on the edge of the mattress, rolling his neck once — his body has been running call-ready so long that resting feels like a system error.	P1
atoms/gen_alpha_students/anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Jordan is at the bedroom desk on Tuesday night, practice test open, eraser worn down to a smear — chest already tight for an exam that is still a week away.	P2
atoms/gen_alpha_students/boundaries/HOOK/CANONICAL.txt	SCENE_FIRST	Maya is on her bed with her phone lit, friend's text asking to copy the homework again — her stomach tightens because she already knows saying no will change something between them.	P2
atoms/gen_alpha_students/burnout/HOOK/CANONICAL.txt	SCENE_FIRST	Leo is slumped at his desk after school, Chromebook open on three unfinished tabs, shoulders collapsed toward the keyboard — he has been running on empty since October and nobody named it.	P2
atoms/gen_alpha_students/compassion_fatigue/HOOK/CANONICAL.txt	SCENE_FIRST	Jordan is lying on his bed at 8 PM, phone buzzing with another friend's crisis text — shoulders slumped because he is tired of being the person everyone tells everything to.	P2
atoms/gen_alpha_students/courage/HOOK/CANONICAL.txt	SCENE_FIRST	You're sitting in the cafeteria at lunch, tray untouched, chest tight while everyone laughs at someone across the table — your mouth is open a fraction, about to say the thing that could cost you.	P0
atoms/gen_alpha_students/depression/HOOK/CANONICAL.txt	SCENE_FIRST	Maya is under the covers at 6:45 AM when her alarm fires, chest compressed, eyes on the ceiling — she already dreads the hallway before her feet touch the floor.	P2
atoms/gen_alpha_students/financial_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Jordan is in the school hallway between classes, phone in hand, stomach dropping at the group chat about the trip — the family account balance is visible in the banking app and the number does not cle	P0
atoms/gen_alpha_students/financial_stress/HOOK/CANONICAL.txt	SCENE_FIRST	Leo is in the cafeteria line hearing the group chat about the class trip, tray empty, stomach dropping — he is already drafting the lie about why he cannot go.	P2
atoms/gen_alpha_students/grief/HOOK/CANONICAL.txt	SCENE_FIRST	You're on your bedroom floor at 6 PM, knees pulled in, hands pressed to the empty dog bed where they used to sleep — your chest is tight and nobody at school treated the loss like it counted.	P0
atoms/gen_alpha_students/imposter_syndrome/HOOK/CANONICAL.txt	SCENE_FIRST	Jordan is in the honors hallway between classes, eyes on the wall plaque, throat tight — part of him is still waiting for someone to say his seat in this program was a mistake.	P2
atoms/gen_alpha_students/overthinking/HOOK/CANONICAL.txt	SCENE_FIRST	Maya is filming herself in the bathroom mirror at 9 PM, phone propped on the sink, jaw locked — she keeps re-recording the same fifteen seconds because the caption might reveal the wrong person.	P2
atoms/gen_alpha_students/self_worth/HOOK/CANONICAL.txt	SCENE_FIRST	Leo is staring at the B on his phone screen in the hallway between third and fourth period, chest tight — his entire value collapsed in one grade before he reached homeroom.	P2
atoms/gen_alpha_students/sleep_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Someone sent a group message at 8:30 PM. You saw it but didn't respond. Now it's 1:17 AM and the conversation has moved on without you. You have no idea if this matters or if you're being paranoid, bu	P2
atoms/gen_alpha_students/social_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Maya is in bed at 11 PM, shoulders hunched over her phone, thumb scrolling — every post is another number telling her she is behind before tomorrow even starts.	P2
atoms/gen_alpha_students/somatic_healing/HOOK/CANONICAL.txt	SCENE_FIRST	Leo is at his desk trying to roll his shoulders down, earbuds in, neck stiff — they have been held at his ears so long that straight started to feel wrong.	P2
atoms/gen_x_sandwich/anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	The spreadsheet you update at midnight never balances. Your shoulders know the number—the one that keeps growing every time you recalculate—and your shoulders carry it forward into another meeting, an	P2
atoms/gen_x_sandwich/boundaries/HOOK/CANONICAL.txt	SCENE_FIRST	Patricia is at her mother's kitchen table at 9 PM on a worknight, phone in hand, throat tight — the small problem on the line will take three hours and she has a 7 AM standup.	P1
atoms/gen_x_sandwich/burnout/HOOK/CANONICAL.txt	SCENE_FIRST	Patricia is in her mother's kitchen at 7 AM, one hand on the walker, the other scrolling her work email — she has not finished the grocery order for her kids and her shoulders are already at her ears 	P0
atoms/gen_x_sandwich/compassion_fatigue/HOOK/CANONICAL.txt	SCENE_FIRST	Linda is in the grocery aisle at 6:30 PM, cart half full, chest tight — a neighbor offers to carry a bag and her body braces because receiving has started to feel like a con.	P1
atoms/gen_x_sandwich/courage/HOOK/CANONICAL.txt	SCENE_FIRST	You saw the flaw in the strategy that everyone younger missed. Your spine straightened. Your mouth opened. And then you felt the temperature shift in the room and you realized the cost of being right 	P2
atoms/gen_x_sandwich/depression/HOOK/CANONICAL.txt	SCENE_FIRST	Patricia is at the kitchen sink after dinner, hands in the water, moving on autopilot — the flatness has been there so long she cannot remember what anything else felt like in her ribs.	P1
atoms/gen_x_sandwich/financial_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Linda is at the dining table with the parent-care estimate and the tuition portal both open, fingers shaking on the trackpad — the numbers land in the same minute and her stomach drops before she fini	P1
atoms/gen_x_sandwich/financial_stress/HOOK/CANONICAL.txt	SCENE_FIRST	Patricia is in the home office when the college bill and the memory-care invoice arrive together, hands trembling on the keyboard — she is holding two generations in one spreadsheet cell.	P1
atoms/gen_x_sandwich/grief/HOOK/CANONICAL.txt	SCENE_FIRST	Linda is in her father's recliner on Tuesday afternoon, holding his hand while he asks who she is — her chest tightens because the parent she knew is already gone while he is still in the room.	P1
atoms/gen_x_sandwich/imposter_syndrome/HOOK/CANONICAL.txt	SCENE_FIRST	Patricia is in the minivan outside her mother's facility, kids' snacks on the seat, laptop open on her thighs — she is carrying parents, children, and a career and still waiting to be told she is not 	P1
atoms/gen_x_sandwich/overthinking/HOOK/CANONICAL.txt	SCENE_FIRST	Linda is awake at 1:10 AM in bed, eyes on the ceiling, fingers worrying the blanket — she is replaying whether to move her mother closer while her teenager's college decision sits unopened on the nigh	P1
atoms/gen_x_sandwich/self_worth/HOOK/CANONICAL.txt	SCENE_FIRST	Patricia is at the hospital desk filling out another form for her mother, pen moving, shoulders high — her worth has been built from solving problems and her hands are the only proof she still exists.	P1
atoms/gen_x_sandwich/sleep_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Your mother called at 4 PM with test results that need follow-up. You said you'd handle it. Your kid's school sent an email about an issue they need you to address by Friday. Your job is ending in 45 	P2
atoms/gen_x_sandwich/social_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Linda is in the church fellowship hall with a name tag on, paper cup warming her palms — aging parents, teenagers, and a job title sit on her shoulders before she says hello.	P1
atoms/gen_x_sandwich/somatic_healing/HOOK/CANONICAL.txt	SCENE_FIRST	Patricia is in the driver's seat in the school pickup line, rolling her shoulders down once — they climb back toward her ears because the sandwich years taught her body that bracing is the default.	P1
atoms/gen_z_professionals/anxiety/ANGLE_DEFINITION/ENGINE/CANONICAL.txt	SCENE_FIRST	You unmute yourself in the standup, say the one sentence you rehearsed three times in the shower, and then mute again. Your camera light goes dark. The Slack channel keeps moving without you. And some	P2
atoms/gen_z_professionals/anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	You're in your apartment at 10 PM, laptop closed but chest still loud, replaying whether the standup comment landed wrong — you did everything they told you to do and your body has not gotten the memo	P0
atoms/gen_z_professionals/boundaries/HOOK/CANONICAL.txt	SCENE_FIRST	"You've turned off Slack notifications and your shoulders stay tight. It's 8pm on a Thursday and you're waiting for the guilt to arrive—the sense that you should be responsive anyway, that being ""offli"	P2
atoms/gen_z_professionals/burnout/HOOK/CANONICAL.txt	SCENE_FIRST	Amari is still at the desk at 11:30 PM on a Thursday, Slack workspace glowing, shoulders braced — the sprint ended but her body is running another week inside the same posture.	P0
atoms/gen_z_professionals/compassion_fatigue/HOOK/CANONICAL.txt	SCENE_FIRST	Your colleague cried in the Zoom call and you held space. Your chest has been holding space for six months now—for layoff anxiety, relationship problems, performance review breakdowns. You have nothin	P2
atoms/gen_z_professionals/courage/HOOK/CANONICAL.txt	SCENE_FIRST	The all-hands meeting is happening and you have a real disagreement. Your chest is loud with the thing you think needs saying. Your jaw tightens knowing that speaking up might mean becoming the diffic	P2
atoms/gen_z_professionals/depression/HOOK/CANONICAL.txt	SCENE_FIRST	Amari is at her desk when the project ships, Slack full of celebration emojis, hands still on the keyboard — the work landed and her chest is empty where accomplishment was supposed to register.	P1
atoms/gen_z_professionals/financial_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	You're at the kitchen counter on payday, banking app open, thumb frozen on the rent line — $2,100 due against a salary that never quite clears the math after groceries and the student loan.	P0
atoms/gen_z_professionals/financial_stress/HOOK/CANONICAL.txt	SCENE_FIRST	You're at the kitchen counter on payday, banking app open, thumb frozen on rent — $2,100 against a salary that never quite clears groceries and the loan after taxes.	P1
atoms/gen_z_professionals/grief/HOOK/CANONICAL.txt	SCENE_FIRST	You're at your desk when the layoff Slack channel updates, chair rolled back, chest numb — your coworker's name disappeared from the directory and you will pass their desk tomorrow.	P1
atoms/gen_z_professionals/imposter_syndrome/HOOK/CANONICAL.txt	SCENE_FIRST	You're in the Zoom gallery on your third month, camera on, nodding while a director praises the deck — your throat is tight because part of you is still waiting for them to notice the file was a mista	P0
atoms/gen_z_professionals/overthinking/HOOK/CANONICAL.txt	SCENE_FIRST	You're on the subway at 8 AM, headphones in, jaw locked, scrolling workplace threads about layoffs and ethics — you keep running the same contradiction between what you know and what you participate i	P0
atoms/gen_z_professionals/self_worth/HOOK/CANONICAL.txt	SCENE_FIRST	Your performance review is in two hours and your chest is tight. Everything you did is about to be reduced to a score. Your value is sitting in a spreadsheet somewhere being decided by someone who doe	P2
atoms/gen_z_professionals/sleep_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	You killed the lights at eleven. The ceiling is still there at 2:14. You have run the math until the numbers go numb: if sleep came now, you would still land short. Your eyes stay shut. Your brain is 	P2
atoms/gen_z_professionals/social_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	You're filming a story update in your bathroom mirror at 9 PM, filter on, caption half-written about your career anxiety — your shoulders are raised and you already know posting it will not make the f	P0
atoms/gen_z_professionals/somatic_healing/HOOK/CANONICAL.txt	SCENE_FIRST	Amari is at her standing desk before standup, rolling her shoulders down — they rise again because twelve-hour sprints taught her body that soft is not safe.	P1
atoms/gen_z_student/anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Jordan is in her dorm at 11 PM when the syllabus drops, jaw locked before she reads a line — three papers, two exams, and a group project due the same week sit on the screen like a wall.	P1
atoms/gen_z_student/boundaries/HOOK/CANONICAL.txt	SCENE_FIRST	Her roommate's friends pile into the dorm at 11 p.m. on a Tuesday. Four bodies on the futon, someone's speaker blasting from the dresser. Her jaw clenches around the word she never says. She pulls her	P2
atoms/gen_z_student/burnout/HOOK/CANONICAL.txt	SCENE_FIRST	Jordan stares at the blinking cursor on a half-finished essay in week twelve, fingers locked above the keyboard, shoulders hunched — the screen blurs and her body will not type another sentence.	P1
atoms/gen_z_student/compassion_fatigue/HOOK/CANONICAL.txt	SCENE_FIRST	You're in bed at midnight when your friend's crisis text lights the screen, chest constricting — you want to show up and your body is already empty from being everyone's listener this week.	P1
atoms/gen_z_student/courage/HOOK/CANONICAL.txt	SCENE_FIRST	You're in lecture with the answer assembled three seconds ago, hand in your lap like a brick — the professor is still waiting and your throat will not open.	P1
atoms/gen_z_student/depression/HOOK/CANONICAL.txt	SCENE_FIRST	You're in bed at 8 AM when the alarm fires, eyelids pressed shut, limbs heavy in the mattress — you are not sleeping, you are refusing, and your body will not lift.	P1
atoms/gen_z_student/financial_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Jordan is in the lecture hall when the bank notification slides down, stomach dropping before her eyes finish reading — the balance is lower than she told herself it would be on Monday.	P1
atoms/gen_z_student/financial_stress/HOOK/CANONICAL.txt	SCENE_FIRST	You're at the desk on Sunday night running the month's numbers, neck locked, hands cold on the keys — the column does not clear and your body already knows before the total finishes.	P1
atoms/gen_z_student/grief/HOOK/CANONICAL.txt	SCENE_FIRST	You walk into the lecture hall Monday morning. Third row, aisle seat — that was their spot. The chair sits empty. Your chest folds inward like wet cardboard. The professor starts talking about supply 	P2
atoms/gen_z_student/imposter_syndrome/HOOK/CANONICAL.txt	SCENE_FIRST	The acceptance letter arrived in March. By September, Kai sat in a 200-person lecture hall convinced the admissions office had confused his file with someone else's. His throat tightened every time th	P2
atoms/gen_z_student/overthinking/HOOK/CANONICAL.txt	SCENE_FIRST	"She typed ""sounds good"" and deleted it. Typed it again. Deleted it again. Her thumbs locked mid-air over the screen, pulse climbing into her jaw. Three dots appeared on his side. Vanished. The hallway"	P0
atoms/gen_z_student/self_worth/HOOK/CANONICAL.txt	SCENE_FIRST	You're in bed at 1 AM scrolling Instagram, thumb moving, chest sinking — a classmate's internship post lands and your body treats their win as evidence you are behind.	P1
atoms/gen_z_student/sleep_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Your phone screen burns white against the dark ceiling at 2:47 AM. Your jaw locks tight. Your thumbs scroll through nothing — TikTok, Instagram, TikTok again — because stopping means facing the silenc	P2
atoms/gen_z_student/social_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	You're in the dorm hallway outside the dining hall, stomach dropping three floors — noise pours through the open doors and you scan for one familiar face before you step in.	P1
atoms/gen_z_student/somatic_healing/HOOK/CANONICAL.txt	SCENE_FIRST	Your shoulders touched your ears during freshman orientation. They never came back down. Four semesters later, your neck has forgotten what neutral feels like. The trapezius muscles run a permanent sh	P2
atoms/healthcare_rns/anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	Your chest tightens as you review the medication times. Three minutes between doses instead of five, and the physician signed off without reading the note. Your jaw clenches while you stare at the cha	P2
atoms/healthcare_rns/boundaries/HOOK/CANONICAL.txt	SCENE_FIRST	You're at the nurses' station when the charge nurse asks you to stay, shoulders dropping — it is the third time this week and your mouth is already forming yes before you decide.	P1
atoms/healthcare_rns/burnout/HOOK/CANONICAL.txt	SCENE_FIRST	Maria is in the break room at 3 AM, sandwich untouched, eyes on the clock — she has four hours left on the stretch and her chest feels like she is watching herself from the hallway.	P1
atoms/healthcare_rns/compassion_fatigue/HOOK/CANONICAL.txt	SCENE_FIRST	You're in Room 412 at 2 AM, gloved hands steady on the rails, voice soft for the crying patient — your chest stays perfectly flat while the right words leave your mouth.	P0
atoms/healthcare_rns/courage/HOOK/CANONICAL.txt	SCENE_FIRST	You're outside the attending's workstation, chart in hand, throat tight — you are about to say the labs do not match the note and you already know it will cost you something.	P1
atoms/healthcare_rns/depression/HOOK/CANONICAL.txt	SCENE_FIRST	You're in the driver's seat of your car at 7 AM after night shift, hands on the wheel, world gray through the windshield — eight hours of sleep will not touch what sits behind your ribs.	P0
atoms/healthcare_rns/financial_anxiety/HOOK/CANONICAL.txt	SCENE_FIRST	You're at the kitchen table in scrubs still damp from shift, pay stub and rent bill spread out — your fingers freeze on the ratio that has not moved since you became an RN.	P1
atoms/healthcare_rns/financial_stress/HOOK/CANONICAL.txt	SCENE_FIRST	You're at the kitchen table in scrubs still damp from shift, calculator and pay stub spread out — your chest tightens on the rent-to-salary ratio that has not moved since you became an RN.	P0
