axis	r_axis	conformance_pct_axis	claim	layer_refutation_adjusted	evidence	blocking_gap_axis
V2	R2/R6	72	Authored episode scripts EXIST and are REAL (16 confirmed on origin/main, 10 in stillness_press multi-ep)	EXECUTED-REAL	git ls-tree -r origin/main artifacts/manga/chapter_scripts/ returns 18 items (16 script YAMLs + 1 HANDOFF.md + 1 folder): stillness_press__ahjan__en_US__anxiety__the_alarm_is_lying (10 episodes: ep_001–ep_010, each 9–15KB), cognitive_clarity (3 scripts, 3 genres), warrior_calm_cultivation (1 script, mecha-burnout hybrid), stabilizer_healing (1 workplace drama) ; Byte sizes: ep_001 alarm 15.6KB (re	34% of canonical genres (44 of 129) lack craft bibles. Config/taxonomy is aspirational; craft infrastructure incomplete. Isekai, romance variants, horror, comedy, cultivation, medical unguided. R2 requirement (every genre = bestseller craft bible) unmet.
V2	R2/R6	72	5-script blind judgment: 3 WOULD-COMPETE (Alarm/Anxiety, Chassis/Burnout, Office/Workplace), 1 COMPETENT-DRAFT (Line/Thriller), 1 SCAFFOLD-ONLY (Pilot/Grief incomplete)	REFUTED:CODE-WIRED	1. Alarm Is Lying (ep_001, iyashikei): 35 panels, story-first (fear→recognition of false alarm IS the plot), zero emotional labeling, teaching via visual metaphor (kettle steam = detector input), 4x tea carrier beats, dappled-light motif, silent-panel ratio 26% (spec 35–55% for full chapter but ep_001 acceptable), ends on baseline+recognition. Verdict: WOULD-COMPETE. Craft bible (iyashikei_minimal	34% of canonical genres (44 of 129) lack craft bibles. Config/taxonomy is aspirational; craft infrastructure incomplete. Isekai, romance variants, horror, comedy, cultivation, medical unguided. R2 requirement (every genre = bestseller craft bible) unmet.
V2	R2/R6	72	20 craft bibles cover ~66% of 129 canonical genres; 44 genres (34%) lack dedicated bibles: isekai, horror variants, comedy, romance variants, cultivation, medical, food	RESEARCHED	docs/research/manga_craft/: git ls-tree lists 20 .md files (excluding index.md): iyashikei, psychological_thriller, mecha, shonen, shojo, seinen, josei, workplace_drama, etc. ; config/manga/manga_taxonomy.yaml: grep -o '- id:' returns 129 unique genre IDs. Top-level families include: isekai (3–5 variants), horror/psychological_horror (4–6 variants), comedy/gag_reset (4–6 variants), romance/slow_bu	34% of canonical genres (44 of 129) lack craft bibles. Config/taxonomy is aspirational; craft infrastructure incomplete. Isekai, romance variants, horror, comedy, cultivation, medical unguided. R2 requirement (every genre = bestseller craft bible) unmet.
V2	R2/R6	72	bestseller_gate.py is QC blocking gate (post-hoc), not writing guidance. Runs after chapter_script, catches: substance (min panels/pages, stub markers, repetition), healing-register sins (emotional labeling, cliffhanger, threat language)	CODE-WIRED	phoenix_v4/manga/qc/bestseller_gate.py lines 1–21: docstring describes it as 'BLOCKING chapter clearance' gate, runs after chapter_script generation, raises BestsellerGateError (HARD_FAIL) when findings are BLOCKER ; Lines 46–59: _MIN_PANELS=6, _MIN_PAGES=2; substance checks include: too-few-panels, stub markers ({placeholder}, TODO, HOOK), verbatim-repeat panels, unfilled captions ; Lines 64–67: 	34% of canonical genres (44 of 129) lack craft bibles. Config/taxonomy is aspirational; craft infrastructure incomplete. Isekai, romance variants, horror, comedy, cultivation, medical unguided. R2 requirement (every genre = bestseller craft bible) unmet.
V3	R3/R4	28	Vessel count: 15 genres with both teacher and music modes (30 total vessels)	CONFIG-EXISTS	config/manga/manga_mode_vessels.yaml: 15 genre keys (iyashikei, dark_fantasy, mecha...cultivation_martial), each with teacher+music sub-sections ; Manual count: 30 vessel definitions (teacher + music) confirmed via grep ; Test file tests/manga/test_mode_wrapper.py line 20 asserts all 15 genres have both modes	Vessels are loaded but never consumed by story generation, chapter writing, or visual prompt compilation. The story_architect.py hardcodes beat templates instead of deriving them from the loaded vessel structure. Integration points (chapter writer, visual compiler) either don't exist or don't refere
V3	R3/R4	28	Three best teacher-mode vessels (genre-native apparatus grade A)	SPECCED	Dark Fantasy Keeper: vessel_desc 'the land's pulse that KNOWS' maps oracle-keeper (land-sentinel) to dark fantasy's core (interior landscape becomes exterior landscape). Beats: wound→turn→renewal with somatic healing as land-healing. Pilot series the_forest_beneath_the_skin cited in YAML comment. ; Mecha Mechanic: vessel_desc 'doctrine delivered as care—mechanic reads pilot's body' maps co-regulat	Vessels are loaded but never consumed by story generation, chapter writing, or visual prompt compilation. The story_architect.py hardcodes beat templates instead of deriving them from the loaded vessel structure. Integration points (chapter writer, visual compiler) either don't exist or don't refere
V3	R3/R4	28	Three weakest teacher-mode vessels (apparatus clarity issues)	SPECCED	School Coming of Age / Music 'song the year is set to': temporal metaphor ('spring fumbled→winter mastered') is not narratively actionable. Readers infer 'the song' from character behavior, not from scored musical cues. Cannot show a soundless song visually. ; Romance / Teacher 'beloved who rests': passive apparatus. Teacher-character (beloved) has no doctrine, only posture. Doctrine is stolen fro	Vessels are loaded but never consumed by story generation, chapter writing, or visual prompt compilation. The story_architect.py hardcodes beat templates instead of deriving them from the loaded vessel structure. Integration points (chapter writer, visual compiler) either don't exist or don't refere
V3	R3/R4	28	Vessel research: SPECCED (hand-sketched), not peer-researched	RESEARCHED	artifacts/manga/pilots/GENRE_VESSEL_SKETCHES.md exists and is hand-authored (tone: craft sketch, not research synthesis). Each genre section reads as author-considered design, not cited literature. ; docs/research/manga_craft/*.md (20 genre-specific research docs) exist but do NOT reference vessels or apparatus. They describe visual/narrative craft only. ; config/manga/manga_mode_vessels.yaml head	Vessels are loaded but never consumed by story generation, chapter writing, or visual prompt compilation. The story_architect.py hardcodes beat templates instead of deriving them from the loaded vessel structure. Integration points (chapter writer, visual compiler) either don't exist or don't refere
V3	R3/R4	28	Vessels ARE wired to loader (CODE-WIRED); NOT wired to pipeline (CODE-ABSENT)	CONFIG-EXISTS	phoenix_v4/manga/mode/vessels.py: functions load_all_vessels() and load_vessel(genre, mode) fully implemented. Callable path confirmed. ; phoenix_v4/manga/mode/__init__.py: exports both functions. Importable. ; tests/manga/test_mode_wrapper.py line 72: test_every_genre_has_both_vessels calls load_vessel() and validates beats structure. Passes.	Vessels are loaded but never consumed by story generation, chapter writing, or visual prompt compilation. The story_architect.py hardcodes beat templates instead of deriving them from the loaded vessel structure. Integration points (chapter writer, visual compiler) either don't exist or don't refere
V3	R3/R4	28	Story architect does not use vessels to shape narrative beats	CODE-WIRED	phoenix_v4/manga/series/story_architect.py: hardcoded _BEAT_TEMPLATES dict (setup/rising/climax stages) with 12+ template beats each. Deterministic hash selects from templates, never loads vessels. ; story_architect.py function _generate_strategy_chapters loads story strategies (from story_strategy_loader.py) but zero vessel references. ; Vessel beats structure (wound→turn→renewal for teacher; ope	Vessels are loaded but never consumed by story generation, chapter writing, or visual prompt compilation. The story_architect.py hardcodes beat templates instead of deriving them from the loaded vessel structure. Integration points (chapter writer, visual compiler) either don't exist or don't refere
V3	R3/R4	28	Teacher-Never-Named rule: 1 violation confirmed in warrior_calm_cultivation series	REFUTED:FALSE	artifacts/manga/chapter_scripts/warrior_calm_cultivation__master_wu__en_US__burnout__the_chassis_is_listening/ep_001.yaml: Multiple violations. ; Line: 'speaker: master_wu' appears in dialogue_lines (lines ~95, ~120, ~145 in grep output). Master Wu is named as a character voice. ; Line: 'intent: MASTER WU PRESENCE' and 'MASTER WU CLOSE' — intent labels name the teacher in metadata captions.	Vessels are loaded but never consumed by story generation, chapter writing, or visual prompt compilation. The story_architect.py hardcodes beat templates instead of deriving them from the loaded vessel structure. Integration points (chapter writer, visual compiler) either don't exist or don't refere
V3	R3/R4	28	Music-mode vessels: SPECCED but NOT CODE-WIRED or EXECUTED	SPECCED	config/manga/manga_mode_vessels.yaml: music-mode vessels for all 15 genres (e.g., iyashikei='wind-chime that keeps the season', mecha='sync-song', romance='shared song'). ; specs/MANGA_SERIES_BIBLE_SPEC.md: music_mood field exists (lines 682–714) as VIDEO production hint ('fast, tense, anxious'). Independent of vessels. ; Zero code references vessels to generate audio cues, score chapters, or prod	Vessels are loaded but never consumed by story generation, chapter writing, or visual prompt compilation. The story_architect.py hardcodes beat templates instead of deriving them from the loaded vessel structure. Integration points (chapter writer, visual compiler) either don't exist or don't refere
V3	R3/R4	28	Authority doc MANGA_MODE_WRAPPER_DESIGN.md is cited but missing	ABSENT	config/manga/manga_mode_vessels.yaml header line 2: '# Authority: artifacts/manga/pilots/MANGA_MODE_WRAPPER_DESIGN.md + GENRE_VESSEL_SKETCHES.md (#1788).' ; git ls-tree -r origin/main artifacts/manga/pilots --name-only returns only GENRE_VESSEL_SKETCHES.md. MANGA_MODE_WRAPPER_DESIGN.md not found. ; File may have been deleted, moved, or never existed. Breaks authority chain claimed in config.	Vessels are loaded but never consumed by story generation, chapter writing, or visual prompt compilation. The story_architect.py hardcodes beat templates instead of deriving them from the loaded vessel structure. Integration points (chapter writer, visual compiler) either don't exist or don't refere
V3	R3/R4	28	Vessel apparatus quality: Good (A-grade for 3 genres, C-grade for 3 genres)	SPECCED	A-grade apparatus: Dark Fantasy (Keeper as land-oracle), Mecha (mechanic reads body), Cultivation (lower gate opens on stillness). Each maps doctrine to genre convention inseparably. ; C-grade apparatus: Romance/Teacher (passive, stolen doctrine), School/Music (temporal metaphor not actionable), Supernatural Mystery/Music (soundless song cannot be shown). Apparatus clarity fails visual manga contr	Vessels are loaded but never consumed by story generation, chapter writing, or visual prompt compilation. The story_architect.py hardcodes beat templates instead of deriving them from the loaded vessel structure. Integration points (chapter writer, visual compiler) either don't exist or don't refere
V4	R5	18	Background-plate bank does not exist in Vision R5 architecture	SPECCED	docs/specs/MANGA_V5_LAYERED_ARCHITECTURE.md §1 'Operator review of 35 V4 composites found only 2/35 properly placed the subject'; decision approved §2 'Pivot V4 → V5... Eliminate the L0+L2 split and post-render rembg cutout step'; §3 'Renders per panel: L0 + L2 (V4 deprecated) vs ONE full-panel render (V5 current)' ; MANGA_V5_LAYERED_ARCHITECTURE.md §4 'V5 gives up V4's L0-reuse cache efficiency i	No multi-render background-plate bank exists; V5 pivoted to single unified render per panel, eliminating the L0-reuse model that the R5 vision assumes. Object-sprite scale+place system unspecced and unimplemented. Image bank is 100% stub/metadata; zero real assets committed.
V4	R5	18	Consistency-locked character asset exists at CODE-WIRED layer but not EXECUTED-REAL	CODE-WIRED	scripts/manga/character_individuation/constraint_solver.py line 2-30 (core solver logic for 12-axis collision detection); prompt_builder.py line 2-30 (axis-token router per base model); qa_face_distance.py line 20-60 (facenet embedding + cosine-distance metric); config/manga/character_design_axes.yaml complete 12-axis vocabulary with mangaka-tradition references and diffusion-model token-reliabili	No multi-render background-plate bank exists; V5 pivoted to single unified render per panel, eliminating the L0-reuse model that the R5 vision assumes. Object-sprite scale+place system unspecced and unimplemented. Image bank is 100% stub/metadata; zero real assets committed.
V4	R5	18	Image bank stillness_press contains 6 anchor panels (prior claim)	ABSENT	git ls-tree -r origin/main artifacts/manga/image_bank/stillness_press/ --name-only returns: GENERATION_PROGRESS.tsv (14830 bytes), 6 ×_metadata.json files (each 435-454 bytes), asset_registry.json (10938 bytes), character_model_sheets.json (1763 bytes). ZERO .png files. ; artifacts/manga/image_bank/stillness_press/GENERATION_PROGRESS.tsv lists 132 asset_ids with status='completed' and 'path' colum	No multi-render background-plate bank exists; V5 pivoted to single unified render per panel, eliminating the L0-reuse model that the R5 vision assumes. Object-sprite scale+place system unspecced and unimplemented. Image bank is 100% stub/metadata; zero real assets committed.
V4	R5	18	Object-sprite scale+place system (coffee cup, props) unspecced and unimplemented	RESEARCHED	CHARACTER_INDIVIDUATION_PIPELINE_SPEC_2026-05-02.md covers only character distinctness (§0 'protagonist must be visually distinct'), not object sprites or their placement; MANGA_V5_LAYERED_ARCHITECTURE.md §7 mentions '3-layer mode (subject / mid-objects / background) is per-archetype opt-in' but this is listed as 'experimental, deferred to V5.1+' in the 'N-layer (experimental, deferred to V5.1+)' 	No multi-render background-plate bank exists; V5 pivoted to single unified render per panel, eliminating the L0-reuse model that the R5 vision assumes. Object-sprite scale+place system unspecced and unimplemented. Image bank is 100% stub/metadata; zero real assets committed.
V4	R5	18	Multi-lane layered compositor exists but only handles text overlay, not asset-bank layering	CONFIG-EXISTS	phoenix_v4/manga/chapter/bubble_render.py line 670: 'composite = Image.alpha_composite(img, overlay)' — overlays bubble/speech text onto a pre-rendered panel; webtoon_compose.py line 170-200 stitches pre-rendered panels into vertical strips and handles gutter sizes; render_v5_episode.py recompose_layers() function (confirmed by git show) implements PIL.alpha_composite() on decomposed Qwen-Image-La	No multi-render background-plate bank exists; V5 pivoted to single unified render per panel, eliminating the L0-reuse model that the R5 vision assumes. Object-sprite scale+place system unspecced and unimplemented. Image bank is 100% stub/metadata; zero real assets committed.
V4	R5	18	Deterministic panel assembly logic specified in V5 spec §8 but render_v5_episode.py authorship deferred	CODE-WIRED	docs/specs/MANGA_V5_LAYERED_ARCHITECTURE.md §8 defines the orchestration pattern: 'for panel in continuity_state(ep_001): prompt = ... layer_paths = dispatch_layered_render(...) composite = recompose_layers(...) validate(...) save(...)'; git show origin/main:scripts/manga/render_v5_episode.py confirms render_v5_episode.py EXISTS and contains recompose_layers() function with PIL.alpha_composite() l	No multi-render background-plate bank exists; V5 pivoted to single unified render per panel, eliminating the L0-reuse model that the R5 vision assumes. Object-sprite scale+place system unspecced and unimplemented. Image bank is 100% stub/metadata; zero real assets committed.
V4	R5	18	PuLID ComfyUI workflow exists and references correct nodes	CODE-WIRED	scripts/image_generation/comfyui_workflows/flux_txt2img_manga_pulid.json exists and contains nodes: LoadImage, PulidFluxFaceNetLoader (class_type confirmed in JSON), ApplyPulidFlux, KSampler (seed=42, steps=4, cfg=1.0, sampler=euler); docs reference at MANGA_V5_LAYERED_ARCHITECTURE.md §5 'License: lldacing/ComfyUI_PuLID_Flux_ll Apache 2.0; facenet-pytorch + VGGFace2 commercial-clean weights' ; Cha	No multi-render background-plate bank exists; V5 pivoted to single unified render per panel, eliminating the L0-reuse model that the R5 vision assumes. Object-sprite scale+place system unspecced and unimplemented. Image bank is 100% stub/metadata; zero real assets committed.
V5	R8	47	37-brand canonical list is fully defined and frozen.	EXECUTED-REAL	git show origin/main:config/manga/canonical_brand_list.yaml: 37 brands enumerated (3 flagship + 14 core + 20 niche) ; Total count: 3 + 14 + 20 = 37 ✓ ; File authority chain documented: GENRE_PORTFOLIO_PLAN.md → MANGA_CATALOG_RECONCILIATION_SPEC.md → canonical_brand_list.yaml	8 registry locales have ZERO manga series plans (es_US, es_ES, fr_FR, de_DE, it_IT, hu_HU, zh_SG, zh_HK). These are documented as Phase 3+ work in the reconciliation spec (v1.1, §8 OQ-4 disposition); the operator has not prioritized non-CJK + non-en + non-ja markets yet. Until those 8 locales receiv
V5	R8	47	Five registered locales have 1,345 series plans (en_US:268, ja_JP:269, ko_KR:266, zh_CN:268, zh_TW:274).	EXECUTED-REAL	config/source_of_truth/manga_series_plans/{en_US,ja_JP,ko_KR,zh_CN,zh_TW}/ directory enumeration ; git ls-tree -r origin/main:config/source_of_truth/manga_series_plans/en_US --name-only | wc -l: 268 ; Same for other locales; total: 268+269+266+268+274 = 1,345	8 registry locales have ZERO manga series plans (es_US, es_ES, fr_FR, de_DE, it_IT, hu_HU, zh_SG, zh_HK). These are documented as Phase 3+ work in the reconciliation spec (v1.1, §8 OQ-4 disposition); the operator has not prioritized non-CJK + non-en + non-ja markets yet. Until those 8 locales receiv
V5	R8	47	Eight registry locales (es_US, es_ES, fr_FR, de_DE, it_IT, hu_HU, zh_SG, zh_HK) have ZERO series plans.	RESEARCHED	git ls-tree origin/main:config/source_of_truth/manga_series_plans --name-only: only 5 directories present (en_US, ja_JP, ko_KR, zh_CN, zh_TW) ; MANGA_CATALOG_RECONCILIATION_SPEC.md §1 (Phase 2X scope = '4→5 locales'; Phase 3+ includes es/fr/de/it/hu)	8 registry locales have ZERO manga series plans (es_US, es_ES, fr_FR, de_DE, it_IT, hu_HU, zh_SG, zh_HK). These are documented as Phase 3+ work in the reconciliation spec (v1.1, §8 OQ-4 disposition); the operator has not prioritized non-CJK + non-en + non-ja markets yet. Until those 8 locales receiv
V5	R8	47	bright_presence_tw_seinen is market-exclusive to zh_TW (encoded manga_locales: [zh_TW]).	CODE-WIRED	config/manga/canonical_brand_list.yaml:1020–1028: bright_presence_tw_seinen carries manga_locales: [zh_TW] ; Series plans enumeration: ja_JP missing bright_presence_tw_seinen (36 of 37); ko_KR same; zh_CN same ; OPD-20260627-001 ratified the exclusion (MANGA_CATALOG_RECONCILIATION_SPEC.md §1 D-6 note)	8 registry locales have ZERO manga series plans (es_US, es_ES, fr_FR, de_DE, it_IT, hu_HU, zh_SG, zh_HK). These are documented as Phase 3+ work in the reconciliation spec (v1.1, §8 OQ-4 disposition); the operator has not prioritized non-CJK + non-en + non-ja markets yet. Until those 8 locales receiv
V5	R8	47	Authored episodes: only 10 total (7 en_US, 1 ja_JP, 1 zh_CN, 1 zh_TW); ko_KR has zero.	EXECUTED-REAL	git ls-tree -r origin/main:artifacts/catalog --name-only | grep scripts | grep manga: 10 files across locales ; en_US: series1/2/3 ep001.md (3 files) + podcasts (7 files total under en_US/manga) ; ja_JP: 1 lettering file	8 registry locales have ZERO manga series plans (es_US, es_ES, fr_FR, de_DE, it_IT, hu_HU, zh_SG, zh_HK). These are documented as Phase 3+ work in the reconciliation spec (v1.1, §8 OQ-4 disposition); the operator has not prioritized non-CJK + non-en + non-ja markets yet. Until those 8 locales receiv
V5	R8	47	Rendered panels (>50KB): only 2 series in en_US (652KB, 865KB); ko_KR, zh_CN, zh_TW have zero.	EXECUTED-REAL	git ls-tree -r origin/main:artifacts/catalog --name-only | grep manga.*rendered.*png: 2 files ; series2_contact_sheet.png: 652951 bytes (git cat-file -s), series3_contact_sheet.png: 865344 bytes ; No rendered PNGs found in ko_KR, zh_CN, zh_TW paths	8 registry locales have ZERO manga series plans (es_US, es_ES, fr_FR, de_DE, it_IT, hu_HU, zh_SG, zh_HK). These are documented as Phase 3+ work in the reconciliation spec (v1.1, §8 OQ-4 disposition); the operator has not prioritized non-CJK + non-en + non-ja markets yet. Until those 8 locales receiv
V5	R8	47	Four catalog CSVs exist (en_US, ja_JP, zh_CN, zh_TW); ko_KR excluded pending market clearance.	EXECUTED-REAL	artifacts/catalog/manga/{en_US,ja_JP,zh_CN,zh_TW}_manga_catalog.csv all exist (git show origin/main) ; No ko_KR_manga_catalog.csv found ; zh_CN CSV has 69 rows with blocked_lora status (git grep blocked_lora origin/main:artifacts/catalog/manga/zh_CN_manga_catalog.csv)	8 registry locales have ZERO manga series plans (es_US, es_ES, fr_FR, de_DE, it_IT, hu_HU, zh_SG, zh_HK). These are documented as Phase 3+ work in the reconciliation spec (v1.1, §8 OQ-4 disposition); the operator has not prioritized non-CJK + non-en + non-ja markets yet. Until those 8 locales receiv
V5	R8	47	Copy-across strategy is CONFIG-EXISTS + CODE-WIRED (not PROVEN-AT-BAR); encoded in platform families + reconciliation specs, not a standalone doc.	REFUTED:SPECCED	config/distribution/platform_families.DRAFT.yaml carries cross_references/isolated flags per MANGA_MARKET_INTEGRATION_V1_SPEC.md ; MANGA_MARKET_INTEGRATION_V1_SPEC.md §A.2–A.3 documents reuse logic: canonical series → fanout across family platforms ; WORLDWIDE_ALLOCATION_MODEL_V1_SPEC.md §9b manga production driver references the same logic	8 registry locales have ZERO manga series plans (es_US, es_ES, fr_FR, de_DE, it_IT, hu_HU, zh_SG, zh_HK). These are documented as Phase 3+ work in the reconciliation spec (v1.1, §8 OQ-4 disposition); the operator has not prioritized non-CJK + non-en + non-ja markets yet. Until those 8 locales receiv
V5	R8	47	Japan manga-only catalog is SPECCED (proposed status, operator-decision gate active, cap JAPAN-MANGA-ONLY-CATALOG-V1-01).	SPECCED	docs/specs/JAPAN_MANGA_ONLY_CATALOG_V1_SPEC.md exists (date: 2026-05-10) ; Status field: 'proposed — doc-only baseline; operator/legal confirmation required before execution' ; §5 operator decision card lists Q1–Q4 open questions (brand IDs, volume, admin separation, timeline)	8 registry locales have ZERO manga series plans (es_US, es_ES, fr_FR, de_DE, it_IT, hu_HU, zh_SG, zh_HK). These are documented as Phase 3+ work in the reconciliation spec (v1.1, §8 OQ-4 disposition); the operator has not prioritized non-CJK + non-en + non-ja markets yet. Until those 8 locales receiv
V5	R8	47	ko_KR hold_pending_market_clearance is CONFIG-EXISTS (flag in schema enum, all ko_KR series set to this status, no execution gate).	CONFIG-EXISTS	artifacts/catalog/manga_full_catalog_plan_2026-05-30.yaml: every ko_KR series row has distribution_status: hold_pending_market_clearance ; MANGA_CATALOG_RECONCILIATION_SPEC.md §3 D-18 ratified the hold (Korea AI Act enforcement clarity post-Jan 2027) ; No pipeline gate code found; status is read-only hold, not triggered by execution	8 registry locales have ZERO manga series plans (es_US, es_ES, fr_FR, de_DE, it_IT, hu_HU, zh_SG, zh_HK). These are documented as Phase 3+ work in the reconciliation spec (v1.1, §8 OQ-4 disposition); the operator has not prioritized non-CJK + non-en + non-ja markets yet. Until those 8 locales receiv
V5	R8	47	Reconciliation spec v1.1 (2026-04-26, merged May 2026) executed the genre-shell expansion (12 shells vs prior 10) + 37-brand × 5-locale re-generation (1,345 series plans).	CODE-WIRED	MANGA_CATALOG_RECONCILIATION_SPEC.md version 1.1.0 date: 2026-04-26 ; Status: ✅ EXECUTED (2026-04-26 → 2026-05) — Phase 2X landed via PRs #693/#696/#698/#699/#700/#737 ; D-4, D-5: 132 stale YAMLs retired, 1,345 new series_plan + book_plan YAMLs generated	8 registry locales have ZERO manga series plans (es_US, es_ES, fr_FR, de_DE, it_IT, hu_HU, zh_SG, zh_HK). These are documented as Phase 3+ work in the reconciliation spec (v1.1, §8 OQ-4 disposition); the operator has not prioritized non-CJK + non-en + non-ja markets yet. Until those 8 locales receiv
