cell	persona	topic	engine	listings	status	source	epub_assembled	detail
entrepreneurs__sleep_anxiety__overwhelm	entrepreneurs	sleep_anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__sleep_anxiety__spiral	entrepreneurs	sleep_anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__social_anxiety__comparison	entrepreneurs	social_anxiety	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__social_anxiety__false_alarm	entrepreneurs	social_anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__social_anxiety__shame	entrepreneurs	social_anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__somatic_healing__overwhelm	entrepreneurs	somatic_healing	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
entrepreneurs__somatic_healing__watcher	entrepreneurs	somatic_healing	watcher	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__anxiety__comparison	first_responders	anxiety	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__anxiety__false_alarm	first_responders	anxiety	false_alarm	2	ASSEMBLED-PASS	BUILT	YES	register PASS
first_responders__anxiety__grief	first_responders	anxiety	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__anxiety__overwhelm	first_responders	anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__anxiety__shame	first_responders	anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__anxiety__spiral	first_responders	anxiety	spiral	2	ASSEMBLED-PASS	BUILT	YES	register PASS
first_responders__anxiety__watcher	first_responders	anxiety	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__boundaries__comparison	first_responders	boundaries	comparison	2	ASSEMBLED-PASS	BUILT	YES	register PASS
first_responders__boundaries__false_alarm	first_responders	boundaries	false_alarm	2	ASSEMBLED-PASS	BUILT	YES	register PASS
first_responders__boundaries__shame	first_responders	boundaries	shame	2	ASSEMBLED-PASS	BUILT	YES	register PASS
first_responders__burnout__grief	first_responders	burnout	grief	2	ASSEMBLED-PASS	BUILT	YES	register PASS
first_responders__burnout__overwhelm	first_responders	burnout	overwhelm	2	ASSEMBLED-PASS	BUILT	YES	register PASS
first_responders__burnout__watcher	first_responders	burnout	watcher	2	ASSEMBLED-PASS	BUILT	YES	register PASS
first_responders__compassion_fatigue__grief	first_responders	compassion_fatigue	grief	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__compassion_fatigue__overwhelm	first_responders	compassion_fatigue	overwhelm	1	REGISTER-FAIL	BUILT	NO	F2=1, F6=0, F12=0
first_responders__compassion_fatigue__watcher	first_responders	compassion_fatigue	watcher	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__courage__false_alarm	first_responders	courage	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__courage__shame	first_responders	courage	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__courage__spiral	first_responders	courage	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__depression__grief	first_responders	depression	grief	2	ASSEMBLED-PASS	BUILT	YES	register PASS
first_responders__depression__overwhelm	first_responders	depression	overwhelm	2	REGISTER-FAIL	BUILT	NO	F2=1, F6=0, F12=0
first_responders__depression__watcher	first_responders	depression	watcher	2	ASSEMBLED-PASS	BUILT	YES	register PASS
first_responders__financial_anxiety__overwhelm	first_responders	financial_anxiety	overwhelm	2	ASSEMBLED-PASS	BUILT	YES	register PASS
first_responders__financial_anxiety__shame	first_responders	financial_anxiety	shame	2	ASSEMBLED-PASS	BUILT	YES	register PASS
first_responders__financial_anxiety__spiral	first_responders	financial_anxiety	spiral	2	ASSEMBLED-PASS	BUILT	YES	register PASS
first_responders__financial_stress__overwhelm	first_responders	financial_stress	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__financial_stress__shame	first_responders	financial_stress	shame	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__financial_stress__spiral	first_responders	financial_stress	spiral	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__grief__grief	first_responders	grief	grief	2	ASSEMBLED-PASS	BUILT	YES	register PASS
first_responders__grief__watcher	first_responders	grief	watcher	2	ASSEMBLED-PASS	BUILT	YES	register PASS
first_responders__imposter_syndrome__comparison	first_responders	imposter_syndrome	comparison	1	ASSEMBLED-PASS	BUILT	YES	register PASS
first_responders__imposter_syndrome__shame	first_responders	imposter_syndrome	shame	1	ASSEMBLED-PASS	BUILT	YES	register PASS
first_responders__overthinking__false_alarm	first_responders	overthinking	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__overthinking__spiral	first_responders	overthinking	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__overthinking__watcher	first_responders	overthinking	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__self_worth__comparison	first_responders	self_worth	comparison	2	EXERCISE-BANK-DEFICIT	BUILT	NO	no per-cell EXERCISE atoms
first_responders__self_worth__shame	first_responders	self_worth	shame	2	EXERCISE-BANK-DEFICIT	BUILT	NO	no per-cell EXERCISE atoms
first_responders__sleep_anxiety__false_alarm	first_responders	sleep_anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__sleep_anxiety__overwhelm	first_responders	sleep_anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__sleep_anxiety__spiral	first_responders	sleep_anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__social_anxiety__comparison	first_responders	social_anxiety	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__social_anxiety__false_alarm	first_responders	social_anxiety	false_alarm	2	ASSEMBLED-PASS	BUILT	YES	register PASS
first_responders__social_anxiety__shame	first_responders	social_anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__somatic_healing__overwhelm	first_responders	somatic_healing	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
first_responders__somatic_healing__watcher	first_responders	somatic_healing	watcher	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__anxiety__comparison	gen_alpha_students	anxiety	comparison	2	INSUFFICIENT_VARIANTS	BUILT	NO	thin pool
gen_alpha_students__anxiety__false_alarm	gen_alpha_students	anxiety	false_alarm	2	INSUFFICIENT_VARIANTS	BUILT	NO	thin pool
gen_alpha_students__anxiety__grief	gen_alpha_students	anxiety	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__anxiety__overwhelm	gen_alpha_students	anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__anxiety__shame	gen_alpha_students	anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__anxiety__spiral	gen_alpha_students	anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__anxiety__watcher	gen_alpha_students	anxiety	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__boundaries__comparison	gen_alpha_students	boundaries	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__boundaries__false_alarm	gen_alpha_students	boundaries	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__boundaries__shame	gen_alpha_students	boundaries	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__burnout__grief	gen_alpha_students	burnout	grief	2	ASSEMBLED-PASS	BUILT	YES	register PASS
gen_alpha_students__burnout__overwhelm	gen_alpha_students	burnout	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__burnout__watcher	gen_alpha_students	burnout	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__compassion_fatigue__grief	gen_alpha_students	compassion_fatigue	grief	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__compassion_fatigue__overwhelm	gen_alpha_students	compassion_fatigue	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__compassion_fatigue__watcher	gen_alpha_students	compassion_fatigue	watcher	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__courage__false_alarm	gen_alpha_students	courage	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__courage__shame	gen_alpha_students	courage	shame	2	ASSEMBLED-PASS	BUILT	YES	register PASS
gen_alpha_students__courage__spiral	gen_alpha_students	courage	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__depression__grief	gen_alpha_students	depression	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__depression__overwhelm	gen_alpha_students	depression	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__depression__watcher	gen_alpha_students	depression	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__financial_anxiety__overwhelm	gen_alpha_students	financial_anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__financial_anxiety__shame	gen_alpha_students	financial_anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__financial_anxiety__spiral	gen_alpha_students	financial_anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__financial_stress__overwhelm	gen_alpha_students	financial_stress	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__financial_stress__shame	gen_alpha_students	financial_stress	shame	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__financial_stress__spiral	gen_alpha_students	financial_stress	spiral	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__grief__grief	gen_alpha_students	grief	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__grief__watcher	gen_alpha_students	grief	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__imposter_syndrome__comparison	gen_alpha_students	imposter_syndrome	comparison	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__imposter_syndrome__shame	gen_alpha_students	imposter_syndrome	shame	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__overthinking__false_alarm	gen_alpha_students	overthinking	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__overthinking__spiral	gen_alpha_students	overthinking	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__overthinking__watcher	gen_alpha_students	overthinking	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__self_worth__comparison	gen_alpha_students	self_worth	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__self_worth__shame	gen_alpha_students	self_worth	shame	2	ASSEMBLED-PASS	BUILT	YES	register PASS
gen_alpha_students__sleep_anxiety__false_alarm	gen_alpha_students	sleep_anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__sleep_anxiety__overwhelm	gen_alpha_students	sleep_anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__sleep_anxiety__spiral	gen_alpha_students	sleep_anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__social_anxiety__comparison	gen_alpha_students	social_anxiety	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__social_anxiety__false_alarm	gen_alpha_students	social_anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__social_anxiety__shame	gen_alpha_students	social_anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__somatic_healing__overwhelm	gen_alpha_students	somatic_healing	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_alpha_students__somatic_healing__watcher	gen_alpha_students	somatic_healing	watcher	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__anxiety__comparison	gen_x_sandwich	anxiety	comparison	2	ASSEMBLED-PASS	BUILT	YES	register PASS
gen_x_sandwich__anxiety__false_alarm	gen_x_sandwich	anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__anxiety__grief	gen_x_sandwich	anxiety	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__anxiety__overwhelm	gen_x_sandwich	anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__anxiety__shame	gen_x_sandwich	anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__anxiety__spiral	gen_x_sandwich	anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__anxiety__watcher	gen_x_sandwich	anxiety	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__boundaries__comparison	gen_x_sandwich	boundaries	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__boundaries__false_alarm	gen_x_sandwich	boundaries	false_alarm	2	ASSEMBLED-PASS	BUILT	YES	register PASS
gen_x_sandwich__boundaries__shame	gen_x_sandwich	boundaries	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__burnout__grief	gen_x_sandwich	burnout	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__burnout__overwhelm	gen_x_sandwich	burnout	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__burnout__watcher	gen_x_sandwich	burnout	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__compassion_fatigue__grief	gen_x_sandwich	compassion_fatigue	grief	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__compassion_fatigue__overwhelm	gen_x_sandwich	compassion_fatigue	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__compassion_fatigue__watcher	gen_x_sandwich	compassion_fatigue	watcher	1	ASSEMBLED-PASS	BUILT	YES	register PASS
gen_x_sandwich__courage__false_alarm	gen_x_sandwich	courage	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__courage__shame	gen_x_sandwich	courage	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__courage__spiral	gen_x_sandwich	courage	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
gen_x_sandwich__depression__grief	gen_x_sandwich	depression	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
