rank	practice_id	inbox_alias	content_type	explicit_plan_refs	expected_appearances_per_1000_books_uniform_model	tier	note
29	lib34_meditations_29	med_29	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
30	lib34_meditations_30	med_30	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
31	lib34_meditations_31	med_31	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
32	lib34_meditations_32	med_32	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
33	lib34_meditations_33	med_33	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
34	lib34_meditations_34	med_34	meditations	0	44.1	2	flagship-adjacent type (ch1 uses a meditation)
35	lib34_affirmations_01		affirmations	0	44.1	3	uniform-by-construction within type
36	lib34_affirmations_02		affirmations	0	44.1	3	uniform-by-construction within type
37	lib34_affirmations_03		affirmations	0	44.1	3	uniform-by-construction within type
38	lib34_affirmations_04		affirmations	0	44.1	3	uniform-by-construction within type
39	lib34_affirmations_05		affirmations	0	44.1	3	uniform-by-construction within type
40	lib34_affirmations_06		affirmations	0	44.1	3	uniform-by-construction within type
41	lib34_affirmations_07		affirmations	0	44.1	3	uniform-by-construction within type
42	lib34_affirmations_08		affirmations	0	44.1	3	uniform-by-construction within type
43	lib34_affirmations_09		affirmations	0	44.1	3	uniform-by-construction within type
44	lib34_affirmations_10		affirmations	0	44.1	3	uniform-by-construction within type
45	lib34_affirmations_11		affirmations	0	44.1	3	uniform-by-construction within type
46	lib34_affirmations_12		affirmations	0	44.1	3	uniform-by-construction within type
47	lib34_affirmations_13		affirmations	0	44.1	3	uniform-by-construction within type
48	lib34_affirmations_14		affirmations	0	44.1	3	uniform-by-construction within type
49	lib34_affirmations_15		affirmations	0	44.1	3	uniform-by-construction within type
50	lib34_affirmations_16		affirmations	0	44.1	3	uniform-by-construction within type
51	lib34_affirmations_17		affirmations	0	44.1	3	uniform-by-construction within type
52	lib34_affirmations_18		affirmations	0	44.1	3	uniform-by-construction within type
53	lib34_affirmations_19		affirmations	0	44.1	3	uniform-by-construction within type
54	lib34_affirmations_20		affirmations	0	44.1	3	uniform-by-construction within type
55	lib34_affirmations_21		affirmations	0	44.1	3	uniform-by-construction within type
56	lib34_affirmations_22		affirmations	0	44.1	3	uniform-by-construction within type
57	lib34_affirmations_23		affirmations	0	44.1	3	uniform-by-construction within type
58	lib34_affirmations_24		affirmations	0	44.1	3	uniform-by-construction within type
59	lib34_affirmations_25		affirmations	0	44.1	3	uniform-by-construction within type
60	lib34_affirmations_26		affirmations	0	44.1	3	uniform-by-construction within type
61	lib34_affirmations_27		affirmations	0	44.1	3	uniform-by-construction within type
62	lib34_affirmations_28		affirmations	0	44.1	3	uniform-by-construction within type
63	lib34_affirmations_29		affirmations	0	44.1	3	uniform-by-construction within type
64	lib34_affirmations_30		affirmations	0	44.1	3	uniform-by-construction within type
65	lib34_affirmations_31		affirmations	0	44.1	3	uniform-by-construction within type
66	lib34_affirmations_32		affirmations	0	44.1	3	uniform-by-construction within type
67	lib34_affirmations_33		affirmations	0	44.1	3	uniform-by-construction within type
68	lib34_affirmations_34		affirmations	0	44.1	3	uniform-by-construction within type
69	lib34_body_awareness_01		body_awareness	0	44.1	3	uniform-by-construction within type
70	lib34_body_awareness_02		body_awareness	0	44.1	3	uniform-by-construction within type
71	lib34_body_awareness_03		body_awareness	0	44.1	3	uniform-by-construction within type
72	lib34_body_awareness_04		body_awareness	0	44.1	3	uniform-by-construction within type
73	lib34_body_awareness_05		body_awareness	0	44.1	3	uniform-by-construction within type
74	lib34_body_awareness_06		body_awareness	0	44.1	3	uniform-by-construction within type
75	lib34_body_awareness_07		body_awareness	0	44.1	3	uniform-by-construction within type
76	lib34_body_awareness_08		body_awareness	0	44.1	3	uniform-by-construction within type
77	lib34_body_awareness_09		body_awareness	0	44.1	3	uniform-by-construction within type
78	lib34_body_awareness_10		body_awareness	0	44.1	3	uniform-by-construction within type
79	lib34_body_awareness_11		body_awareness	0	44.1	3	uniform-by-construction within type
80	lib34_body_awareness_12		body_awareness	0	44.1	3	uniform-by-construction within type
81	lib34_body_awareness_13		body_awareness	0	44.1	3	uniform-by-construction within type
82	lib34_body_awareness_14		body_awareness	0	44.1	3	uniform-by-construction within type
83	lib34_body_awareness_15		body_awareness	0	44.1	3	uniform-by-construction within type
84	lib34_body_awareness_16		body_awareness	0	44.1	3	uniform-by-construction within type
85	lib34_body_awareness_17		body_awareness	0	44.1	3	uniform-by-construction within type
86	lib34_body_awareness_18		body_awareness	0	44.1	3	uniform-by-construction within type
87	lib34_body_awareness_19		body_awareness	0	44.1	3	uniform-by-construction within type
88	lib34_body_awareness_20		body_awareness	0	44.1	3	uniform-by-construction within type
89	lib34_body_awareness_21		body_awareness	0	44.1	3	uniform-by-construction within type
90	lib34_body_awareness_22		body_awareness	0	44.1	3	uniform-by-construction within type
91	lib34_body_awareness_23		body_awareness	0	44.1	3	uniform-by-construction within type
92	lib34_body_awareness_24		body_awareness	0	44.1	3	uniform-by-construction within type
93	lib34_body_awareness_25		body_awareness	0	44.1	3	uniform-by-construction within type
94	lib34_body_awareness_26		body_awareness	0	44.1	3	uniform-by-construction within type
95	lib34_body_awareness_27		body_awareness	0	44.1	3	uniform-by-construction within type
96	lib34_body_awareness_28		body_awareness	0	44.1	3	uniform-by-construction within type
97	lib34_body_awareness_29		body_awareness	0	44.1	3	uniform-by-construction within type
98	lib34_body_awareness_30		body_awareness	0	44.1	3	uniform-by-construction within type
99	lib34_body_awareness_31		body_awareness	0	44.1	3	uniform-by-construction within type
100	lib34_body_awareness_32		body_awareness	0	44.1	3	uniform-by-construction within type
101	lib34_body_awareness_33		body_awareness	0	44.1	3	uniform-by-construction within type
102	lib34_body_awareness_34		body_awareness	0	44.1	3	uniform-by-construction within type
103	lib34_integration_bridges_01		integration_bridges	0	44.1	3	uniform-by-construction within type
104	lib34_integration_bridges_02		integration_bridges	0	44.1	3	uniform-by-construction within type
105	lib34_integration_bridges_03		integration_bridges	0	44.1	3	uniform-by-construction within type
106	lib34_integration_bridges_04		integration_bridges	0	44.1	3	uniform-by-construction within type
107	lib34_integration_bridges_05		integration_bridges	0	44.1	3	uniform-by-construction within type
108	lib34_integration_bridges_06		integration_bridges	0	44.1	3	uniform-by-construction within type
109	lib34_integration_bridges_07		integration_bridges	0	44.1	3	uniform-by-construction within type
110	lib34_integration_bridges_08		integration_bridges	0	44.1	3	uniform-by-construction within type
111	lib34_integration_bridges_09		integration_bridges	0	44.1	3	uniform-by-construction within type
112	lib34_integration_bridges_10		integration_bridges	0	44.1	3	uniform-by-construction within type
113	lib34_integration_bridges_11		integration_bridges	0	44.1	3	uniform-by-construction within type
114	lib34_integration_bridges_12		integration_bridges	0	44.1	3	uniform-by-construction within type
115	lib34_integration_bridges_13		integration_bridges	0	44.1	3	uniform-by-construction within type
116	lib34_integration_bridges_14		integration_bridges	0	44.1	3	uniform-by-construction within type
117	lib34_integration_bridges_15		integration_bridges	0	44.1	3	uniform-by-construction within type
118	lib34_integration_bridges_16		integration_bridges	0	44.1	3	uniform-by-construction within type
119	lib34_integration_bridges_17		integration_bridges	0	44.1	3	uniform-by-construction within type
120	lib34_integration_bridges_18		integration_bridges	0	44.1	3	uniform-by-construction within type
121	lib34_integration_bridges_19		integration_bridges	0	44.1	3	uniform-by-construction within type
122	lib34_integration_bridges_20		integration_bridges	0	44.1	3	uniform-by-construction within type
123	lib34_integration_bridges_21		integration_bridges	0	44.1	3	uniform-by-construction within type
124	lib34_integration_bridges_22		integration_bridges	0	44.1	3	uniform-by-construction within type
125	lib34_integration_bridges_23		integration_bridges	0	44.1	3	uniform-by-construction within type
126	lib34_integration_bridges_24		integration_bridges	0	44.1	3	uniform-by-construction within type
127	lib34_integration_bridges_25		integration_bridges	0	44.1	3	uniform-by-construction within type
128	lib34_integration_bridges_26		integration_bridges	0	44.1	3	uniform-by-construction within type
129	lib34_integration_bridges_27		integration_bridges	0	44.1	3	uniform-by-construction within type
130	lib34_integration_bridges_28		integration_bridges	0	44.1	3	uniform-by-construction within type
131	lib34_integration_bridges_29		integration_bridges	0	44.1	3	uniform-by-construction within type
132	lib34_integration_bridges_30		integration_bridges	0	44.1	3	uniform-by-construction within type
133	lib34_integration_bridges_31		integration_bridges	0	44.1	3	uniform-by-construction within type
134	lib34_integration_bridges_32		integration_bridges	0	44.1	3	uniform-by-construction within type
135	lib34_integration_bridges_33		integration_bridges	0	44.1	3	uniform-by-construction within type
136	lib34_integration_bridges_34		integration_bridges	0	44.1	3	uniform-by-construction within type
137	lib34_reflections_01		reflections	0	44.1	3	uniform-by-construction within type
138	lib34_reflections_02		reflections	0	44.1	3	uniform-by-construction within type
139	lib34_reflections_03		reflections	0	44.1	3	uniform-by-construction within type
140	lib34_reflections_04		reflections	0	44.1	3	uniform-by-construction within type
141	lib34_reflections_05		reflections	0	44.1	3	uniform-by-construction within type
142	lib34_reflections_06		reflections	0	44.1	3	uniform-by-construction within type
143	lib34_reflections_07		reflections	0	44.1	3	uniform-by-construction within type
144	lib34_reflections_08		reflections	0	44.1	3	uniform-by-construction within type
145	lib34_reflections_09		reflections	0	44.1	3	uniform-by-construction within type
146	lib34_reflections_10		reflections	0	44.1	3	uniform-by-construction within type
147	lib34_reflections_11		reflections	0	44.1	3	uniform-by-construction within type
148	lib34_reflections_12		reflections	0	44.1	3	uniform-by-construction within type
149	lib34_reflections_13		reflections	0	44.1	3	uniform-by-construction within type
150	lib34_reflections_14		reflections	0	44.1	3	uniform-by-construction within type
151	lib34_reflections_15		reflections	0	44.1	3	uniform-by-construction within type
152	lib34_reflections_16		reflections	0	44.1	3	uniform-by-construction within type
153	lib34_reflections_17		reflections	0	44.1	3	uniform-by-construction within type
154	lib34_reflections_18		reflections	0	44.1	3	uniform-by-construction within type
155	lib34_reflections_19		reflections	0	44.1	3	uniform-by-construction within type
156	lib34_reflections_20		reflections	0	44.1	3	uniform-by-construction within type
157	lib34_reflections_21		reflections	0	44.1	3	uniform-by-construction within type
158	lib34_reflections_22		reflections	0	44.1	3	uniform-by-construction within type
159	lib34_reflections_23		reflections	0	44.1	3	uniform-by-construction within type
160	lib34_reflections_24		reflections	0	44.1	3	uniform-by-construction within type
161	lib34_reflections_25		reflections	0	44.1	3	uniform-by-construction within type
162	lib34_reflections_26		reflections	0	44.1	3	uniform-by-construction within type
163	lib34_reflections_27		reflections	0	44.1	3	uniform-by-construction within type
164	lib34_reflections_28		reflections	0	44.1	3	uniform-by-construction within type
165	lib34_reflections_29		reflections	0	44.1	3	uniform-by-construction within type
166	lib34_reflections_30		reflections	0	44.1	3	uniform-by-construction within type
167	lib34_reflections_31		reflections	0	44.1	3	uniform-by-construction within type
168	lib34_reflections_32		reflections	0	44.1	3	uniform-by-construction within type
169	lib34_reflections_33		reflections	0	44.1	3	uniform-by-construction within type
170	lib34_reflections_34		reflections	0	44.1	3	uniform-by-construction within type
171	lib34_self_inquiry_01		self_inquiry	0	44.1	3	uniform-by-construction within type
172	lib34_self_inquiry_02		self_inquiry	0	44.1	3	uniform-by-construction within type
173	lib34_self_inquiry_03		self_inquiry	0	44.1	3	uniform-by-construction within type
174	lib34_self_inquiry_04		self_inquiry	0	44.1	3	uniform-by-construction within type
175	lib34_self_inquiry_05		self_inquiry	0	44.1	3	uniform-by-construction within type
176	lib34_self_inquiry_06		self_inquiry	0	44.1	3	uniform-by-construction within type
177	lib34_self_inquiry_07		self_inquiry	0	44.1	3	uniform-by-construction within type
178	lib34_self_inquiry_08		self_inquiry	0	44.1	3	uniform-by-construction within type
179	lib34_self_inquiry_09		self_inquiry	0	44.1	3	uniform-by-construction within type
180	lib34_self_inquiry_10		self_inquiry	0	44.1	3	uniform-by-construction within type
181	lib34_self_inquiry_11		self_inquiry	0	44.1	3	uniform-by-construction within type
182	lib34_self_inquiry_12		self_inquiry	0	44.1	3	uniform-by-construction within type
183	lib34_self_inquiry_13		self_inquiry	0	44.1	3	uniform-by-construction within type
184	lib34_self_inquiry_14		self_inquiry	0	44.1	3	uniform-by-construction within type
185	lib34_self_inquiry_15		self_inquiry	0	44.1	3	uniform-by-construction within type
186	lib34_self_inquiry_16		self_inquiry	0	44.1	3	uniform-by-construction within type
187	lib34_self_inquiry_17		self_inquiry	0	44.1	3	uniform-by-construction within type
188	lib34_self_inquiry_18		self_inquiry	0	44.1	3	uniform-by-construction within type
189	lib34_self_inquiry_19		self_inquiry	0	44.1	3	uniform-by-construction within type
190	lib34_self_inquiry_20		self_inquiry	0	44.1	3	uniform-by-construction within type
191	lib34_self_inquiry_21		self_inquiry	0	44.1	3	uniform-by-construction within type
192	lib34_self_inquiry_22		self_inquiry	0	44.1	3	uniform-by-construction within type
193	lib34_self_inquiry_23		self_inquiry	0	44.1	3	uniform-by-construction within type
194	lib34_self_inquiry_24		self_inquiry	0	44.1	3	uniform-by-construction within type
195	lib34_self_inquiry_25		self_inquiry	0	44.1	3	uniform-by-construction within type
196	lib34_self_inquiry_26		self_inquiry	0	44.1	3	uniform-by-construction within type
197	lib34_self_inquiry_27		self_inquiry	0	44.1	3	uniform-by-construction within type
198	lib34_self_inquiry_28		self_inquiry	0	44.1	3	uniform-by-construction within type
199	lib34_self_inquiry_29		self_inquiry	0	44.1	3	uniform-by-construction within type
200	lib34_self_inquiry_30		self_inquiry	0	44.1	3	uniform-by-construction within type
201	lib34_self_inquiry_31		self_inquiry	0	44.1	3	uniform-by-construction within type
202	lib34_self_inquiry_32		self_inquiry	0	44.1	3	uniform-by-construction within type
203	lib34_self_inquiry_33		self_inquiry	0	44.1	3	uniform-by-construction within type
204	lib34_self_inquiry_34		self_inquiry	0	44.1	3	uniform-by-construction within type
205	lib34_sensory_grounding_01		sensory_grounding	0	44.1	3	uniform-by-construction within type
206	lib34_sensory_grounding_02		sensory_grounding	0	44.1	3	uniform-by-construction within type
207	lib34_sensory_grounding_03		sensory_grounding	0	44.1	3	uniform-by-construction within type
208	lib34_sensory_grounding_04		sensory_grounding	0	44.1	3	uniform-by-construction within type
209	lib34_sensory_grounding_05		sensory_grounding	0	44.1	3	uniform-by-construction within type
210	lib34_sensory_grounding_06		sensory_grounding	0	44.1	3	uniform-by-construction within type
211	lib34_sensory_grounding_07		sensory_grounding	0	44.1	3	uniform-by-construction within type
212	lib34_sensory_grounding_08		sensory_grounding	0	44.1	3	uniform-by-construction within type
213	lib34_sensory_grounding_09		sensory_grounding	0	44.1	3	uniform-by-construction within type
214	lib34_sensory_grounding_10		sensory_grounding	0	44.1	3	uniform-by-construction within type
215	lib34_sensory_grounding_11		sensory_grounding	0	44.1	3	uniform-by-construction within type
216	lib34_sensory_grounding_12		sensory_grounding	0	44.1	3	uniform-by-construction within type
217	lib34_sensory_grounding_13		sensory_grounding	0	44.1	3	uniform-by-construction within type
218	lib34_sensory_grounding_14		sensory_grounding	0	44.1	3	uniform-by-construction within type
219	lib34_sensory_grounding_15		sensory_grounding	0	44.1	3	uniform-by-construction within type
220	lib34_sensory_grounding_16		sensory_grounding	0	44.1	3	uniform-by-construction within type
221	lib34_sensory_grounding_17		sensory_grounding	0	44.1	3	uniform-by-construction within type
222	lib34_sensory_grounding_18		sensory_grounding	0	44.1	3	uniform-by-construction within type
223	lib34_sensory_grounding_19		sensory_grounding	0	44.1	3	uniform-by-construction within type
224	lib34_sensory_grounding_20		sensory_grounding	0	44.1	3	uniform-by-construction within type
225	lib34_sensory_grounding_21		sensory_grounding	0	44.1	3	uniform-by-construction within type
226	lib34_sensory_grounding_22		sensory_grounding	0	44.1	3	uniform-by-construction within type
227	lib34_sensory_grounding_23		sensory_grounding	0	44.1	3	uniform-by-construction within type
228	lib34_sensory_grounding_24		sensory_grounding	0	44.1	3	uniform-by-construction within type
229	lib34_sensory_grounding_25		sensory_grounding	0	44.1	3	uniform-by-construction within type
230	lib34_sensory_grounding_26		sensory_grounding	0	44.1	3	uniform-by-construction within type
231	lib34_sensory_grounding_27		sensory_grounding	0	44.1	3	uniform-by-construction within type
232	lib34_sensory_grounding_28		sensory_grounding	0	44.1	3	uniform-by-construction within type
233	lib34_sensory_grounding_29		sensory_grounding	0	44.1	3	uniform-by-construction within type
234	lib34_sensory_grounding_30		sensory_grounding	0	44.1	3	uniform-by-construction within type
235	lib34_sensory_grounding_31		sensory_grounding	0	44.1	3	uniform-by-construction within type
236	lib34_sensory_grounding_32		sensory_grounding	0	44.1	3	uniform-by-construction within type
237	lib34_sensory_grounding_33		sensory_grounding	0	44.1	3	uniform-by-construction within type
238	lib34_sensory_grounding_34		sensory_grounding	0	44.1	3	uniform-by-construction within type
239	lib34_thought_experiments_01		thought_experiments	0	44.1	3	uniform-by-construction within type
240	lib34_thought_experiments_02		thought_experiments	0	44.1	3	uniform-by-construction within type
241	lib34_thought_experiments_03		thought_experiments	0	44.1	3	uniform-by-construction within type
242	lib34_thought_experiments_04		thought_experiments	0	44.1	3	uniform-by-construction within type
243	lib34_thought_experiments_05		thought_experiments	0	44.1	3	uniform-by-construction within type
244	lib34_thought_experiments_06		thought_experiments	0	44.1	3	uniform-by-construction within type
245	lib34_thought_experiments_07		thought_experiments	0	44.1	3	uniform-by-construction within type
246	lib34_thought_experiments_08		thought_experiments	0	44.1	3	uniform-by-construction within type
247	lib34_thought_experiments_09		thought_experiments	0	44.1	3	uniform-by-construction within type
248	lib34_thought_experiments_10		thought_experiments	0	44.1	3	uniform-by-construction within type
249	lib34_thought_experiments_11		thought_experiments	0	44.1	3	uniform-by-construction within type
250	lib34_thought_experiments_12		thought_experiments	0	44.1	3	uniform-by-construction within type
251	lib34_thought_experiments_13		thought_experiments	0	44.1	3	uniform-by-construction within type
252	lib34_thought_experiments_14		thought_experiments	0	44.1	3	uniform-by-construction within type
253	lib34_thought_experiments_15		thought_experiments	0	44.1	3	uniform-by-construction within type
254	lib34_thought_experiments_16		thought_experiments	0	44.1	3	uniform-by-construction within type
255	lib34_thought_experiments_17		thought_experiments	0	44.1	3	uniform-by-construction within type
256	lib34_thought_experiments_18		thought_experiments	0	44.1	3	uniform-by-construction within type
257	lib34_thought_experiments_19		thought_experiments	0	44.1	3	uniform-by-construction within type
258	lib34_thought_experiments_20		thought_experiments	0	44.1	3	uniform-by-construction within type
259	lib34_thought_experiments_21		thought_experiments	0	44.1	3	uniform-by-construction within type
260	lib34_thought_experiments_22		thought_experiments	0	44.1	3	uniform-by-construction within type
261	lib34_thought_experiments_23		thought_experiments	0	44.1	3	uniform-by-construction within type
262	lib34_thought_experiments_24		thought_experiments	0	44.1	3	uniform-by-construction within type
263	lib34_thought_experiments_25		thought_experiments	0	44.1	3	uniform-by-construction within type
264	lib34_thought_experiments_26		thought_experiments	0	44.1	3	uniform-by-construction within type
265	lib34_thought_experiments_27		thought_experiments	0	44.1	3	uniform-by-construction within type
266	lib34_thought_experiments_28		thought_experiments	0	44.1	3	uniform-by-construction within type
267	lib34_thought_experiments_29		thought_experiments	0	44.1	3	uniform-by-construction within type
268	lib34_thought_experiments_30		thought_experiments	0	44.1	3	uniform-by-construction within type
269	lib34_thought_experiments_31		thought_experiments	0	44.1	3	uniform-by-construction within type
270	lib34_thought_experiments_32		thought_experiments	0	44.1	3	uniform-by-construction within type
271	lib34_thought_experiments_33		thought_experiments	0	44.1	3	uniform-by-construction within type
272	lib34_thought_experiments_34		thought_experiments	0	44.1	3	uniform-by-construction within type
