chapter	beat_id	surface	source_type	bound_to_type	bound_to_id
4	ch4_validation_symptoms_not_overreacting_v01	VALIDATION_NORMALIZATION	authored_ch4_source	new_authored	
4	ch4_angle_callback_ledger_evidence_v01	ANGLE_CALLBACK	authored_ch4_source	new_authored	
4	ch4_callback_echo_ledger_body_v01	CALLBACK_ECHO	authored_ch4_source	new_authored	
4	ch4_analogy_smoke_detector_v01	ANALOGY	authored_ch4_source	new_authored	
4	ch4_author_commentary_overridden_signals_v01	AUTHOR_COMMENTARY	authored_ch4_source	new_authored	
4	ch4_reader_promise_direct_you_v01	READER_PROMISE	authored_ch4_source	new_authored	
4	ch4_devon_progress_1_urgent_care_v01	STORY_PROGRESS_1	authored_ch4_source	new_authored	
4	ch4_transition_devon_to_mechanism_v01	TRANSITION_GLUE	authored_ch4_source	new_authored	
4	ch4_mechanism_interoception_override_v01	MECHANISM_EXPLANATION	authored_ch4_source	new_authored	
4	ch4_teaching_binding_signals_dimmed_v01	COMPOSITE_TEACHING_BINDING	bound_composite_doctrine	composite_doctrine	COMPOSITE_DOCTRINE v28
4	ch4_evidence_binding_allostatic_load_v01	CITED_EVIDENCE_BINDING	bound_evidence	evidence	burn_allostatic_load_mcewen_1998
4	ch4_bridge_to_external_curie_v01	BRIDGE_TO_EXTERNAL	authored_ch4_source	new_authored	
4	ch4_external_story_marie_curie_v01	EXTERNAL_STORY_OR_CASE_STUDY	bound_external_story	external_story	ext_burn_historical_marie_curie_v01
4	ch4_bridge_back_after_curie_v01	BRIDGE_BACK_TO_READER	authored_ch4_source	new_authored	
4	ch4_persona_reflection_manager_body_v01	PERSONA_TOPIC_REFLECTION	authored_ch4_source	new_authored	
4	ch4_troubleshooting_permission_not_hypochondria_v01	TROUBLESHOOTING_PERMISSION	authored_ch4_source	new_authored	
4	ch4_devon_progress_2_first_notice_v01	STORY_PROGRESS_2	authored_ch4_source	new_authored	
4	ch4_author_tool_intro_foundation_scan_v01	AUTHOR_TOOL_INTRO	authored_ch4_source	new_authored	
4	ch4_exercise_binding_foundation_scan_v01	CANONICAL_EXERCISE_BINDING	bound_canonical_exercise	canonical_exercise	body_001
4	ch4_integration_reflection_scan_v01	INTEGRATION_REFLECTION	authored_ch4_source	new_authored	
4	ch4_pivot_binding_ledger_coming_due_v01	PIVOT_BINDING	bound_composite_doctrine	composite_doctrine	COMPOSITE_DOCTRINE v07
4	ch4_closing_takeaway_body_evidence_v01	CLOSING_TAKEAWAY_BINDING	authored_ch4_source	new_authored	
4	ch4_devon_progress_3_scheduled_off_time_v01	STORY_PROGRESS_3	authored_ch4_source	new_authored	
4	ch4_callback_return_ledger_body_v01	CALLBACK_RETURN	authored_ch4_source	new_authored	
4	ch4_propulsion_to_ch5_v01	PROPULSION	authored_ch4_source	new_authored	
5	ch5_hook_question_whose_job_v01	HOOK_QUESTION	authored_ch5_source	new_authored	
5	ch5_scene_renata_third_deck_v01	SCENE	authored_ch5_source	new_authored	
5	ch5_validation_covering_gaps_normal_v01	VALIDATION_NORMALIZATION	authored_ch5_source	new_authored	
5	ch5_angle_callback_second_job_v01	ANGLE_CALLBACK	authored_ch5_source	new_authored	
5	ch5_callback_echo_ledger_uncounted_hours_v01	CALLBACK_ECHO	authored_ch5_source	new_authored	
5	ch5_analogy_load_bearing_wall_v01	ANALOGY	authored_ch5_source	new_authored	
5	ch5_author_commentary_reliable_person_cost_v01	AUTHOR_COMMENTARY	authored_ch5_source	new_authored	
5	ch5_reader_promise_direct_you_v01	READER_PROMISE	authored_ch5_source	new_authored	
5	ch5_renata_progress_1_deck_v01	STORY_PROGRESS_1	authored_ch5_source	new_authored	
5	ch5_transition_invisibility_to_mechanism_v01	TRANSITION_GLUE	authored_ch5_source	new_authored	
5	ch5_mechanism_vigilance_second_job_v01	MECHANISM_EXPLANATION	authored_ch5_source	new_authored	
5	ch5_teaching_binding_second_job_vigilance_v01	COMPOSITE_TEACHING_BINDING	bound_composite_doctrine	composite_doctrine	COMPOSITE_DOCTRINE v21
5	ch5_evidence_binding_jd_r_model_v01	CITED_EVIDENCE_BINDING	bound_evidence	evidence	burn_job_demands_resources_model_demerouti_2001
5	ch5_bridge_to_external_residents_v01	BRIDGE_TO_EXTERNAL	authored_ch5_source	new_authored	
5	ch5_external_story_medical_residents_v01	EXTERNAL_STORY_OR_CASE_STUDY	bound_external_story	external_story	ext_burn_business_medical_residents_v01
5	ch5_bridge_back_after_residents_v01	BRIDGE_BACK_TO_READER	authored_ch5_source	new_authored	
5	ch5_persona_reflection_manager_overfunction_v01	PERSONA_TOPIC_REFLECTION	authored_ch5_source	new_authored	
5	ch5_troubleshooting_permission_not_lazy_v01	TROUBLESHOOTING_PERMISSION	authored_ch5_source	new_authored	
5	ch5_renata_progress_2_noticing_v01	STORY_PROGRESS_2	authored_ch5_source	new_authored	
5	ch5_author_tool_intro_coverage_map_v01	AUTHOR_TOOL_INTRO	authored_ch5_source	new_authored	
5	ch5_tool_coverage_map_v01	PRACTICE_APPLICATION_TOOL	authored_ch5_source	new_authored	
5	ch5_integration_reflection_coverage_map_v01	INTEGRATION_REFLECTION	authored_ch5_source	new_authored	
5	ch5_pivot_binding_drive_vs_capacity_v01	PIVOT_BINDING	bound_composite_doctrine	composite_doctrine	COMPOSITE_DOCTRINE v10
5	ch5_closing_takeaway_not_yours_v01	CLOSING_TAKEAWAY_BINDING	authored_ch5_source	new_authored	
5	ch5_renata_progress_3_left_visible_v01	STORY_PROGRESS_3	authored_ch5_source	new_authored	
5	ch5_callback_return_second_column_v01	CALLBACK_RETURN	authored_ch5_source	new_authored	
5	ch5_propulsion_to_ch6_v01	PROPULSION	authored_ch5_source	new_authored	
6	ch6_hook_question_vacation_didnt_work_v01	HOOK_QUESTION	authored_ch6_source	new_authored	
6	ch6_scene_tomas_return_from_pto_v01	SCENE	authored_ch6_source	new_authored	
6	ch6_validation_vacation_failure_common_v01	VALIDATION_NORMALIZATION	authored_ch6_source	new_authored	
6	ch6_angle_callback_rest_not_reaching_account_v01	ANGLE_CALLBACK	authored_ch6_source	new_authored	
6	ch6_callback_echo_ledger_unpaid_v01	CALLBACK_ECHO	authored_ch6_source	new_authored	
6	ch6_analogy_car_idling_v01	ANALOGY	authored_ch6_source	new_authored	
6	ch6_author_commentary_deceleration_not_recovery_v01	AUTHOR_COMMENTARY	authored_ch6_source	new_authored	
6	ch6_reader_promise_direct_you_v01	READER_PROMISE	authored_ch6_source	new_authored	
6	ch6_tomas_progress_1_unpacking_v01	STORY_PROGRESS_1	authored_ch6_source	new_authored	
6	ch6_transition_joke_to_mechanism_v01	TRANSITION_GLUE	authored_ch6_source	new_authored	
6	ch6_mechanism_deceleration_vs_recovery_v01	MECHANISM_EXPLANATION	authored_ch6_source	new_authored	
6	ch6_teaching_binding_rest_that_doesnt_restore_v01	COMPOSITE_TEACHING_BINDING	bound_composite_doctrine	composite_doctrine	COMPOSITE_DOCTRINE v04
6	ch6_evidence_binding_psychological_detachment_v01	CITED_EVIDENCE_BINDING	bound_evidence	evidence	burn_restoration_requires_psychological_detachment_2011
6	ch6_bridge_to_external_hustle_v01	BRIDGE_TO_EXTERNAL	authored_ch6_source	new_authored	
6	ch6_external_story_hustle_culture_v01	EXTERNAL_STORY_OR_CASE_STUDY	bound_external_story	external_story	ext_burn_pop_culture_hustle_v01
6	ch6_bridge_back_after_hustle_v01	BRIDGE_BACK_TO_READER	authored_ch6_source	new_authored	
6	ch6_persona_reflection_manager_pto_v01	PERSONA_TOPIC_REFLECTION	authored_ch6_source	new_authored	
6	ch6_troubleshooting_permission_no_instant_fix_v01	TROUBLESHOOTING_PERMISSION	authored_ch6_source	new_authored	
6	ch6_tomas_progress_2_evening_test_v01	STORY_PROGRESS_2	authored_ch6_source	new_authored	
6	ch6_author_tool_intro_saying_yes_to_rest_v01	AUTHOR_TOOL_INTRO	authored_ch6_source	new_authored	
6	ch6_exercise_binding_saying_yes_to_rest_v01	CANONICAL_EXERCISE_BINDING	bound_canonical_exercise	canonical_exercise	integ_030
6	ch6_integration_reflection_saying_yes_v01	INTEGRATION_REFLECTION	authored_ch6_source	new_authored	
6	ch6_pivot_binding_weekend_decelerate_v01	PIVOT_BINDING	bound_composite_doctrine	composite_doctrine	COMPOSITE_DOCTRINE v23
6	ch6_closing_takeaway_deceleration_not_failure_v01	CLOSING_TAKEAWAY_BINDING	authored_ch6_source	new_authored	
6	ch6_tomas_progress_3_weekly_practice_v01	STORY_PROGRESS_3	authored_ch6_source	new_authored	
6	ch6_callback_return_ledger_credited_only_when_stopped_v01	CALLBACK_RETURN	authored_ch6_source	new_authored	
6	ch6_propulsion_to_ch7_v01	PROPULSION	authored_ch6_source	new_authored	
7	ch7_hook_question_who_in_the_gap_v01	HOOK_QUESTION	authored_ch7_source	new_authored	
7	ch7_scene_aisha_free_afternoon_v01	SCENE	authored_ch7_source	new_authored	
7	ch7_validation_blankness_is_information_v01	VALIDATION_NORMALIZATION	authored_ch7_source	new_authored	
7	ch7_angle_callback_identity_ledger_v01	ANGLE_CALLBACK	authored_ch7_source	new_authored	
7	ch7_callback_echo_ledger_identity_v01	CALLBACK_ECHO	authored_ch7_source	new_authored	
7	ch7_analogy_actor_offstage_v01	ANALOGY	authored_ch7_source	new_authored	
7	ch7_author_commentary_role_as_self_v01	AUTHOR_COMMENTARY	authored_ch7_source	new_authored	
7	ch7_reader_promise_direct_you_v01	READER_PROMISE	authored_ch7_source	new_authored	
7	ch7_aisha_progress_1_blank_afternoon_v01	STORY_PROGRESS_1	authored_ch7_source	new_authored	
7	ch7_transition_sentence_to_mechanism_v01	TRANSITION_GLUE	authored_ch7_source	new_authored	
7	ch7_mechanism_meaning_apparatus_offline_v01	MECHANISM_EXPLANATION	authored_ch7_source	new_authored	
7	ch7_teaching_binding_meaning_symptom_not_truth_v01	COMPOSITE_TEACHING_BINDING	bound_composite_doctrine	composite_doctrine	COMPOSITE_DOCTRINE v06
7	ch7_evidence_binding_anhedonia_symptom_v01	CITED_EVIDENCE_BINDING	bound_evidence	evidence	burn_anhedonia_depletion_symptom_not_insight_2003
7	ch7_bridge_to_external_whiplash_v01	BRIDGE_TO_EXTERNAL	authored_ch7_source	new_authored	
7	ch7_external_story_whiplash_v01	EXTERNAL_STORY_OR_CASE_STUDY	bound_external_story	external_story	ext_burn_film_whiplash_v01
7	ch7_bridge_back_after_whiplash_v01	BRIDGE_BACK_TO_READER	authored_ch7_source	new_authored	
7	ch7_persona_reflection_manager_identity_v01	PERSONA_TOPIC_REFLECTION	authored_ch7_source	new_authored	
7	ch7_troubleshooting_permission_no_hobby_pressure_v01	TROUBLESHOOTING_PERMISSION	authored_ch7_source	new_authored	
7	ch7_aisha_progress_2_noticing_pull_v01	STORY_PROGRESS_2	authored_ch7_source	new_authored	
7	ch7_author_tool_intro_non_output_hour_v01	AUTHOR_TOOL_INTRO	authored_ch7_source	new_authored	
7	ch7_tool_non_output_hour_v01	PRACTICE_APPLICATION_TOOL	authored_ch7_source	new_authored	
7	ch7_integration_reflection_non_output_v01	INTEGRATION_REFLECTION	authored_ch7_source	new_authored	
7	ch7_pivot_binding_numbness_protective_v01	PIVOT_BINDING	bound_composite_doctrine	composite_doctrine	COMPOSITE_DOCTRINE v18
7	ch7_closing_takeaway_dimmed_not_gone_v01	CLOSING_TAKEAWAY_BINDING	authored_ch7_source	new_authored	
7	ch7_aisha_progress_3_small_recognition_v01	STORY_PROGRESS_3	authored_ch7_source	new_authored	
7	ch7_callback_return_identity_entry_v01	CALLBACK_RETURN	authored_ch7_source	new_authored	
7	ch7_propulsion_to_ch8_v01	PROPULSION	authored_ch7_source	new_authored	
8	ch8_hook_question_who_are_you_carrying_v01	HOOK_QUESTION	authored_ch8_source	new_authored	
8	ch8_scene_marcus_saturday_call_v01	SCENE	authored_ch8_source	new_authored	
8	ch8_validation_rescuing_reflex_common_v01	VALIDATION_NORMALIZATION	authored_ch8_source	new_authored	
8	ch8_angle_callback_relational_ledger_v01	ANGLE_CALLBACK	authored_ch8_source	new_authored	
8	ch8_callback_echo_ledger_relational_v01	CALLBACK_ECHO	authored_ch8_source	new_authored	
8	ch8_analogy_lifeguard_never_off_duty_v01	ANALOGY	authored_ch8_source	new_authored	
8	ch8_author_commentary_rescuing_reads_as_love_v01	AUTHOR_COMMENTARY	authored_ch8_source	new_authored	
8	ch8_reader_promise_direct_you_v01	READER_PROMISE	authored_ch8_source	new_authored	
8	ch8_marcus_progress_1_saturday_call_v01	STORY_PROGRESS_1	authored_ch8_source	new_authored	
8	ch8_transition_daughter_to_mechanism_v01	TRANSITION_GLUE	authored_ch8_source	new_authored	
8	ch8_mechanism_resentment_and_boundary_v01	MECHANISM_EXPLANATION	authored_ch8_source	new_authored	
8	ch8_teaching_binding_resentment_reports_boundary_v01	COMPOSITE_TEACHING_BINDING	bound_composite_doctrine	composite_doctrine	COMPOSITE_DOCTRINE v26
8	ch8_evidence_binding_compassion_fatigue_v01	CITED_EVIDENCE_BINDING	bound_evidence	evidence	burn_compassion_fatigue_figley_1995
8	ch8_bridge_to_external_caregiver_v01	BRIDGE_TO_EXTERNAL	authored_ch8_source	new_authored	
8	ch8_external_story_fresh_air_caregiver_v01	EXTERNAL_STORY_OR_CASE_STUDY	bound_external_story	external_story	ext_burn_fresh_air_caregiver_v01
8	ch8_bridge_back_after_caregiver_v01	BRIDGE_BACK_TO_READER	authored_ch8_source	new_authored	
8	ch8_persona_reflection_manager_rescuing_v01	PERSONA_TOPIC_REFLECTION	authored_ch8_source	new_authored	
8	ch8_troubleshooting_permission_not_cold_v01	TROUBLESHOOTING_PERMISSION	authored_ch8_source	new_authored	
8	ch8_marcus_progress_2_declined_call_v01	STORY_PROGRESS_2	authored_ch8_source	new_authored	
8	ch8_author_tool_intro_rescue_ledger_v01	AUTHOR_TOOL_INTRO	authored_ch8_source	new_authored	
8	ch8_tool_rescue_ledger_v01	PRACTICE_APPLICATION_TOOL	authored_ch8_source	new_authored	
8	ch8_integration_reflection_rescue_ledger_v01	INTEGRATION_REFLECTION	authored_ch8_source	new_authored	
8	ch8_pivot_binding_withdrawal_removes_support_v01	PIVOT_BINDING	bound_composite_doctrine	composite_doctrine	COMPOSITE_DOCTRINE v29
8	ch8_closing_takeaway_rescue_has_a_cost_v01	CLOSING_TAKEAWAY_BINDING	authored_ch8_source	new_authored	
8	ch8_marcus_progress_3_finished_game_v01	STORY_PROGRESS_3	authored_ch8_source	new_authored	
8	ch8_callback_return_relational_entry_v01	CALLBACK_RETURN	authored_ch8_source	new_authored	
8	ch8_propulsion_to_ch9_v01	PROPULSION	authored_ch8_source	new_authored	
9	ch9_hook_question_capacity_or_character_v01	HOOK_QUESTION	authored_ch9_source	new_authored	
9	ch9_scene_sofia_third_ask_v01	SCENE	authored_ch9_source	new_authored	
9	ch9_validation_refusal_is_data_v01	VALIDATION_NORMALIZATION	authored_ch9_source	new_authored	
9	ch9_angle_callback_ledger_as_accounting_v01	ANGLE_CALLBACK	authored_ch9_source	new_authored	
9	ch9_callback_echo_ledger_balance_v01	CALLBACK_ECHO	authored_ch9_source	new_authored	
9	ch9_analogy_overdraft_not_moral_failure_v01	ANALOGY	authored_ch9_source	new_authored	
9	ch9_author_commentary_capacity_not_failure_v01	AUTHOR_COMMENTARY	authored_ch9_source	new_authored	
9	ch9_reader_promise_direct_you_v01	READER_PROMISE	authored_ch9_source	new_authored	
9	ch9_sofia_progress_1_frozen_hands_v01	STORY_PROGRESS_1	authored_ch9_source	new_authored	
9	ch9_transition_delay_to_mechanism_v01	TRANSITION_GLUE	authored_ch9_source	new_authored	
9	ch9_mechanism_decision_fatigue_v01	MECHANISM_EXPLANATION	authored_ch9_source	new_authored	
9	ch9_teaching_binding_decision_capacity_wears_v01	COMPOSITE_TEACHING_BINDING	bound_composite_doctrine	composite_doctrine	COMPOSITE_DOCTRINE v22
9	ch9_evidence_binding_who_occupational_v01	CITED_EVIDENCE_BINDING	bound_evidence	evidence	burn_who_occupational_burnout_2019
9	ch9_bridge_to_external_nightingale_v01	BRIDGE_TO_EXTERNAL	authored_ch9_source	new_authored	
9	ch9_external_story_nightingale_v01	EXTERNAL_STORY_OR_CASE_STUDY	bound_external_story	external_story	ext_burn_historical_florence_nightingale_v01
9	ch9_bridge_back_after_nightingale_v01	BRIDGE_BACK_TO_READER	authored_ch9_source	new_authored	
9	ch9_persona_reflection_manager_capacity_v01	PERSONA_TOPIC_REFLECTION	authored_ch9_source	new_authored	
9	ch9_troubleshooting_permission_not_excuse_v01	TROUBLESHOOTING_PERMISSION	authored_ch9_source	new_authored	
9	ch9_sofia_progress_2_actual_answer_v01	STORY_PROGRESS_2	authored_ch9_source	new_authored	
9	ch9_author_tool_intro_energy_management_v01	AUTHOR_TOOL_INTRO	authored_ch9_source	new_authored	
9	ch9_exercise_binding_energy_management_v01	CANONICAL_EXERCISE_BINDING	bound_canonical_exercise	canonical_exercise	integ_026
9	ch9_integration_reflection_energy_management_v01	INTEGRATION_REFLECTION	authored_ch9_source	new_authored	
9	ch9_pivot_binding_demand_exceeded_v01	PIVOT_BINDING	bound_composite_doctrine	composite_doctrine	COMPOSITE_DOCTRINE v12
9	ch9_closing_takeaway_limit_is_a_number_v01	CLOSING_TAKEAWAY_BINDING	authored_ch9_source	new_authored	
9	ch9_sofia_progress_3_deprioritized_v01	STORY_PROGRESS_3	authored_ch9_source	new_authored	
9	ch9_callback_return_ledger_as_honest_math_v01	CALLBACK_RETURN	authored_ch9_source	new_authored	
9	ch9_propulsion_to_ch10_v01	PROPULSION	authored_ch9_source	new_authored	
10	ch10_hook_question_what_stays_undone_v01	HOOK_QUESTION	authored_ch10_source	new_authored	
10	ch10_scene_jordan_report_v01	SCENE	authored_ch10_source	new_authored	
10	ch10_validation_cant_stop_normal_v01	VALIDATION_NORMALIZATION	authored_ch10_source	new_authored	
10	ch10_angle_callback_undone_as_spend_v01	ANGLE_CALLBACK	authored_ch10_source	new_authored	
10	ch10_callback_echo_ledger_extra_hours_v01	CALLBACK_ECHO	authored_ch10_source	new_authored	
10	ch10_analogy_gardener_who_never_stops_pruning_v01	ANALOGY	authored_ch10_source	new_authored	
10	ch10_author_commentary_stopping_as_skill_v01	AUTHOR_COMMENTARY	authored_ch10_source	new_authored	
10	ch10_reader_promise_direct_you_v01	READER_PROMISE	authored_ch10_source	new_authored	
10	ch10_jordan_progress_1_third_rewrite_v01	STORY_PROGRESS_1	authored_ch10_source	new_authored	
10	ch10_transition_nothing_happened_to_mechanism_v01	TRANSITION_GLUE	authored_ch10_source	new_authored	
10	ch10_mechanism_stillness_reads_as_danger_v01	MECHANISM_EXPLANATION	authored_ch10_source	new_authored	
10	ch10_teaching_binding_doing_less_is_treatment_v01	COMPOSITE_TEACHING_BINDING	bound_composite_doctrine	composite_doctrine	COMPOSITE_DOCTRINE v08
10	ch10_evidence_binding_micro_breaks_v01	CITED_EVIDENCE_BINDING	bound_evidence	evidence	burn_micro_breaks_recovery_2019
10	ch10_bridge_to_external_sisyphus_v01	BRIDGE_TO_EXTERNAL	authored_ch10_source	new_authored	
10	ch10_external_story_sisyphus_v01	EXTERNAL_STORY_OR_CASE_STUDY	bound_external_story	external_story	ext_burn_mythic_sisyphus_v01
10	ch10_bridge_back_after_sisyphus_v01	BRIDGE_BACK_TO_READER	authored_ch10_source	new_authored	
10	ch10_persona_reflection_manager_not_do_v01	PERSONA_TOPIC_REFLECTION	authored_ch10_source	new_authored	
10	ch10_troubleshooting_permission_not_sloppy_v01	TROUBLESHOOTING_PERMISSION	authored_ch10_source	new_authored	
10	ch10_jordan_progress_2_declined_optional_task_v01	STORY_PROGRESS_2	authored_ch10_source	new_authored	
10	ch10_author_tool_intro_boundary_setting_v01	AUTHOR_TOOL_INTRO	authored_ch10_source	new_authored	
10	ch10_exercise_binding_boundary_setting_v01	CANONICAL_EXERCISE_BINDING	bound_canonical_exercise	canonical_exercise	integ_012
10	ch10_integration_reflection_boundary_setting_v01	INTEGRATION_REFLECTION	authored_ch10_source	new_authored	
10	ch10_pivot_binding_finish_line_moves_v01	PIVOT_BINDING	bound_composite_doctrine	composite_doctrine	COMPOSITE_DOCTRINE v27
10	ch10_closing_takeaway_stopping_is_discipline_v01	CLOSING_TAKEAWAY_BINDING	authored_ch10_source	new_authored	
10	ch10_jordan_progress_3_intentional_incomplete_v01	STORY_PROGRESS_3	authored_ch10_source	new_authored	
10	ch10_callback_return_ledger_chosen_stop_v01	CALLBACK_RETURN	authored_ch10_source	new_authored	
10	ch10_propulsion_to_ch11_v01	PROPULSION	authored_ch10_source	new_authored	
11	ch11_hook_question_worth_after_stopping_v01	HOOK_QUESTION	authored_ch11_source	new_authored	
11	ch11_scene_grace_declined_promotion_track_v01	SCENE	authored_ch11_source	new_authored	
11	ch11_validation_over_explaining_common_v01	VALIDATION_NORMALIZATION	authored_ch11_source	new_authored	
11	ch11_angle_callback_ledger_closing_v01	ANGLE_CALLBACK	authored_ch11_source	new_authored	
11	ch11_callback_echo_usefulness_audit_v01	CALLBACK_ECHO	authored_ch11_source	new_authored	
11	ch11_analogy_bank_that_pays_interest_at_rest_v01	ANALOGY	authored_ch11_source	new_authored	
11	ch11_author_commentary_worth_beyond_yield_v01	AUTHOR_COMMENTARY	authored_ch11_source	new_authored	
11	ch11_reader_promise_direct_you_v01	READER_PROMISE	authored_ch11_source	new_authored	
11	ch11_grace_progress_1_explaining_v01	STORY_PROGRESS_1	authored_ch11_source	new_authored	
11	ch11_transition_realization_to_mechanism_v01	TRANSITION_GLUE	authored_ch11_source	new_authored	
11	ch11_mechanism_identity_output_fusion_v01	MECHANISM_EXPLANATION	authored_ch11_source	new_authored	
11	ch11_teaching_binding_loosen_the_weld_v01	COMPOSITE_TEACHING_BINDING	bound_composite_doctrine	composite_doctrine	COMPOSITE_DOCTRINE v17
11	ch11_evidence_binding_maslach_case_studies_v01	CITED_EVIDENCE_BINDING	bound_evidence	evidence	burn_case_maslach_teacher_nurse_composites_1997
11	ch11_bridge_to_external_osaka_v01	BRIDGE_TO_EXTERNAL	authored_ch11_source	new_authored	
11	ch11_external_story_osaka_v01	EXTERNAL_STORY_OR_CASE_STUDY	bound_external_story	external_story	ext_burn_sports_naomi_osaka_v01
11	ch11_bridge_back_after_osaka_v01	BRIDGE_BACK_TO_READER	authored_ch11_source	new_authored	
11	ch11_persona_reflection_manager_worth_output_v01	PERSONA_TOPIC_REFLECTION	authored_ch11_source	new_authored	
11	ch11_troubleshooting_permission_belief_wont_flip_instantly_v01	TROUBLESHOOTING_PERMISSION	authored_ch11_source	new_authored	
11	ch11_grace_progress_2_slow_month_v01	STORY_PROGRESS_2	authored_ch11_source	new_authored	
11	ch11_author_tool_intro_worth_ledger_correction_v01	AUTHOR_TOOL_INTRO	authored_ch11_source	new_authored	
11	ch11_tool_worth_ledger_correction_v01	PRACTICE_APPLICATION_TOOL	authored_ch11_source	new_authored	
11	ch11_integration_reflection_worth_ledger_correction_v01	INTEGRATION_REFLECTION	authored_ch11_source	new_authored	
11	ch11_pivot_binding_beliefs_that_drove_overeffort_v01	PIVOT_BINDING	bound_composite_doctrine	composite_doctrine	COMPOSITE_DOCTRINE v20
11	ch11_closing_takeaway_worth_never_moved_v01	CLOSING_TAKEAWAY_BINDING	authored_ch11_source	new_authored	
11	ch11_grace_progress_3_no_explanation_v01	STORY_PROGRESS_3	authored_ch11_source	new_authored	
11	ch11_callback_return_ledger_worth_line_closed_v01	CALLBACK_RETURN	authored_ch11_source	new_authored	
11	ch11_propulsion_to_ch12_v01	PROPULSION	authored_ch11_source	new_authored	
12	ch12_hook_question_what_gets_rebuilt_v01	HOOK_QUESTION	authored_ch12_source	new_authored	
12	ch12_scene_elena_ordinary_evening_v01	SCENE	authored_ch12_source	new_authored	
12	ch12_validation_slow_rebuild_normal_v01	VALIDATION_NORMALIZATION	authored_ch12_source	new_authored	
12	ch12_angle_callback_ledger_final_reading_v01	ANGLE_CALLBACK	authored_ch12_source	new_authored	
12	ch12_callback_echo_mara_and_the_ledger_v01	CALLBACK_ECHO	authored_ch12_source	new_authored	
12	ch12_analogy_house_rebuilt_while_lived_in_v01	ANALOGY	authored_ch12_source	new_authored	
12	ch12_author_commentary_rebuilding_is_not_dramatic_v01	AUTHOR_COMMENTARY	authored_ch12_source	new_authored	
12	ch12_reader_promise_direct_you_v01	READER_PROMISE	authored_ch12_source	new_authored	
12	ch12_elena_progress_1_six_months_earlier_v01	STORY_PROGRESS_1	authored_ch12_source	new_authored	
12	ch12_transition_six_months_to_mechanism_v01	TRANSITION_GLUE	authored_ch12_source	new_authored	
