rank,item_type,target,unit,lift_score,selected_books_affected,topics_affected,avg_build_now_score,reason,first_topics
20,pair_repair,entrepreneurs/burnout,PERMISSION|PIVOT|TAKEAWAY|THREAD,283,1,1,211,"Already near-buildable, but burnout for entrepreneurs is held back by PERMISSION, PIVOT, TAKEAWAY, THREAD.",burnout
21,pair_repair,entrepreneurs/financial_anxiety,PERMISSION|PIVOT|TAKEAWAY|THREAD,283,1,1,211,"Already near-buildable, but financial_anxiety for entrepreneurs is held back by PERMISSION, PIVOT, TAKEAWAY, THREAD.",financial_anxiety
22,pair_repair,entrepreneurs/imposter_syndrome,PERMISSION|PIVOT|TAKEAWAY|THREAD,283,1,1,211,"Already near-buildable, but imposter_syndrome for entrepreneurs is held back by PERMISSION, PIVOT, TAKEAWAY, THREAD.",imposter_syndrome
23,pair_repair,entrepreneurs/overthinking,PERMISSION|PIVOT|TAKEAWAY|THREAD,283,1,1,211,"Already near-buildable, but overthinking for entrepreneurs is held back by PERMISSION, PIVOT, TAKEAWAY, THREAD.",overthinking
24,pair_repair,entrepreneurs/sleep_anxiety,PERMISSION|PIVOT|TAKEAWAY|THREAD,283,1,1,211,"Already near-buildable, but sleep_anxiety for entrepreneurs is held back by PERMISSION, PIVOT, TAKEAWAY, THREAD.",sleep_anxiety
25,pair_repair,entrepreneurs/social_anxiety,PERMISSION|PIVOT|TAKEAWAY|THREAD,283,1,1,211,"Already near-buildable, but social_anxiety for entrepreneurs is held back by PERMISSION, PIVOT, TAKEAWAY, THREAD.",social_anxiety
26,pair_repair,entrepreneurs/somatic_healing,PERMISSION|PIVOT|TAKEAWAY|THREAD,283,1,1,211,"Already near-buildable, but somatic_healing for entrepreneurs is held back by PERMISSION, PIVOT, TAKEAWAY, THREAD.",somatic_healing
27,pair_repair,first_responders/burnout,PERMISSION|PIVOT|TAKEAWAY|THREAD,283,1,1,211,"Already near-buildable, but burnout for first_responders is held back by PERMISSION, PIVOT, TAKEAWAY, THREAD.",burnout
28,pair_repair,first_responders/compassion_fatigue,PERMISSION|PIVOT|TAKEAWAY|THREAD,283,1,1,211,"Already near-buildable, but compassion_fatigue for first_responders is held back by PERMISSION, PIVOT, TAKEAWAY, THREAD.",compassion_fatigue
29,pair_repair,first_responders/courage,PERMISSION|PIVOT|TAKEAWAY|THREAD,283,1,1,211,"Already near-buildable, but courage for first_responders is held back by PERMISSION, PIVOT, TAKEAWAY, THREAD.",courage
30,pair_repair,first_responders/depression,PERMISSION|PIVOT|TAKEAWAY|THREAD,283,1,1,211,"Already near-buildable, but depression for first_responders is held back by PERMISSION, PIVOT, TAKEAWAY, THREAD.",depression
