chapter,section_id,section_type,scene_type,variant_id,variant_family,location_tokens,word_count_approx,first_10_words
02,01,HOOK,N/A,5,F5,None,100,"You didn't start waiting for no reason. Something happened—maybe"
02,02,SCENE,origin,1,F1,"{location.learning_space}, {location.social_gathering}",250,"Think back. Maybe you were fourteen. Or twelve. Or"
02,02,SCENE,origin,2,F2,"{location.learning_space}, {location.social_gathering}",150,"Picture yourself years ago in {location.learning_space}. You had something"
02,02,SCENE,origin,3,F3,"{location.learning_space}, {location.social_gathering}",140,"You were at {location.social_gathering}. Younger. Less certain. Everyone seemed"
02,02,SCENE,origin,4,F4,"{location.learning_space}, {location.social_gathering}",130,"There was a version of you—younger smaller—standing at the"
02,02,SCENE,origin,5,F5,"{location.learning_space}, {location.social_gathering}",120,"Remember what happened when you didn't wait? Maybe you"
02,03,REFLECTION,N/A,1,N/A,None,180,"Here's what that sentence did for you: It bought"
02,04,REFLECTION,N/A,1,N/A,None,200,"But something shifted. Maybe it was gradual. Maybe you"
02,05,REFLECTION,N/A,1,N/A,None,180,"Here's what happened: The sentence that used to save"
02,06,REFLECTION,N/A,1,N/A,None,180,"When you were younger the trade made sense: Give"
02,07,REFLECTION,N/A,1,N/A,None,180,"You might be thinking: Okay but what if the"
02,08,REFLECTION,N/A,1,N/A,None,150,"If you're still here you're probably noticing something. The"
02,09,INTEGRATION,N/A,1,N/A,None,200,"Here's a question to sit with. Not answer yet."
03,01,HOOK,N/A,1,F1,None,130,"Here's what the sentence has been doing to you."
03,01,HOOK,N/A,2,F2,None,120,"Every time you say once I'm not anxious then"
03,01,HOOK,N/A,3,F3,None,130,"Watch what happens when you say the sentence. You"
03,01,HOOK,N/A,4,F4,None,140,"Imagine you're watching yourself from the outside. There's the"
03,01,HOOK,N/A,5,F5,None,130,"Here's what the sentence has cost you: Every time"
03,02,SCENE,internal,1,F1,{location.private_space},150,"You keep waiting. You tell yourself: Once I'm not"
03,02,SCENE,internal,2,F2,{location.private_space},120,"You're sitting in {location.private_space}. There's something you need to"
03,02,SCENE,internal,3,F3,{location.private_space},130,"It's late. You're alone in {location.private_space}. You've been meaning"
03,02,SCENE,internal,4,F4,{location.private_space},140,"There's a door in front of you in {location.private_space}."
03,02,SCENE,internal,5,F5,{location.private_space},140,"Here's what actually happened: You waited. You said once"
03,03,REFLECTION,N/A,1,N/A,None,180,"Here's what the sentence really says about you: Every"
03,04,REFLECTION,N/A,1,N/A,None,180,"Here's the myth: Once you calm down you'll finally"
03,05,REFLECTION,N/A,1,N/A,None,180,"Here's the loop: You feel anxious about something. So"
03,06,REFLECTION,N/A,1,N/A,None,180,"Here's what the sentence has quietly taught you: Anxiety"
03,07,REFLECTION,N/A,1,N/A,None,180,"This is hard to sit with. But here's what's"
03,08,INTEGRATION,N/A,1,N/A,None,150,"So here's the question: What if the sentence is"
04,01,HOOK,N/A,1,F1,None,150,"Here's what nobody told you about anxiety: It's not"
04,01,HOOK,N/A,2,F2,None,130,"What if everything you've been told about anxiety is"
04,01,HOOK,N/A,3,F3,None,130,"Watch what happens when someone tells you to just"
04,01,HOOK,N/A,4,F4,None,140,"Imagine anxiety as a smoke alarm. It goes off"
04,01,HOOK,N/A,5,F5,None,140,"Here's what all that fighting has cost you: Every"
04,02,SCENE,memory,1,F1,"{location.learning_space}, {location.transit_scene}",150,"Think about it. How many times have you done"
04,02,SCENE,memory,2,F2,"{location.learning_space}, {location.transit_scene}",130,"Remember the last time you had to do something"
04,02,SCENE,memory,3,F3,"{location.learning_space}, {location.transit_scene}",130,"Picture yourself in {location.transit_scene}. You're heading somewhere that makes"
04,02,SCENE,memory,4,F4,"{location.learning_space}, {location.transit_scene}",140,"There's a version of you that shows up even"
04,02,SCENE,memory,5,F5,"{location.learning_space}, {location.transit_scene}",130,"Here's what you haven't been tracking: All the times"
04,03,REFLECTION,N/A,1,N/A,None,200,"Here's what anxiety actually is: It's information. That's it."
04,04,REFLECTION,N/A,1,N/A,None,180,"Here's the thing about trying to fix anxiety: It"
04,05,REFLECTION,N/A,1,N/A,None,200,"So what do you do instead? You let it"
04,06,EXERCISE,N/A,1,N/A,None,250,"Here's a practice. Not a fix. Not a cure."
04,07,INTEGRATION,N/A,1,N/A,None,150,"This is what I need you to get: You"
05,01,HOOK,N/A,1,F1,None,140,"Here's what you might be thinking: Okay but what"
05,01,HOOK,N/A,2,F2,None,100,"You tell yourself: I'll do it when I'm ready."
05,01,HOOK,N/A,3,F3,None,120,"Look at the world around you for a moment."
05,01,HOOK,N/A,4,F4,None,130,"Imagine a door that only stays open for a"
05,01,HOOK,N/A,5,F5,None,130,"Here's what waiting has already cost you: The texts"
05,02,SCENE,relational,1,F1,{location.digital_space},140,"Here's how it plays out: Someone texts you in"
05,02,SCENE,relational,2,F2,{location.digital_space},120,"Someone reaches out in {location.digital_space}. Your mind starts running:"
05,02,SCENE,relational,3,F3,{location.digital_space},120,"You're sitting in {location.digital_space}. A notification comes in. Someone"
05,02,SCENE,relational,4,F4,{location.digital_space},130,"There's a thread in {location.digital_space}. People are connecting. Laughing."
05,02,SCENE,relational,5,F5,{location.digital_space},130,"Here's what your waiting has looked like from the"
05,03,REFLECTION,N/A,1,N/A,None,180,"Here's what you're actually losing: Every time you say"
05,04,REFLECTION,N/A,1,N/A,None,200,"Here's the hardest part: The version of you that's"
05,05,REFLECTION,N/A,1,N/A,None,180,"Here's what the sentence is actually asking you to"
05,06,REFLECTION,N/A,1,N/A,None,180,"This is hard to hear. But here it is:"
05,07,INTEGRATION,N/A,1,N/A,None,180,"Here's what needs to change: You need to stop"
06,01,HOOK,N/A,1,F1,None,150,"Here's what you're probably expecting me to say: Now"
06,01,HOOK,N/A,2,F2,None,140,"Think about how much energy you've spent trying to"
06,01,HOOK,N/A,3,F3,None,140,"Watch what happens when you try to fight anxiety:"
06,01,HOOK,N/A,4,F4,None,130,"Imagine trying to push away a cloud. You swing"
06,01,HOOK,N/A,5,F5,None,130,"Here's what all that fighting has cost you: Not"
06,02,SCENE,action,1,F1,"{location.digital_space}, {location.private_space}",180,"Here's what acting alongside anxiety looks like: You feel"
06,02,SCENE,action,2,F2,"{location.digital_space}, {location.private_space}",130,"You're in {location.private_space}. There's something you need to do."
06,02,SCENE,action,3,F3,"{location.digital_space}, {location.private_space}",130,"It's morning in {location.private_space}. There's a message you've been"
06,02,SCENE,action,4,F4,"{location.digital_space}, {location.private_space}",130,"Picture two versions of this moment: Version A: You"
06,02,SCENE,action,5,F5,"{location.digital_space}, {location.private_space}",120,"Here's what happened when you stopped fighting: You sent"
06,03,REFLECTION,N/A,1,N/A,None,180,"Here's why you can't win this war: You're fighting"
06,04,REFLECTION,N/A,1,N/A,None,180,"Here's what happens when you stop fighting: The anxiety"
06,05,REFLECTION,N/A,1,N/A,None,200,"Here's the important distinction: Danger means: There's an actual"
06,06,REFLECTION,N/A,1,N/A,None,180,"Here's what the new relationship looks like: Anxiety shows"
06,07,INTEGRATION,N/A,1,N/A,None,200,"Here's what I need you to hear: You don't"
07,01,HOOK,N/A,1,F1,None,140,"Here's how this actually works: Not big dramatic changes."
07,01,HOOK,N/A,2,F2,None,120,"You might be thinking this requires some massive shift."
07,01,HOOK,N/A,3,F3,None,120,"Watch how this plays out: You feel anxious about"
07,01,HOOK,N/A,4,F4,None,120,"Think of small moves like drops of water on"
07,01,HOOK,N/A,5,F5,None,130,"Here's what small moves have already given other people:"
07,02,SCENE,action,1,F1,"{location.digital_space}, {location.private_space}",150,"Here's what a small move looks like: You feel"
07,02,SCENE,action,2,F2,"{location.digital_space}, {location.private_space}",120,"You're in {location.private_space}. There's a message you've been putting"
07,02,SCENE,action,3,F3,"{location.digital_space}, {location.private_space}",120,"It's evening in {location.private_space}. You're looking at something you"
07,02,SCENE,action,4,F4,"{location.digital_space}, {location.private_space}",120,"Picture two paths from this moment: Path A: You"
07,02,SCENE,action,5,F5,"{location.digital_space}, {location.private_space}",120,"Here's what happened when you made a small move:"
07,03,EXERCISE,N/A,1,N/A,None,200,"The 3-Second Check-In. Here's a practice you can use"
07,04,EXERCISE,N/A,1,N/A,None,200,"Box Breathing (While Anxious). Not to fix the anxiety."
07,05,EXERCISE,N/A,1,N/A,None,200,"5-4-3-2-1 Grounding. This isn't about calming down. It's about"
07,06,REFLECTION,N/A,1,N/A,None,180,"Here's what you're building: The ability to act—while anxious."
07,07,INTEGRATION,N/A,1,N/A,None,180,"Here's what I want you to try: Pick one"
08,01,HOOK,N/A,1,F1,None,150,"And then something happens. The anxiety doesn't just show"
08,01,HOOK,N/A,2,F2,None,130,"Here's the thought that shows up when anxiety gets"
08,01,HOOK,N/A,3,F3,None,130,"Watch what your body does when anxiety gets loud:"
08,01,HOOK,N/A,4,F4,None,130,"Imagine the difference between a whisper and a scream."
08,01,HOOK,N/A,5,F5,None,130,"Here's what loud anxiety has cost you: The moments"
08,02,SCENE,high-intensity,1,F1,"{location.private_space}, {location.digital_space}",200,"You're about to send a text that feels risky."
08,02,SCENE,high-intensity,2,F2,"{location.private_space}, {location.digital_space}",130,"You're in {location.private_space}. Something needs to happen. But your"
08,02,SCENE,high-intensity,3,F3,"{location.private_space}, {location.digital_space}",140,"It's late. You're alone in {location.private_space}. There's something in"
08,02,SCENE,high-intensity,4,F4,"{location.private_space}, {location.digital_space}",130,"Picture yourself standing at the edge. The thing you"
08,02,SCENE,high-intensity,5,F5,"{location.private_space}, {location.digital_space}",120,"Here's what happened when you acted while the anxiety"
08,03,EXERCISE,N/A,1,N/A,None,200,"Extended Exhale Breathing. When anxiety gets loud your breath"
08,04,EXERCISE,N/A,1,N/A,None,180,"Ground Through Your Feet. When anxiety gets loud it's"
08,05,EXERCISE,N/A,1,N/A,None,200,"4-7-8 Breath (For Peak Intensity). This one is for"
08,06,REFLECTION,N/A,1,N/A,None,180,"Here's what you're learning: The volume doesn't dictate your"
08,07,INTEGRATION,N/A,1,N/A,None,150,"Here's the real shift: You stop asking: How do"
09,01,HOOK,N/A,1,F1,None,140,"And at some point—Maybe you didn't even notice when—Something"
09,01,HOOK,N/A,2,F2,None,120,"Here's the thought that stops you one day: Wait."
09,01,HOOK,N/A,3,F3,None,120,"Watch what happens when you've practiced enough: Someone asks"
09,01,HOOK,N/A,4,F4,None,130,"Imagine the old pattern as a well-worn path through"
09,01,HOOK,N/A,5,F5,None,120,"Here's what you didn't expect: The absence of struggle."
09,02,SCENE,integration,1,F1,"{location.digital_space}, {location.social_gathering}",150,"You're texting someone in {location.digital_space}. The old version of"
09,02,SCENE,integration,2,F2,"{location.digital_space}, {location.social_gathering}",130,"You're at {location.social_gathering}. Someone asks your opinion. Your mind"
09,02,SCENE,integration,3,F3,"{location.digital_space}, {location.social_gathering}",120,"It's an ordinary moment in {location.digital_space}. Someone shares something."
09,02,SCENE,integration,4,F4,"{location.digital_space}, {location.social_gathering}",130,"Picture the two versions of yourself: Old version: Anxiety"
09,02,SCENE,integration,5,F5,"{location.digital_space}, {location.social_gathering}",130,"Here's what changed at {location.social_gathering}: You used to leave"
09,03,REFLECTION,N/A,1,N/A,None,180,"Here's what changes in relationships: You reply faster. You"
09,04,REFLECTION,N/A,1,N/A,None,180,"Here's what changes in social situations: You show up"
09,05,REFLECTION,N/A,1,N/A,None,200,"Here are the moments where you realize it's become"
09,06,REFLECTION,N/A,1,N/A,None,180,"Here's what normal feels like now: You still feel"
09,07,INTEGRATION,N/A,1,N/A,None,200,"Here's something you might notice: You feel different. Not"
10,01,HOOK,N/A,1,F1,None,180,"Here's what's going to happen: You're going to slip."
10,01,HOOK,N/A,2,F2,None,130,"Here's a thought you need to prepare for: I"
10,01,HOOK,N/A,3,F3,None,140,"Picture yourself a few weeks from now. You've been"
10,01,HOOK,N/A,4,F4,None,130,"Think of progress as a path with occasional rocks."
10,01,HOOK,N/A,5,F5,None,140,"Here's what slipping has cost people who gave up:"
10,02,SCENE,setback,1,F1,"{location.private_space}, {location.digital_space}",180,"Here's what it looks like when you slip: You"
10,02,SCENE,setback,2,F2,"{location.private_space}, {location.digital_space}",140,"You're in {location.private_space}. There's something you should do in"
10,02,SCENE,setback,3,F3,"{location.private_space}, {location.digital_space}",130,"It's a hard day. You're tired. You're stressed. You're"
10,02,SCENE,setback,4,F4,"{location.private_space}, {location.digital_space}",140,"Imagine watching yourself slip from outside: You see the"
10,02,SCENE,setback,5,F5,"{location.private_space}, {location.digital_space}",120,"Here's what the slip actually cost you: One moment."
10,03,REFLECTION,N/A,1,N/A,None,180,"Here's the story most people tell themselves after they"
10,04,REFLECTION,N/A,1,N/A,None,150,"Here's what a slip actually means: You encountered a"
10,05,REFLECTION,N/A,1,N/A,None,180,"Here's the important distinction: A slip is one moment."
10,06,REFLECTION,N/A,1,N/A,None,250,"Here's how to recover from a slip: 1. Acknowledge"
10,07,INTEGRATION,N/A,1,N/A,None,150,"When you slip remember: You're not starting over. You're"
11,01,HOOK,N/A,1,F1,None,180,"Here's the story you used to tell about yourself:"
11,01,HOOK,N/A,2,F2,None,140,"Think about the thoughts you used to have about"
11,01,HOOK,N/A,3,F3,None,140,"Watch what used to happen when someone described you:"
11,01,HOOK,N/A,4,F4,None,140,"Imagine a label you've been wearing your whole life."
11,01,HOOK,N/A,5,F5,None,140,"Here's what the old identity cost you: Every time"
11,02,SCENE,social,1,F1,"{location.social_gathering}, {location.digital_space}",140,"Here's something you might notice: Other people see you"
11,02,SCENE,social,2,F2,"{location.social_gathering}, {location.digital_space}",140,"You're at {location.social_gathering}. And someone says something to you"
11,02,SCENE,social,3,F3,"{location.social_gathering}, {location.digital_space}",130,"Watch how interactions have changed: At {location.social_gathering} people include"
11,02,SCENE,social,4,F4,"{location.social_gathering}, {location.digital_space}",140,"Picture the old version of you at {location.social_gathering}: Quiet."
11,02,SCENE,social,5,F5,"{location.social_gathering}, {location.digital_space}",140,"Here's what showing up has built: Friendships that didn't"
11,03,REFLECTION,N/A,1,N/A,None,200,"Here's what an identity shift looks like: Before: I'm"
11,04,REFLECTION,N/A,1,N/A,None,180,"Here's what you're not anymore: You're not the anxious"
11,05,REFLECTION,N/A,1,N/A,None,200,"Here's the paradox: You didn't get rid of the"
11,06,REFLECTION,N/A,1,N/A,None,180,"Here's what you know now that you didn't know"
11,07,INTEGRATION,N/A,1,N/A,None,180,"So here's who you are now: Not someone who"
12,01,HOOK,N/A,1,F1,None,150,"Here's the truth: The anxiety isn't gone. And it's"
12,01,HOOK,N/A,2,F2,None,130,"You might be expecting me to say: Congratulations. You're"
12,01,HOOK,N/A,3,F3,None,130,"Notice where you are right now: The anxiety is"
12,01,HOOK,N/A,4,F4,None,130,"Think of this as an open door not a"
12,01,HOOK,N/A,5,F5,None,140,"Here's what you've gained: Not freedom from anxiety. Freedom"
12,02,SCENE,forward,1,F1,"{location.digital_space}, {location.social_gathering}, {location.private_space}",130,"Here's what your life looks like now: You send"
12,02,SCENE,forward,2,F2,"{location.digital_space}, {location.social_gathering}, {location.private_space}",130,"You're in {location.private_space}. There's something you need to do."
12,02,SCENE,forward,3,F3,"{location.digital_space}, {location.social_gathering}, {location.private_space}",120,"It's an ordinary day in {location.digital_space}. Someone messages you."
12,02,SCENE,forward,4,F4,"{location.digital_space}, {location.social_gathering}, {location.private_space}",130,"Picture yourself at {location.social_gathering} in the future: You're there."
12,02,SCENE,forward,5,F5,"{location.digital_space}, {location.social_gathering}, {location.private_space}",130,"Here's what the next year looks like: Texts sent."
12,03,REFLECTION,N/A,1,N/A,None,180,"Here's what you actually learned: You didn't learn how"
12,04,REFLECTION,N/A,1,N/A,None,250,"Let me be clear about what this is and"
12,05,REFLECTION,N/A,1,N/A,None,200,"Here's what you can return to whenever you need"
12,06,REFLECTION,N/A,1,N/A,None,150,"Here's what you don't need anymore: You don't need"
12,07,INTEGRATION,N/A,1,N/A,None,200,"Here's the final word: The anxiety doesn't have to"
