idea_id	title	theme	source_session	quote_or_signal	status_guess	repo_relevance	pipeline_relevance	evidence_paths
I007	Catalog knob usage-percent analyzer	research_tooling	f42cad21-d24d-469a-b9ff-84f9a1ac5103	@docs/DOCS_INDEX.md look at the catalog and book planner for english. create a .py analyzer to report the useage percert of each knob like: book format (include v4, or pearl, arc, beat map (chapter subs and dif configs) ,sections subs and d	PARTIAL	4	4	scripts/audit/build_pipeline_matrix.py
I009	Pearl Prime book-template bridge into freebies/immersion	pipeline_gates	61d46e39-b8db-4387-a443-2e308be81948	implemented in `teaching_bridges.py` and documented. Wiring a TEACHING slot type into the render loop (when you add it) will use this pool via `select_teaching_wrapper` or `render_teaching_block`.	PARTIAL	4	4	docs/agent_prompt_packs/20260715_old_chat_closure_audit/06_Pearl_Brand_freebie_harbor_closeout.md
I011	AI-assisted therapeutic book assembly beyond metadata	pipeline_gates	cf278b1b-d51a-4e52-8a6f-342747984e9d	Implementation checklist (fast)	DUPLICATE_OF_PRIOR_MINING	4	5	docs/specs/session_mining_batch_20260718/HUMAN_CALIBRATED_JUDGE_V1_SPEC.md;phoenix_v4/quality/register_gate.py
I019	Brand-wizard-app UX continuation	covers_brand	9ca9742d-eff0-4eb0-a554-98df63884ea5	Implement party mode feature	TRULY_MISSING	4	3	(no path hit)
I020	Video pipeline handoff / series assembly resume	social_video	59d869bd-efca-4c48-9aec-3d7ed5bdeff8	missing from this checkout; multilayer render currently falls back; caption wrapping and meditation/music wiring remain incomplete	PARTIAL	4	4	artifacts/audio/presenter/
I021	13 teacher YouTube video banks assembly	social_video	f4ec4722-cc2d-48b0-96e8-c9095ad7cd75	Here's your paste-ready prompt to generate all 13 teacher YouTube video banks and assemble the videos: AGENT: Pearl_Video — YouTube Teacher Video Production (13 Teachers × 20 Images + Assembly) You are Pearl_Video. Your mission: generate FL	PARTIAL	4	4	teachers/
I023	CJK teacher topic-pack overlays + per-language system prompts	translation	7b85b693-d534-4b47-953c-09442482e422	next steps / concrete action	PARTIAL	4	4	config/localization/
I024	Iterative catalog quality refinement loop	pipeline_gates	2fe91134-052f-4c0e-9685-2396753e59fe	proposals + Pearl_Architect filter:** `propose_catalog_adjustments` / `filter_pearl_architect` in ```236:330:phoenix_v4/quality/ei_v2/learner.py``` proposed three **low-risk** `word_range` widens; none reject	DUPLICATE_OF_PRIOR_MINING	4	5	docs/specs/session_mining_batch_20260718/HUMAN_CALIBRATED_JUDGE_V1_SPEC.md
I028	Manga V2 character individuation prompt-builder	manga	9762773d-5c66-4089-a051-887ef97428c9	ROLE: Pearl_Dev — V2 Phase C deep prompt-builder integration SESSION_TYPE: pure code; extends scripts/manga/character_individuation/ prompt_builder.py to consume the full research corpus PRIOR: Phase A (PR #925) shipped the prompt_builder s	PARTIAL	4	4	scripts/manga/character_individuation
I031	Localization quality contracts CI enforcement depth	translation	643f74db-c0a7-47f8-a054-593a0bbf90e6	not yet usable for commit/PR.	PARTIAL	4	4	config/localization/quality_contracts/
I041	Waystream cover durable delta-queue	covers_brand	export_355	missing/invalid work unless --force-rerender is explicitly passed	PARTIAL	4	4	docs/NAMING_COVER_SYSTEM_37x14.md
I013	EI V2 hybrid system completeness	pipeline_gates	2c37ac68-b3f3-4366-b362-d8876dea9752	TODOs, (5) any imports that might fail.	TRULY_MISSING	3	4	(no path hit)
I017	Video thumbnail contract (thumb.jpg beside video.mp4)	social_video	e376fbc9-8821-4b07-892e-d40d1c4ee80a	missing; lines 128–135, 163–166, 224–228).	TRULY_MISSING	3	4	(no path hit)
I012	Full-repo core-function operator UI / system status console	research_tooling	aba05c79-3746-4a0e-837b-5586d9bb6f86	Implemented and pushed to `main` (commit `8815782e`):	PARTIAL	4	3	PhoenixControl/
I014	V4 freebies + immersion ecosystem completion	social_video	6b3eac83-d16e-41b0-86b3-61a827bcea0f	implemented and verified:	PARTIAL	4	3	docs/agent_prompt_packs/20260715_old_chat_closure_audit/06_Pearl_Brand_freebie_harbor_closeout.md
I038	Pearl News per-brand mapping leftover	pearl_news	eac25063-e75d-4893-b315-f984e0b14427	You are Pearl_Dev. Complete the Pearl_News per-brand mapping that was flagged as "not yet per-brand mapped" in the OPD-119/121 PR (#1251) closeout. This finishes the brand admin weekly_package deliverable coverage. Repo: /Users/ahjan/phoeni	PARTIAL	4	3	docs/PEARL_NEWS_WRITER_SPEC.md
I047	Anti-reinvention architecture enforcement	governance_ci	memory:project_anti_reinvention_architecture	--- name: project-anti-reinvention-architecture description: 3-layer anti-reinvention system (router principle 9 + Canonical Artifacts Registry + reinvention CI guard) to stop agents greenfielding ins	PARTIAL	4	3	artifacts/coordination/SUBSYSTEM_AUTHORITY_MAP.tsv
I022	TikTok body-awareness shot plans for teachers	social_video	c4a47e5a-3501-4ffd-8e35-bf23af37070a	missing). Until that runs, there are no per-teacher images in the repo.	TRULY_MISSING	3	3	(no path hit)
I027	Musician survey → music mode implementation	social_video	8175c0a0-c404-427c-9755-7e7dea5e6e49	implementation prompt** (builds music mode end-to-end with V1 scope).	TRULY_MISSING	3	3	(no path hit)
I036	RunComfy cost-alert widget on brand_admin	covers_brand	80df403d-7670-4d13-8cfa-0553066e48e2	look in @docs/ @specs/ @/Users/ahjan/Downloads/cursor_cover_art_signature_blueprint_an.md look at all marketing stuff. consolodate a US marketing plan, and chineses marketing pland (all chinese dialect markets), Japan plan, korea plan. incl	TRULY_MISSING	3	3	(no path hit)
I046	ProPrime modes 100% merge wave	pipeline_gates	export_365	blocked=<head_sha_or_none>`.	TRULY_MISSING	3	3	(no path hit)
I008	DOCS_INDEX completeness / V4 wiring gate	governance_ci	f067a5d7-eaf3-47bd-aaed-a13e5f68d4b4	Missing," because grief lives in the body first)	DUPLICATE_OF_PRIOR_MINING	4	3	docs/DOCS_INDEX.md
I016	Marketing system wiring for monetization completeness	social_video	eef58738-b67e-4f9b-8728-d4ede03a9024	missing from marketing config.	DUPLICATE_OF_PRIOR_MINING	4	3	docs/specs/session_mining_batch_20260718/FREE_TO_PAID_LADDER_V1_SPEC.md
I037	US marketing plan consolidation	social_video	7a45b126-c957-47ef-af68-9f444b502801	read: [You now have the one-file overview here: SYSTEM_STATE_MASTER.md And the shortest onboarding pointer here: ONBOARDING_START_HERE.md I also updated: PEARL_GITHUB_STATE.md DOCS_INDEX.md ps.txt PEARL_GITHUB_ONBOARDING.md How to use it: f	TRULY_MISSING	3	2	(no path hit)
I004	English catalog creation without assembling books	catalog_atoms	2005e463-bb1a-4aaa-976f-6a51d458209b	missing when `author_id` is set.	LIKELY_LANDED	3	3	artifacts/catalog_visibility/;config/
I040	Catalog PLAN-completeness audit 14×39	catalog_atoms	export_351	blocked>	DUPLICATE_OF_PRIOR_MINING	3	3	(no path hit)
I044	Cloud/Codespaces substrate fanout for manga	governance_ci	export_361	blocked; landing the blocked closeout on main for a durable resume surface.	OPERATOR_GATE	3	3	(no path hit)
I050	Devotion Path catalog readiness (flagged not ready)	catalog_atoms	memory:project_devotion_path_catalog_not_ready	--- name: project_devotion_path_catalog_not_ready description: "devotion_path (Open Vessel Press) catalog: mis-pointed, NOT content-starved — Option A′ full-85 engine re-point in progress; assembly co	LIKELY_LANDED	3	3	artifacts/catalog_visibility/devotion_path_unified_catalog_dashboard.html
I035	Church/brand/payment plans integration	covers_brand	4286531d-b643-48da-b0f0-e38974332edd	Next step: Visit WorldFirst or OFX, enter $5k→China quote. If under $25 total, you've beaten Wise.	TRULY_MISSING	2	2	(no path hit)
I039	Metricool X/Twitter channel decision ($5 add-on)	social_video	export_303	Facebook, Instagram, Threads, LinkedIn, TikTok, YouTube, Pinterest, BlueSky. So it does everything except for X, which anyways, five extra dollars on Metricool, so I don't know if we want to get, X is not really working for anybody anyways.	OPERATOR_GATE	3	2	(no path hit)
