lane,locale,brand,brand_locale_name,subject,persona,teacher,teacher_mode,title,subtitle,raw_score,normalized_score,listing_ready,format
book_script,ja_JP,body_memory,体記堂,grief,healthcare_rns,omote,true,抱きしめる喪失とかなしみとの対話,喪失とかなしみのあとに、抱きしめる静けさを取り戻す — 医療従事者へ,0.95,0.95,True,pearl_prime_12x10x5
book_script,ja_JP,body_memory,体記堂,somatic_healing,healthcare_rns,omote,true,身体の癒しのあとに、抱きしめる日々,抱きしめる暮らしへの、身体の癒し回復の手引き — 医療従事者へ,0.95,0.95,True,pearl_prime_12x10x5
book_script,ja_JP,cognitive_clarity,直見堂,overthinking,tech_finance_burnout,joshin,true,澄んだ考えすぎの手当て,考えすぎを抜けるための、澄んだ日々への手引き — テック・金融で働く人へ,0.93,0.93,True,pearl_prime_12x10x5
book_script,ja_JP,somatic_wisdom,体知社,somatic_healing,millennial_women_professionals,pamela_fellows,true,身体の癒しのあとに、からだに宿る日々,からだに宿る暮らしへの、身体の癒し回復の手引き — ミレニアル世代の女性へ,0.93,0.93,True,pearl_prime_12x10x5
book_script,ja_JP,somatic_wisdom,体知社,somatic_healing,healthcare_rns,pamela_fellows,true,からだに宿る身体の癒し回復の歩み,身体の癒しが止まらないときの、からだに宿る手引き — 医療従事者へ,0.93,0.93,True,pearl_prime_12x10x5
book_script,ja_JP,digital_ground,今此処社,financial_anxiety,gen_z_professionals,miki,true,お金への不安のあとに、落ち着いた日々,落ち着いた暮らしへの、お金への不安回復の手引き — Z世代の働き手へ,0.93,0.93,True,pearl_prime_12x10x5
book_script,ja_JP,digital_ground,今此処社,financial_anxiety,gen_z_student,miki,true,落ち着いたお金への不安との対話,お金への不安のあとに、落ち着いた静けさを取り戻す — Z世代の学生へ,0.93,0.93,True,pearl_prime_12x10x5
book_script,ja_JP,digital_ground,今此処社,financial_stress,gen_z_professionals,miki,true,落ち着いた経済的なストレス回復の歩み,経済的なストレスが止まらないときの、落ち着いた手引き — Z世代の働き手へ,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_TW,warrior_calm,鐵門出版,courage,first_responders,master_wu,true,勇氣之後，穩定的日子,穩定的生活，勇氣復原的同行者 — 寫給第一線救援人員,0.95,0.95,True,pearl_prime_12x10x5
book_script,zh_TW,sleep_restoration,夜築出版,sleep_anxiety,healthcare_rns,master_sha,true,安睡的步調，走出睡眠焦慮,當睡眠焦慮停不下來時的安睡的指引 — 寫給醫療人員,0.95,0.95,True,pearl_prime_12x10x5
book_script,zh_TW,body_memory,身記出版,grief,healthcare_rns,omote,true,承接的步調，走出悲傷,當悲傷停不下來時的承接的指引 — 寫給醫療人員,0.95,0.95,True,pearl_prime_12x10x5
book_script,zh_TW,body_memory,身記出版,somatic_healing,healthcare_rns,omote,true,承接的身體療癒指引,走出身體療癒，邁向承接的日子 — 寫給醫療人員,0.95,0.95,True,pearl_prime_12x10x5
book_script,zh_TW,cognitive_clarity,明見出版,overthinking,tech_finance_burnout,joshin,true,想太多之後，清明的日子,清明的生活，想太多復原的同行者 — 寫給科技與金融工作者,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_TW,somatic_wisdom,身知出版,somatic_healing,millennial_women_professionals,pamela_fellows,true,穿越身體療癒，走向身體的時光,身體療癒復原途中的身體的陪伴 — 寫給千禧世代女性,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_TW,somatic_wisdom,身知出版,somatic_healing,healthcare_rns,pamela_fellows,true,身體療癒之後，身體的日子,身體的生活，身體療癒復原的同行者 — 寫給醫療人員,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_TW,digital_ground,此刻出版,financial_anxiety,gen_z_professionals,miki,true,踏實的金錢焦慮指引,走出金錢焦慮，邁向踏實的日子 — 寫給 Z 世代專業工作者,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_TW,digital_ground,此刻出版,financial_anxiety,gen_z_student,miki,true,踏實的步調，走出金錢焦慮,當金錢焦慮停不下來時的踏實的指引 — 寫給 Z 世代學生,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_TW,digital_ground,此刻出版,financial_stress,gen_z_professionals,miki,true,經濟壓力之後，踏實的日子,踏實的生活，經濟壓力復原的同行者 — 寫給 Z 世代專業工作者,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_CN,warrior_calm,铁门文化,courage,first_responders,master_wu,true,穿越勇气，走向稳定的日子,勇气恢复期的稳定的陪伴 — 写给一线响应人员,0.95,0.95,True,pearl_prime_12x10x5
book_script,zh_CN,sleep_restoration,夜筑文化,sleep_anxiety,healthcare_rns,master_sha,true,安睡的节奏，走出睡眠焦虑,当睡眠焦虑无法停止时的安睡的指引 — 写给医疗从业者,0.95,0.95,True,pearl_prime_12x10x5
book_script,zh_CN,body_memory,身记文化,grief,healthcare_rns,omote,true,承接的悲伤指南,走出悲伤，迈向承接的日子 — 写给医疗从业者,0.95,0.95,True,pearl_prime_12x10x5
book_script,zh_CN,body_memory,身记文化,somatic_healing,healthcare_rns,omote,true,承接的身体疗愈的同行,身体疗愈恢复期的承接的日子 — 写给医疗从业者,0.95,0.95,True,pearl_prime_12x10x5
book_script,zh_CN,cognitive_clarity,明见文化,overthinking,tech_finance_burnout,joshin,true,清明的过度思虑指南,走出过度思虑，迈向清明的日子 — 写给科技与金融从业者,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_CN,somatic_wisdom,身知文化,somatic_healing,millennial_women_professionals,pamela_fellows,true,身体的身体疗愈的同行,身体疗愈恢复期的身体的日子 — 写给千禧一代女性,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_CN,somatic_wisdom,身知文化,somatic_healing,healthcare_rns,pamela_fellows,true,身体的身体疗愈指南,走出身体疗愈，迈向身体的日子 — 写给医疗从业者,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_CN,digital_ground,此刻文化,financial_anxiety,gen_z_professionals,miki,true,金钱焦虑之后，踏实的日子,踏实的生活，金钱焦虑恢复的同行者 — 写给 Z 世代职场人,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_CN,digital_ground,此刻文化,financial_anxiety,gen_z_student,miki,true,踏实的金钱焦虑的同行,金钱焦虑恢复期的踏实的日子 — 写给 Z 世代学生,0.93,0.93,True,pearl_prime_12x10x5
book_script,zh_CN,digital_ground,此刻文化,financial_stress,gen_z_professionals,miki,true,踏实的经济压力的同行,经济压力恢复期的踏实的日子 — 写给 Z 世代职场人,0.93,0.93,True,pearl_prime_12x10x5
